# 由 qingjian-dict-convert 从 Unicode CLDR zh annotations 生成（Unicode License v3）。词\temoji emoji …
亲子	👪 👨‍👦 👨‍👦‍👦 👨‍👧 👨‍👧‍👦 👨‍👧‍👧 👨‍👨‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👧‍👧 👨‍👩‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👧‍👧 👩‍👦 👩‍👦‍👦 👩‍👧 👩‍👧‍👦 👩‍👧‍👧 👩‍👩‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👧‍👧
人	🧑‍🎄 🧑‍🍼 👰 🧔 👱 🤵 🧑‍🤝‍🧑
人偶	🎎
人像	👤
人字形图记	🔰
人字形标记	〈 〉
人字拖	🩴
人民币	¥
人物	👨‍🍼 👩‍🍼 👩‍💼 👲 🥷 🥸 🧍 🧑‍🍼 🧑‍🎄
人的拥抱	🫂
人马座	🏹 ♐
人鱼	🧜
亿万富翁	🚤
介于	≬
介绍	💁
仓鼠	🐹
仓鼠头	🐹
仔细听	👂
付钱	💰
仙人	🧚‍♂
仙人掌	🌵
仙女	🧚‍♀ 🧚
仙子	🧚
仙男	🧚‍♂
以色列新谢克尔	₪
企鹅	🐧
伊斯兰	🕋 🕌 ☪
休旅车	🚙
休闲	👖
休闲服装	👕
休闲车	🚙
优步	🚖
优雅	🌹 💃
会堂	🕍
会计	🧾
会面	🤝
伞	☂ ☔ ⛱ 🏖 🌂
传动	⚙
传呼机	📟
传唤	👮
传播	📰
传真	📠
传真号	📠
传真机	📠
伤口	🩹
伤心	💔 😢 😟
伦敦	💂
伪装	🥸
伪装的脸	🥸
伸出手指	🫵
伸手	🫱 🫲
伸手给小费	💁
位子	💺
位置	📍
低	🔅
低亮度	🔅
低亮度按钮	🔅
低右双引号	„
低右撇号	‚
低吼	🐻
低引号	‚ „
低能量	🪫
低落	🙎
低音量扬扬声	🔈
低音量的扬声器	🔈
住嘴	🤐
住宅	🏘
住家	🏠 🏡
佐料	🧄 🧅
佐料瓶	🧂
体操	🤸‍♀ 🤸‍♂ 🤸
体温计	🤒
体育	⛹ 🤺 🤼 🤽 🤾 🤸
体育竞技	🚵
体育馆	🏟
佛寺	🛕
佛拉门戈	🕺 💃
佛教	🪷 🛕
你到底在说什么	🤌
你好	👋
佳节	🎑
侠客	🥷
侦探	🕵 🕵‍♀ 🕵‍♂ 🫆
侧手翻	🤸 🤸‍♀ 🤸‍♂
便便	🪠
便利店	🏪
便当	🍱
便当盒	🍱
便携	💾
便条	📝
便条簿	📝
便笺	📝
便鞋	🥿
俄罗斯	₽
俄罗斯卢布	₽
俄罗斯套娃	🪆
俄罗斯娃娃	🪆
保姆	👨‍🍼 👩‍🍼 🧑‍🍼
保密	㊙
保护	🪬
保湿乳液	🧴
保留	🈯
保龄球	🎳
信仰	🪯
信件	📤 📥 📧 📨 📩 ✉
信号	📶
信号强度条	📶
信号接收	📡
信号灯	🚥 🚦
信封	✉ 📧 📨 📩 🧾
信息	ℹ 💁 ✉
信息中心	ℹ
信用	💳
信用卡	💳
信箱	📪 📫 📬 📭 📮
信箱关闭红旗放下	📪
信箱打开	📭
信箱打开红旗升起	📬
信箱打开红旗放下	📭
修剪	🪚 ✂
修复受伤的心灵	❤‍🩹
修指甲	💅
修理	🔨
修理工	👩‍🔧
修补	❤‍🩹
俱乐部	🍷 🍸 🍹
倍数	×
倒三角	🔻 ∇
倒出	🫗
倒回	⏪
倒垃圾	🚮
倒置	¿ ¡
倒置的感叹号	¡
倒置的问号	¿
倒置躺倒s	∾
倒脸	🙃
倒转	🔄
倒钩在上的向右鱼叉	⇀
倒钩在上的向左鱼叉	↼
倒钩在下的向右鱼叉	⇁
倒钩在下的向左鱼叉	↽
倒钩在右的向上鱼叉	↾
倒钩在右的向下鱼叉	⇂
倒钩在左的向上鱼叉	↿
倒钩在左的向下鱼叉	⇃
倔强	🫏
借记卡	💳
倦容	😫
值机	🛫
倾倒	🫗
倾倒液体	🫗
假笑	😏
偏微分	∂
做好	☑
做成心形的双手	🫶
做菜	🍽 🍳
做饭	👨‍🍳 👩‍🍳 🧑‍🍳
停止	🛑 ⏹ ⏸ 🫷 🫸
停止按钮	⏹
停止标志	🛑
停泊	⚓
停车	🅿
停车按钮	🅿
健康	🍎 🫚
健美者	🏋
健行	🥾
健身房	💪
偷看	🫣
偷窥	🫣
储物柜	🛅
傲慢	😤
傻瓜	🪿
傻笑	🤭
僵尸	🧟
儿童	🧒 👦 👧 👼
儿童不宜	🔞
儿童过街	🚸
元	¥
元符号	¥
元素	∈
元组	〈 〉
元音变音	¨
兄弟	👨 👨‍🦰 👨‍🦱 👨‍🦲 👨‍🦳
充满	🫃 🫄
先于	≺
光亮	🧨
光头	🦲
光明节	🕎
光环	😇
光盘	💿 💽 📀
光碟	📀
光线	☀
光荣花	🏵
克尔白	🕋
克鲁赛罗	₢
免费	🆓 🈚
免费按钮	🆓
免费电话	➿
免钱	🈚
兑换	💱
兔	🐇 🐰
兔先生	👯‍♂
兔女郎	👯‍♀
兔子	🐇
兔子头	🐰
兔子服	👯
兔宝宝	🐰
兔耳朵	👯 👯‍♀ 👯‍♂
入场券	🎟 🎫
入定	😣
入睡	🛌
全倒	🎳
全球	🌎 🌐 🌏
全称量词	∀
全等	≌
全网无阻	⛹
全麦面包	🍞
八分音符	♪ 🎵 🎶
八卦	💁
八字结	🪢
八戒	🐷
八点	🕗
八点半	🕣
八爪	🐙
八芒星	✳
八角形	🛑
八角星	✴
八轮辐星号	✳
八边形	🛑
公主	👸
公事包	💼
公交	🚌 🚍
公交站	🚏
公交车	🚌
公交车站	🚏
公共广播	📢
公共汽车	🚎 🚐 🚍 🚌
公共汽车站	🚏
公园	🏞
公墓	🪦
公安	👮‍♀ 👮
公平	⚖
公文包	💼
公正	⚖
公牛	🐂 ♉
公羊	🐏 ♈
公路	🛣
公鸡	🐓
六点	🕕
六点半	🕡
六芒星	✡ 🔯
六芒星加圆点	🔯
六角形风琴	🪗
六角括号	〔 〕
六角星	✡ 🔯
关东煮	🍢
关机	📴
关系上先于	⊰
关系上后于	⊱
关闭	📴
关闭手机	📴
兴奋	🎉 🤩 🤸‍♀ 🤸‍♂ 🤸
兴建	🏗
兵	♟
内向	🫥
内心活动气泡	💭
内积	⨼
内裤	🩳 🩲
内部	💠
再利用	♻
再次	🔄
再生	♻
再见	👋 🫂
冒冷汗	😓
冒汗	😓 🥵
写	✍
写作	📔
写字	✍ 🖋 ✒
写字夹板	📋
写字板	📋
写字楼	🏢
军事	🪖
军功章	🎖
军用	🪖
军用头盔	🪖
军警	🔰
军队	🫡 🎖 🪖
农作	🧺
农作物	🌽
农夫	👨‍🌾
农妇	👩‍🌾
农民	🧑‍🌾 👨‍🌾 👩‍🌾
冠军	🏆
冥想	🧘 🙇
冬天	🪾
冬季	🪾
冰	🍧 🧊 🍨
冰上溜石	🥌
冰冷	🧊
冰刀	⛸
冰块	🧊
冰壶	🥌
冰山	🧊
冰柱	🥶
冰沙	🍧
冰淇淋	🍨 🍦
冰激凌	🍨
冰球	🏒
冰球杆	🏒
冲刺	🏃‍♀ 🏃‍♀‍➡
冲泡	🫖
冲浪	🏄 🏄‍♀ 🏄‍♂
冲浪的人	🏄
冲浪者	🏄
冷	🥶
冷冰冰	🥶
冷却	🧊
冷汗	😰 😅
冷漠	😐
冷笑	🫠 😏
冷脸	🥶
冷饮	🧊
冻僵	🥶
净化	⚗
凉快	🪭
凉鞋	👡 🩴
凋谢	🥀
减	➖ −
减去	−
减号	− ⁻ ➖
减或加	∓
凝视	🫣
几何	🔲 🔴
几何图形	🔲
凤凰	🐦‍🔥
凤凰传奇	🐦‍🔥
凭据	🧾
凭证	🪪
出入口	🚪
出冷汗	😥
出境	🛫
出拳	👊
出汗	😅 🥵
出租车	🚕 🚖
击剑	🤺
击剑选手	🤺
击掌	🖐 🙌 🫷 🫸 ✋
刀	🍴 🔪 🪒
刀叉	🍴
刀叉与盘	🍽
分号	؛
分数斜线	⁄
分隔	🗂
分隔卡	🗂
分音符	¨
分音符号	¨
划桨	🚣
划船	🚣‍♀ 🚣‍♂
划船运动	🚣
划艇	🚣 🚣‍♀ 🚣‍♂
创可贴	🩹
创意	🎨
刨冰	🍧
利事	🧧
利是	🧧
利牙	🧛
别墅	🏡
别看	🙈
别针	🧷
刮刀	🪒
到站	🚆 🚈
到达	🛬
制作	⏺
制服	🥋
刷	🪥
刷卡	💳
刷子	🪥
刷新	🔃 🔄
刺客	🥷
刺毛	🪼
刺猬	🦔
剃刀	🪒
剃须刀	🪒
前台	💁 💁‍♀ 💁‍♂
前台女	💁‍♀
前台男	💁‍♂
前门	🚪
剑	† ‡ 🤺 ⚔
剑号	† ‡
剧院	🎦 🎭
剪	✂
剪刀	✂
剪头	💇 💇‍♀ 💇‍♂
剪子	✂
剪影	👥 🗣 👤
剪裁	✂
剪贴板	📋
剪贴簿	📋
剽窃	🦜
力量举重	🏋
办公	📁 📂
办公室	💼
办公楼	🏢
加	➕
加号	➕
加框的照片	🖼
加油	⛽
加油站	⛽
加纳塞地	₵
动物	🐆 🐎 🐔 🐕 🐗 🐘 🐦 🐨 🐵 🐸 🦊 🦌 🦍 🦏 🦘 🦙 🦛 🦝 🦡 🦣 🦤 🦦 🦧 🦫 🦬 🦭 🪰 🪱 🪲 🪳 🫎 ☣ 🐓 🐦‍⬛ 🦢 🪼 🫏 🐇 🐈‍⬛ 🪿
动物园	🐅
动车	🚄 🚅
助听器	🦻
劫掠	🪎
勋章	🎖
勤劳	🐝
勺子	🥄
勾	✅
勾号	✔ ✅ ☑
勾号按钮	✅
勾选	☑
勾选框	☑
包	🎒 💼
包包	👜
包含	∈
包含为成员	∋
包工头	👷
包礼物	🎁
包紧	🧣
包装	🧳 🎁
包裹	📦
包谷	🌽
匆忙	🏃 🏃‍➡
匕首	🗡
化妆	💄 🪞
化妆包	👝
化妆品	💄
化学	🧪 ⚗
化学家	👨‍🔬 👩‍🔬 🧑‍🔬 🧪
化疗	🦲
北极	🐻‍❄
北极熊	🐻‍❄
匙	🥄
匙子	🥄
匮乏	🤌
匹诺曹	🤥
医学	💉 ⚕
医护人员	👨‍⚕ 👩‍⚕
医生	👨‍⚕ 👩‍⚕ 🏥 💊 😷 🥼 🧑‍⚕ 🩺 💉 🩻
医疗	⚕ 🩸 🩺 🩻
医疗标志	⚕
医药	🏥
医院	🏥
十一点	🕚
十一点半	🕦
十二点	🕛
十二点半	🕧
十亿	💰
十字	⛑ ➕ ⚔
十字架	✝ ☦ †
十点	🕙
十点半	🕥
千分号	‰
千分比	‰
升号	♯
升天	🪽
升旗	🚩
升降机	🛗
升音符	♯
午餐	🍴
半死不活	🧟
半身	👥 👤
半身像	👥 👤
华丽	🦩
华夫饼	🧇
协议	🤝
单亲	🧑‍🧒 🧑‍🧒‍🧒
单亲一孩家庭	🧑‍🧒
单亲二孩家庭	🧑‍🧒‍🧒
单峰	🐪
单峰驼	🐪
单引号	‘ ’
单曲循环	🔂
单板	🏂
单板滑雪	🏂
单独	🔘
单环	➰
单眼	😜 👁
单眼吐舌	😜
单眼镜	🧐
单车	🚲 🚴 🚴‍♀ 🚴‍♂ 🚵‍♀ 🚵‍♂ 🚵
单轨	🚝
单轨电车	🚈 🚝
单选按钮	🔘
单选钮	🔘
卖弄	🦚
卖点	🪝
南极	🐧
南极洲	🐧
南瓜	🎃
南瓜派	🥧
南瓜灯	🎃
博物馆	🎨 🖼
卡	💳
卡博	🍢
卡士达	🍮
卡尔萨	🪯
卡拉ok	🎤
卡片	🗃 📇
卡片盒	🗃
卡片相机	📷
卡片索引	📇
卡牌	🎴
卡牌索引	📇
卡车	🛻 🚚 🚛
卢布	₽
卢布符号	₽
卢比	₨ ₹
卧底	👮‍♀ 👮
卫兵	💂 💂‍♀ 💂‍♂
卫士	💂‍♀ 💂‍♂ 💂
卫星	🛰 📡
卫星天线	📡
卫星接收天线	📡
卫星碟形天线	📡
卫生	🪥
卫生工作者	🧑‍⚕
卫生纸	🧻
卫生间	🚻 🚹 🚺 🚾 🚽
印刷机	🖨
印度	🕉 🥻
印度卢比	₹
印度卢比符号	₹
印度寺庙	🛕
印度教	🕉 🪷
印度油灯	🪔
印象深刻	🤯
印迹	🫆
危险	🛘 ⚡
卷发	🦱 👩‍🦱 👨‍🦱 🧑‍🦱
卷心菜	🥬
卷曲	📃
卷曲环	➰
卷毛狗	🐩
卷烟	🚬
卷盘	🧵
卷纸	🧻 📜
卷起	🗞
卷起的报纸	🗞
卷轴	📜
卷边	📃
卷饼	🌮 🌯
厄米共轭矩阵	⊹
压制	🧯
压缩	🗜
压马路	🚶 🚶‍➡
厌倦	🫩
厕所	🚾 🚹 🚺 🚻 🚽
原	⊶
原子	⚛
原子笔	🖊
原子符号	⚛
原木	🪵
原驼	🦙
厨师	🧑‍🍳 👨‍🍳 👩‍🍳
参考标记	※
叉	🍴 ❎
叉号	❌
叉号按钮	❎
叉骨	🦴
及格	🈴
友谊	🫂
双	‡
双s	§
双交集	⋒
双人像	👥
双人舞	👯
双剑	⚔
双剑号	‡
双卷曲环	➿
双叹号	‼
双子	♊
双子座	♊ 👬
双尖括号	《 》
双峰	🐫
双峰骆驼	🐫
双引号	“ ” „
双性	🏳‍🌈
双性恋	🌈
双感叹号	‼
双手	🙌 👐
双手合十	🙏
双掌	🤲
双掌向上	🤲
双条形	⏸
双环	➿
双眼	👀
双箭头	⏩ ⏪ ⏫ ⏬
双线等于或大于	⪚
双耳瓶	🏺
双胞胎	👯
双鱼	♓
双鱼座	♓ 🐟
反对	👎 🙅‍♀ 🙅‍♂ 🙅
反射	🪞
反射镜	🪞
反弹	🪃
反手	👆 👇 👈 👉 🖕
反手食指向上指	👆
反手食指向下指	👇
反手食指向右指	👉
反手食指向左指	👈
反转波浪号	∽
发件箱	📤
发传真	📠
发信	📤 📩
发光	🌟 🪼
发出	📩
发型	💇
发夹	🪮
发射	🚀
发明	🧑‍💻
发明家	👨‍💻 👩‍💻
发火	😡
发烧	🤒 🥵 🦟
发热	🦟 🥵
发票	🧾
发芽	🌱
发言	💬
发誓	🤬
发财	🤑
发送	📨 📤 📩
发邮件	📤 📩
发问	🙋‍♂
发飙	😡
取款机	🏧
取消	✖ ❌ ❎
取消锁定	🔓
受伤	🤕 🩼 🩹
受骗者	♟
变形的脸	🫪
变形虫	🦠
变现	💰
口水	🤤 😋
口红	👄 🫦 💄
口罩	😷
古典	🏛
古典建筑	🏛
古建筑	🏛
古怪	😜
古板	🧐
古老的钥匙	🗝
句号	。
只煎一面老	🍳
叫车	🚖
召唤	🧙 🫴
叮当	🔔
可	🉑
可以	👌 🙆‍♀ 🙆‍♂
可以喝的	🚰
可怕	😝
可怜兮兮的眼神	🥺
可接受	🉑
可爱	🩵 🩷
可达性	🛗
台式	🖥
台式电脑	🖥
台球	🎱
台球台	🎱
台钟	🕰
台阶	🪜
台风	🌀
右	» 🫱 ➡ → ⇆
右上	↗
右上对角线省略号	⋰
右上弯	⤴
右上弯箭头	⤴
右上箭头	↗
右下	↘
右下对角线省略号	⋱
右下弯	⤵
右下弯箭头	⤵
右下箭头	↘
右中空角括号	』
右中空透镜状方括号	〗
右倾愤怒对话框	🗯
右六角括号	〕
右双尖括号	》
右双引号	”
右尖括号	〉
右手	🫱
右撇号	’
右斜的放大镜	🔎
右燕尾号	»
右角括号	」
右转弯	↩
右转弯箭头	↩
右黑色透镜状方括号	】
叶	🍂
叶子	🍃
叶状	🔰
号	📯
号角	🥳 📯
叹号	❣ ‼ ❕ ❗ ⁉
叹号加问号	⁉
叹息	😮‍💨
叹气	😮‍💨
吃吃傻笑	🤭
吃惊	😮 😯 ❕ ❗ ⁉ ‼
吃撑	🫃 🫄
吃早餐	🍴
吃药	💊
吃角子老虎	🎰
吃饭	🍴
合	🈴
合上	📕
合上的书本	📕
合上的锁	🔒
合掌	🙏
吉他	🎸
吊牌	🏷
同好	👯‍♂ 👯
同志	🌈
同性	🏳‍🌈
同情	😮
同意	👍 👌 🙆 🆗 🙆‍♀ 🙆‍♂
名片索引	📇
名牌	📛
后于	≻
后于或不约等于	⪺
后门	🚪
吐	🤮
吐舌	😛 😝 😜 🥵
吐舌头的脸	😛
向上	🔼 📈 🔝 🔺 🆙 ⏫
向上三角	⏏
向上三角形按钮	🔼
向上双头箭头	↟
向上双箭头	⇑
向上弯曲的右箭头	⤴
向上指	☝ 👆
向上按钮	🔼
向上爬的人	🧗
向上的箭头	↑
向上空心箭头	⇧
向上箭头	⬆
向上虚线箭头	⇡
向下	⬇ 🔽 📉 ⏬ 🔻
向下三角形按钮	🔽
向下双头箭头	↡
向下双箭头	⇓
向下弯曲的右箭头	⤵
向下指	👇
向下按钮	🔽
向下的箭头	↓
向下空心箭头	⇩
向下箭头	⬇
向下虚线箭头	⇣
向下锯齿形箭头	↯
向前	⏩
向前冲	🏃 🏃‍➡
向右	🫸 🫱 ⏯
向右三箭头	⇛
向右双头箭头	↠
向右双箭头	⇒
向右弯曲的左箭头	↪
向右指	👉
向右推	🫸
向右曲线箭头	⇝
向右波浪箭头	↝
向右的手	🫱
向右的箭头	→
向右空心箭头	⇨
向右箭头	➡
向右虚线箭头	⇢
向左	🫷 🫲
向左三箭头	⇚
向左双头箭头	↞
向左双箭头	⇐
向左弯曲的右箭头	↩
向左指	👈
向左推	🫷
向左曲线箭头	⇜
向左波浪箭头	↜
向左的手	🫲
向左的箭头	←
向左空心箭头	⇦
向左箭头	⬅
向左虚线箭头	⇠
向日葵	🌻
向量叉乘	⨯
向量微分	∇
吓人	👹 🧟
吓到了	🤯
吓死	😱
吓死了	😱
君主	🫅
君威	🫅
君子协定	🤝
否决	👎
否定	🙂‍↔
含泪的笑脸	🥲
听力	🧏
听力障碍	🧏‍♀ 🧏‍♂ 🦻 🧏
听筒	📞
听诊器	🩺
听障	🦻 🧏
吵架	🫯
吸力	🪠
吸引	🧲
吸引力	🧲
吸收	🧽
吸气	🫁
吸水	🧽
吸烟	🚭 🚬
