# 编码	词频（wordfreq 英文 Zipf × 1000）
affirmative	3570
affirmatives	0
affirmed	3360
affirming	3150
affirms	2960
affix	2630
affixed	2940
affixes	2380
affixing	2080
afflict	2430
afflicted	3290
afflicting	2350
affliction	3110
afflictions	2590
afflicts	2320
affluence	2740
affluent	3370
afford	4570
affordable	4220
afforded	3460
affording	2760
affords	3050
affront	2890
affronted	2150
affronting	1340
affronts	1760
afield	3000
aflame	2460
afloat	3330
afoot	2890
aforementioned	3540
aforesaid	2600
afraid	4700
afresh	2780
african	4820
africans	3770
after	6110
aftereffect	1670
aftereffects	2280
afterlife	3360
afterlives	1570
aftermath	3900
aftermaths	1580
afternoon	4720
afternoons	3270
afterthought	2880
afterthoughts	1830
afterward	3830
afterwards	4420
again	5700
against	5680
age	5320
aged	4500
ageing	3440
agencies	4540
agency	4870
agenda	4300
agendas	3270
agent	4810
agents	4550
ages	4530
aggravate	2800
aggravated	3470
aggravates	2370
aggravating	3120
aggravation	2760
aggravations	1370
aggregate	3940
aggregated	3040
aggregates	3070
aggregating	2590
aggression	3900
aggressive	4320
aggressively	3630
aggressiveness	2860
aggressor	3010
aggressors	2660
aghast	2640
agile	3410
agility	3330
aging	4040
agitate	2640
agitated	3350
agitates	1890
agitating	2670
agitation	3190
agitations	2070
agitator	2590
agitators	2690
aglow	2210
agnostic	3020
agnosticism	2360
agnostics	2380
ago	5420
agonies	2240
agonise	1430
agonised	1860
agonises	0
agonising	2360
agonize	2140
agonized	2330
agonizes	1300
agonizing	2990
agony	3600
agree	4970
agreeable	3190
agreeably	2110
agreed	4840
agreeing	3830
agreement	4880
agreements	4120
agrees	4080
agricultural	4340
agriculture	4370
aground	2830
ah	4630
ahead	5010
ahoy	2730
aid	4750
aide	3690
aided	3740
aides	3410
aiding	3440
aids	4250
ail	2260
ailed	1640
ailing	3080
ailment	2980
ailments	3220
ails	2480
aim	4510
aimed	4250
aiming	3890
aimless	2650
aimlessly	2820
aims	4210
air	5370
airborne	3670
aircraft	4640
aired	3850
airfield	3290
airfields	2700
airier	1360
airiest	0
airing	3580
