# 编码	词频（wordfreq 英文 Zipf × 1000）
sunburning	0
sunburns	2070
sundae	2760
sundaes	2200
sunday	4920
sundays	3750
sundial	2460
sundials	1800
sundown	2960
sundowns	2100
sundry	2760
sunflower	3360
sunflowers	2820
sung	3910
sunglasses	3720
sunk	3740
sunken	3260
sunlight	3860
sunlit	2440
sunned	1380
sunnier	2200
sunniest	2110
sunning	2260
sunny	4070
sunrise	3820
sunrises	2360
suns	3590
sunscreen	3290
sunscreens	2370
sunset	4040
sunsets	3040
sunshine	4160
suntan	2280
suntanned	1550
suntanning	1120
suntans	1220
sunup	1780
sup	3560
super	5080
superb	3960
superber	0
superbest	0
superbly	3000
supercomputer	2760
supercomputers	2480
superficial	3560
superficially	2900
superfluous	3000
superhuman	3110
superintendent	3970
superintendents	2740
superior	4460
superiority	3590
superiors	3380
superlative	2790
superlatives	2470
supermarket	3780
supermarkets	3420
supernatural	3890
supers	2440
superscripts	1560
supersede	2680
superseded	3170
supersedes	2610
superseding	2260
supersonic	3150
superstar	3830
superstars	3300
superstition	3210
superstitions	2840
superstitious	3140
superstructure	2890
superstructures	1920
supervise	3320
supervised	3590
supervises	2710
supervising	3320
supervision	3940
supervisions	1290
supervisor	3950
supervisors	3570
supervisory	3320
supper	3740
suppers	2400
supplant	2560
supplanted	2810
supplanting	2220
supplants	1670
supple	2870
supplement	4030
supplementary	3360
supplemented	3330
supplementing	2830
supplements	3770
suppler	0
supplest	0
supplied	4240
supplier	3840
suppliers	3910
supplies	4480
supply	4810
supplying	3750
support	5530
supported	4680
supporter	4070
supporters	4460
supporting	4710
supportive	4050
supports	4420
suppose	4560
supposed	4910
supposedly	3960
supposes	2480
supposing	2980
supposition	2630
suppositions	2060
suppress	3660
suppressed	3600
suppresses	2750
suppressing	3280
suppression	3680
supremacy	3640
supreme	4690
supremely	3040
surcharge	3120
surcharged	1590
surcharges	2620
surcharging	1330
sure	5670
surely	4550
surer	2180
surest	2620
surf	3860
surface	4830
surfaced	3430
surfaces	4019
surfacing	2920
surfboard	2810
surfboarded	0
surfboarding	0
surfboards	2360
surfed	2470
surfing	3720
surfs	2220
surge	3820
surged	3000
surgeon	4130
surgeons	3810
surgeries	3510
surgery	4630
surges	3050
surgical	4050
surging	3010
surlier	0
surliest	0
surly	2850
surmise	2670
surmised	2640
surmises	2060
surmising	1700
surmount	2210
surmounted	2790
surmounting	2090
surmounts	1630
surname	3500
surnames	2890
surpass	3370
surpassed	3620
surpasses	3000
surpassing	3170
surplus	3870
surpluses	2800
surplussed	0
surplussing	0
surprise	4750
surprised	4680
surprises	3890
surprising	4280
surprisingly	4090
surreal	3590
surrender	4090
surrendered	3630
surrendering	3130
surrenders	2800
surreptitious	2280
surround	3790
surrounded	4360
surrounding	4490
surroundings	3790
surrounds	3460
surveillance	4170
survey	4690
surveyed	3670
surveying	3330
surveyor	3360
surveyors	3050
surveys	4000
survival	4370
survivals	2009
survive	4520
survived	4320
survives	3550
surviving	4030
survivor	4000
survivors	4100
susceptible	3670
suspect	4510
suspected	4150
suspecting	2960
suspects	3940
suspend	3680
suspended	4320
suspending	3150
suspends	2860
suspense	3530
suspension	4240
suspensions	3220
suspicion	3970
suspicions	3490
suspicious	4090
suspiciously	3080
sustain	3930
sustainable	4190
sustained	4190
sustaining	3550
sustains	2890
sustenance	2990
sw	3680
swab	2830
swabbed	2090
swabbing	2000
swabs	2640
swagger	3160
swaggered	1670
swaggering	2310
swaggers	1570
swallow	3870
swallowed	3640
swallowing	3360
swallows	3210
swam	3340
swamp	3840
swamped	2990
swampier	0
swampiest	0
swamping	1960
swamps	3150
swampy	2760
swan	3840
swans	3330
swap	3940
swapped	3370
swapping	3320
swaps	3150
swarm	3440
swarmed	2830
swarming	3000
swarms	2930
swarthier	0
swarthiest	0
swarthy	2170
swat	3460
swathe	2290
swathed	2190
swathes	2550
swathing	1040
swats	2020
swatted	2430
swatting	2450
sway	3650
swayed	3200
swaying	3080
sways	2430
swear	4510
swearing	3530
swears	3180
sweat	4140
sweated	2530
sweater	3780
sweaters	3270
sweating	3660
sweats	3100
sweaty	3560
sweep	3970
sweeper	2890
sweepers	2510
sweeping	3790
sweepings	1570
sweeps	3340
sweepstake	1980
sweepstakes	3050
sweet	4910
sweeten	2770
sweetened	3010
sweetening	2240
sweetens	1830
sweeter	3320
sweetest	3410
sweetheart	3740
sweethearts	2820
sweetly	3010
sweetness	3480
sweets	3620
swell	3640
swelled	3040
sweller	1100
swellest	0
swelling	3680
swellings	2040
swells	3090
swept	3940
swerve	2950
swerved	2740
swerves	2170
swerving	2660
swift	4150
swifter	2230
swiftest	2040
swiftly	3540
swifts	2720
swig	2610
swigged	1260
swigging	1710
swigs	1720
swill	2320
swilled	1320
swilling	2130
swills	1030
swim	4210
swimming	4430
swims	3010
swindle	2670
swindled	2490
swindler	2370
swindlers	2230
swindles	1860
swindling	2310
swine	3460
swines	1650
swing	4340
swinging	3790
swings	3660
swipe	3580
swiped	2910
swipes	2660
swiping	2960
swirl	3160
swirled	2670
swirling	3170
swirls	2710
swish	2890
swished	1890
swisher	2480
swishes	1730
swishing	2260
switch	4600
switchable	2070
switchboard	2810
switchboards	1780
switched	4140
switches	3840
switching	4059
swivel	2990
swiveled	1770
swiveling	1980
swivelled	1650
swivelling	1840
swivels	2150
swollen	3570
swoon	2880
swooned	2170
swooning	2480
swoons	1920
swoop	3200
swooped	2680
swooping	2600
swoops	2440
sword	4370
swordfish	2670
swordfishes	0
swords	3760
swore	3530
sworn	3900
swum	2430
swung	3470
syllable	3320
syllables	3240
syllabus	3340
syllabuses	1930
symbol	4310
symbolic	3860
symbolise	2490
symbolised	2390
symbolises	2500
symbolising	2170
symbolism	3460
symbolize	3040
symbolized	2850
symbolizes	3040
symbolizing	2650
symbols	4050
symmetric	3210
symmetrical	3280
symmetries	2460
symmetry	3510
sympathetic	3810
sympathetically	2510
sympathies	3230
sympathise	2710
sympathised	2090
sympathises	1620
sympathising	1930
sympathize	3060
sympathized	2460
sympathizes	2190
sympathizing	2370
sympathy	4010
symphonic	2840
symphonies	2790
symphony	3770
symptom	3640
symptomatic	3090
symptoms	4480
synagogue	3450
synagogues	2910
synapses	2830
synchronisation	2290
synchronise	2080
synchronised	2630
synchronises	1310
synchronising	1750
synchronization	3110
synchronize	2710
synchronized	3200
synchronizes	1800
synchronizing	2390
synchronous	3000
syndicate	3510
syndicated	3050
syndicates	2740
syndicating	1640
syndrome	4230
syndromes	2870
synonym	3130
synonymous	3500
synonyms	3210
synopses	2130
synopsis	3380
syntactic	2820
syntactically	2150
syntax	3530
syntheses	2220
synthesis	3840
synthesised	2320
synthesises	1260
synthesized	3240
synthesizer	2810
synthesizers	2530
synthesizes	2150
synthetic	3950
synthetics	2560
syphilis	3100
syringe	3270
syringed	1160
syringes	2880
syringing	1150
syrup	3760
syrups	2520
system	5560
systematic	3870
systematically	3520
systems	5070
t	5430
tab	3960
tabbed	2360
tabbies	1530
tabbing	1650
tabby	2790
tabernacle	3060
tabernacles	2120
table	5050
tablecloth	2690
tablecloths	2430
tabled	2940
tables	4290
tablespoon	3150
tablespoonful	1370
tablespoonfuls	1340
tablespoons	3180
tablet	4050
tablets	3910
tabling	2270
tabloid	3250
tabloids	2890
taboo	3470
tabooed	1100
tabooing	0
taboos	2810
tabs	3610
tabulate	1940
tabulated	2500
tabulates	1480
tabulating	2040
tabulation	2320
tabulations	1770
tacit	2940
tacitly	2690
taciturn	2370
tack	3370
tacked	2870
tackier	1150
tackiest	1410
tacking	2510
tackle	4150
tackled	3350
tackles	3760
tackling	3500
tacks	2660
tacky	3180
taco	3690
tacos	3430
tact	3080
tactful	2590
tactfully	2360
tactic	3710
tactical	3970
tactics	4170
tactless	2260
tactlessly	1360
tadpole	2510
tadpoles	2540
tag	4440
tagged	3820
tagging	3370
tags	3820
tail	4340
tailed	3360
tailgate	3020
tailgated	1560
tailgates	2000
tailgating	2800
tailing	2690
taillight	2260
taillights	2380
tailor	3610
tailored	3560
tailoring	3050
tailors	2830
tails	3680
tailspin	2320
tailspins	0
taint	2980
tainted	3380
tainting	2120
taints	2090
take	5920
taken	5330
takeoff	3350
takeoffs	2220
takeover	3690
takers	3220
takes	5180
taking	5390
talc	2520
tale	4290
talent	4640
talented	4300
talents	3970
tales	4100
talisman	3060
talismans	2360
talk	5420
talkative	2970
talked	4620
talker	2960
talkers	2670
talking	5290
talks	4610
tall	4520
taller	3730
tallest	3500
tallied	2880
tallies	2770
tallow	2430
tally	3620
tallying	2500
talon	2970
talons	2770
tambourine	2640
tambourines	1910
tame	3560
tamed	3010
tamely	1940
tameness	1540
tamer	2740
tames	2070
tamest	1430
taming	2920
tamper	2890
tampered	2950
tampering	3180
tampers	1790
tan	4010
tandem	3530
tandems	1870
tang	3580
tangent	3190
tangential	2730
tangents	2490
tangerine	2940
tangerines	2290
tangible	3660
tangibles	1530
tangle	3100
tangled	3460
tangles	2610
tangling	2260
tango	3580
tangoed	1150
tangoing	0
tangos	2140
tangs	1930
tank	4570
tankard	2360
tankards	1740
tanked	2750
tanker	3440
tankers	3180
tanking	2720
tanks	4270
tanned	3130
tanner	3560
tannest	0
tanning	3310
tans	2660
tantalise	1370
tantalised	1100
tantalises	0
tantalising	2310
tantalize	1770
tantalized	1540
tantalizes	1060
tantalizing	2710
tantamount	2930
tantrum	3130
tantrums	2980
tap	4280
tape	4440
taped	3500
taper	3300
tapered	3150
tapering	3130
tapers	2590
tapes	3820
tapestries	2800
tapestry	3240
taping	3240
tapped	3690
tapping	3760
taps	3560
tar	3630
tarantula	2720
tarantulas	2340
tardier	0
tardiest	0
tardiness	2430
tardy	2690
target	4820
targeted	4220
targeting	3990
targets	4290
tariff	3490
tariffs	3630
tarnish	2850
tarnished	2950
tarnishes	1960
tarnishing	2390
tarpaulin	2380
tarpaulins	1990
tarred	2510
tarried	1550
tarrier	0
tarries	1240
tarriest	0
tarring	2070
tarry	2430
tarrying	1260
tars	2470
tart	3370
tartan	2910
tartans	1960
tartar	2880
tartars	2260
tarter	1890
tartest	0
tarts	2980
task	4650
tasked	3530
tasking	2760
tasks	4230
tassel	2690
tasseled	1620
tasseling	0
tasselled	1550
tasselling	0
tassels	2570
taste	4730
tasted	3700
tasteful	3000
tastefully	2560
tasteless	3030
tastes	4080
tastier	2460
tastiest	2370
tasting	3650
tasty	3840
tattle	2340
tattled	1400
tattles	1170
tattling	1830
tattoo	4140
tattooed	3400
tattooing	2750
tattoos	3840
tatty	2190
taught	4680
taunt	2960
taunted	2740
taunting	3010
taunts	2960
taurus	3250
tauruses	1110
taut	2910
tauter	0
tautest	0
tautology	2240
tavern	3550
taverns	2740
tawdrier	0
tawdriest	0
tawdry	2440
tawnier	0
tawniest	0
tawny	2770
tax	5140
taxable	3350
taxation	3810
taxed	3520
taxes	4650
taxi	4190
taxicab	2600
taxicabs	2120
taxied	1970
taxiing	2270
taxing	3410
taxis	3440
taxpayer	3860
taxpayers	3850
tb	3710
tea	4730
teach	4670
teacher	4880
teachers	4740
teaches	3950
teaching	4720
teachings	3760
teacup	2710
teacups	2220
teak	2840
teaks	0
team	5670
teamed	3600
teaming	3340
teammate	3840
teammates	3980
teams	4970
teamster	2190
teamsters	2800
teamwork	3480
teapot	2910
teapots	2180
tear	4350
teardrop	2730
teardrops	2320
teared	2590
tearful	2990
tearing	3790
tears	4470
teas	3170
tease	3590
teased	3320
teases	2840
teasing	3550
teaspoon	3300
teaspoons	2930
teat	2500
teats	2270
technical	4750
technicalities	2710
technicality	2830
technically	4100
technician	3700
technicians	3570
technique	4470
techniques	4510
technological	4059
technologically	3150
technologies	4320
technology	5090
tedious	3500
tediously	2009
tedium	2550
tee	3820
teed	2410
teeing	2100
teem	2070
teemed	1710
teeming	2940
teems	2000
teenage	4140
teenager	4090
teenagers	4010
tees	3320
teeter	2430
teetered	1900
teetering	2560
teeters	1990
teeth	4580
teethe	1010
teethed	1130
teethes	0
teething	2840
teetotal	1890
teetotaler	1860
teetotalers	1420
teetotaller	1740
teetotallers	1310
telecommunications	3830
telegram	3550
telegrams	2680
telegraph	4000
telegraphed	2560
telegraphing	2029
telegraphs	2490
telepathic	2780
telepathy	2880
telephone	4410
telephoned	2910
telephones	3180
telephoning	2200
telescope	3750
telescoped	1470
telescopes	3230
telescoping	2370
teletype	2240
televise	2220
televised	3530
televises	1160
televising	2060
television	4790
televisions	3080
tell	5530
teller	3490
tellers	2780
telling	4920
tells	4780
telltale	2900
telltales	1140
temper	3810
temperament	3360
temperamental	2750
temperaments	2410
temperance	3150
temperate	3330
temperature	4640
temperatures	4330
tempered	3530
tempering	2520
tempers	2810
tempest	3290
tempests	2090
tempestuous	2490
template	3710
temple	4450
temples	3700
tempo	3740
temporal	3630
temporaries	1410
temporarily	4059
temporary	4480
tempos	2370
tempt	3220
temptation	3720
temptations	3160
tempted	3860
tempting	3650
tempts	2400
ten	5050
tenable	2400
tenacious	3040
tenacity	3110
tenancies	2480
tenancy	3070
tenant	3780
tenanted	2140
tenanting	0
tenants	3880
tend	4570
tended	3750
tendencies	3590
tendency	3960
tender	4090
tendered	3050
tenderer	1670
tenderest	1700
tendering	2660
tenderise	1040
tenderised	0
tenderises	0
tenderising	0
tenderize	1620
tenderized	1480
tenderizes	0
tenderizing	1490
tenderly	2780
tenderness	3240
tenders	3280
tending	3290
tendon	3310
tendons	3010
tendril	2029
tendrils	2620
tends	4120
tenement	2860
tenements	2600
tenet	3000
tenets	3090
tennis	4350
tenor	3400
tenors	2360
tens	3890
tense	3950
tensed	2640
tenser	1740
tenses	2660
tensest	1210
tensing	2180
tension	4220
tensions	3780
tensors	2200
tent	4050
tentacle	2670
tentacles	3200
tentative	3450
tentatively	3140
tented	2370
tenth	3920
tenths	2970
tenting	1920
tents	3600
tenuous	3020
tenure	3930
tenured	2770
tenures	2410
tenuring	0
tepee	2029
tepees	1600
tepid	2710
term	5230
termed	3620
terminal	4310
terminally	3030
terminals	3610
terminate	3650
terminated	3750
terminates	2990
terminating	3220
termination	3730
terminator	3280
terminators	2220
terming	2050
termini	2480
terminologies	2009
terminology	3680
terminus	3180
termite	2780
termites	2950
termly	1420
terms	5100
terrace	3880
terraced	3010
terraces	3290
terracing	2080
terrain	3940
terrains	2470
terrestrial	3480
terrestrials	1760
terrible	4710
terribly	3910
terrier	3240
terriers	2770
terrific	3900
terrified	3940
terrifies	2710
terrify	2800
terrifying	3950
territorial	3910
territorials	1620
territories	4019
territory	4600
terror	4260
terrorise	2120
terrorised	2150
terrorises	1310
terrorising	2160
terrorism	4240
terrorist	4350
terrorists	4200
terrorize	2790
terrorized	2810
terrorizes	2150
terrorizing	2810
terrors	2940
terse	2670
tersely	1940
terseness	1380
terser	0
tersest	0
test	5190
testable	2480
testament	4070
testaments	2570
tested	4480
testers	3010
testes	2710
testicle	2830
testicles	3180
testified	3820
testifies	3000
testify	3840
testifying	3220
testimonial	3070
testimonials	2900
testimonies	3150
testimony	4170
testing	4670
tests	4670
tetanus	2860
tether	2960
tethered	2940
tethering	2320
tethers	2180
text	5010
textbook	3770
textbooks	3660
texted	3450
textile	3750
textiles	3490
texting	3710
texts	4340
textual	3340
textually	1850
texture	3930
textured	3150
textures	3480
texturing	2210
than	6130
thank	5480
thanked	3640
thankful	3930
thankfully	3800
thanking	3520
thankless	2610
thanks	5430
that	7010
thatch	2710
thatched	2860
thatcher	3470
thatches	0
thatching	1800
thaw	3180
thawed	2710
thawing	2670
thaws	2190
the	7730
theater	4350
theaters	3870
theatre	4520
theatres	3540
theatrical	3680
theft	4130
thefts	2940
their	6330
theirs	3960
theists	2220
them	6190
theme	4620
themes	4190
themself	2600
themselves	5160
then	6070
thence	3070
theologian	3000
theologians	3120
theological	3770
theologies	2140
theology	3920
theorem	3710
theorems	2910
theoretic	2590
theoretical	4010
theoretically	3640
theories	4220
theorise	1890
theorised	2070
theorises	1330
theorising	2020
theorist	3160
theorists	3420
theorize	2540
theorized	2820
theorizes	2020
theorizing	2630
theory	4880
therapeutic	3850
therapies	3490
therapist	3970
therapists	3430
therapy	4520
there	6310
thereabouts	2650
thereafter	3970
thereby	4030
therefore	4870
therein	3420
thereof	3740
thereon	2770
thereupon	2540
thermal	4040
thermals	2390
thermodynamics	3100
thermometer	3220
thermometers	2540
thermostat	3100
thermostats	2540
thesaurus	2880
thesauruses	1120
these	6040
theses	3210
thesis	4050
theta	3160
they	6500
thick	4460
thicken	2710
thickened	2890
thickening	2830
thickens	2780
thicker	3600
thickest	2620
thicket	2690
thickets	2490
thickly	2630
thickness	3750
thicknesses	2570
thief	3880
thieves	3830
thigh	3730
thighs	3670
thimble	2530
thimbles	1800
thin	4470
thing	5720
things	5740
think	6080
thinkers	3480
thinking	5240
thinks	4780
thinly	3270
thinned	2720
thinner	3560
thinnest	2670
thinning	3140
thins	2570
third	5320
thirds	3910
thirst	3640
thirsted	1650
thirstier	1620
thirstiest	1300
thirsting	2320
thirsts	1940
thirsty	3740
thirteen	3890
thirteens	1110
thirteenth	3360
thirteenths	0
thirties	3240
thirtieth	2480
thirtieths	0
thirty	4380
this	6820
thistle	3240
thistles	2430
thong	3160
thongs	2780
thorn	3480
thornier	1350
thorniest	1340
thorns	3250
thorny	2930
thorough	3970
thoroughbred	2980
thoroughbreds	2460
thorougher	0
thoroughest	0
thoroughfare	2910
thoroughfares	2580
thoroughly	4090
those	5900
though	5500
thought	5590
thoughtful	3830
thoughtfully	2970
thoughtfulness	2550
thoughtless	2900
thoughtlessly	2150
thoughts	4750
thousand	4640
thousands	4770
thousandth	2550
thousandths	2090
thrash	3150
thrashed	2850
thrashes	1950
thrashing	2990
thread	4440
threadbare	2430
threaded	3230
threading	2910
threads	3850
threat	4600
threaten	3940
threatened	4360
threatening	4190
threatens	3750
threats	4280
three	5780
threes	3020
thresh	2200
threshed	1480
thresher	2340
threshers	1830
threshes	1020
threshing	2440
threshold	4030
thresholds	3150
threw	4460
thrice	3140
thrift	3400
thriftier	0
thriftiest	0
thrifts	1670
thrifty	2860
thrill	3720
thrilled	3940
thriller	3910
thrillers	2970
thrilling	3610
thrills	3160
thrive	3730
thrived	3010
thrives	3100
thriving	3620
throat	4300
throats	3370
throb	2680
throbbed	1910
throbbing	3120
throbs	2130
throne	4110
thrones	3800
throng	2800
thronged	2350
thronging	1850
throngs	2440
throttle	3470
throttled	2460
throttles	2140
throttling	2640
through	5870
throughout	4990
throughput	3180
throw	4830
throwaway	2770
throwback	3250
throwbacks	2340
throwing	4400
thrown	4400
throws	4080
thrust	3860
thrusting	2940
thrusts	2820
thud	2900
thudded	1590
thudding	2120
thuds	1990
thug	3480
thugs	3560
thumb	4010
thumbed	2270
thumbing	2330
thumbs	3690
thumbtack	1880
thumbtacks	1830
thump	2970
thumped	2420
thumping	3160
thumps	2410
thunder	4140
thunderbolt	3090
thunderbolts	2390
thundered	2450
thundering	2960
thunderous	2770
thunders	2580
thunderstorm	3250
thunderstorms	3330
thunderstruck	2240
thursday	4620
thursdays	3270
thus	4910
thwart	3060
thwarted	3150
thwarting	2700
thwarts	2220
thyme	3070
thyroid	3530
thyroids	1280
tiara	2980
tiaras	2290
tick	3800
ticked	3060
ticket	4610
ticketed	2680
ticketing	3050
tickets	4600
ticking	3460
tickle	3240
tickled	3010
tickles	2860
tickling	2930
ticklish	2620
ticks	3380
tidal	3700
tidbit	2570
tidbits	2700
tide	4050
tided	1210
tides	3470
tidied	2390
tidier	1920
tidies	1620
tidiest	1330
tiding	1450
tidy	3530
tidying	2690
tie	4510
tied	4470
tier	4160
tiers	3250
ties	4350
tiff	3030
tiffed	0
tiffing	0
tiffs	1880
tiger	4300
tigers	4150
tight	4570
tighten	3510
tightened	3290
tightening	3300
tightens	2700
tighter	3580
tightest	2610
tightly	3760
tightness	2960
tightrope	2720
tightropes	1040
tights	3290
tightwad	1580
tightwads	0
tilde	2190
tile	3720
tiled	3000
tiles	3710
tiling	2860
till	4790
tilled	2220
tilling	2360
tills	2460
tilt	3660
tilted	3330
tilting	3120
tilts	2790
timber	4010
timbered	2490
timbering	1830
timbers	3170
time	6290
timed	3620
timekeeper	2270
timekeepers	1840
timeless	3530
timelier	1240
timeliest	0
timely	3850
timer	3680
timers	3280
times	5560
timescale	2740
timescales	2460
timetable	3440
timetabled	1660
timetables	2780
timetabling	1680
timezone	2560
timid	3250
timider	0
timidest	0
timidity	2340
timidly	2350
timing	4290
timings	2880
tin	4030
tinder	3690
tinge	2830
tinged	3080
tingeing	0
tinges	1700
tingle	2860
tingled	1790
tingles	2330
tingling	3100
tinier	2090
tiniest	3070
tinker	3280
tinkered	2320
tinkering	2960
tinkers	2230
tinkle	2360
tinkled	1550
tinkles	1640
tinkling	2460
tinned	2690
tinnier	0
tinniest	0
tinning	1650
tinny	2380
tins	3060
tinsel	2650
tinseled	0
tinseling	0
tinselled	0
tinselling	0
tinsels	0
tint	3220
tinted	3270
tinting	2270
tints	2600
tiny	4620
tip	4550
tipped	3670
tipping	3560
tips	4580
tipsier	0
tipsiest	0
tipsy	2870
tiptoe	2640
tiptoed	2029
tiptoeing	2280
tiptoes	2220
tirade	2870
tirades	2200
tire	4019
tired	4710
tireder	0
tiredest	0
tireless	3040
tires	4030
tiresome	3080
tiring	3370
tissue	4320
tissues	3830
tit	3480
titbit	1450
titbits	1650
titillate	1900
titillated	1690
titillates	1160
titillating	2310
title	5100
titled	4100
titles	4410
titling	2350
tits	4000
titter	1860
tittered	1120
tittering	1650
titters	1600
tnt	3310
to	7430
toad	3340
toads	2900
toadstool	1980
toadstools	1770
toast	3960
toasted	3260
toaster	3330
toasters	2460
toasting	2690
toasts	2660
tobacco	4190
tobaccos	1970
toboggan	2310
tobogganed	0
tobogganing	1870
toboggans	1460
today	5550
toddle	1890
toddled	1560
toddler	3830
toddlers	3380
toddles	1360
toddling	1820
toe	4070
toed	2830
toeing	2330
toenail	2590
toenails	2810
toes	3960
toffee	2890
toffees	2200
toga	2730
togas	1840
together	5460
toggle	3090
toil	3030
toiled	2610
toilet	4310
toileted	0
toileting	1840
toilets	3670
toiling	2630
toils	2160
token	3820
tokens	3530
told	5540
tolerable	3110
tolerably	2040
tolerance	4059
tolerances	2800
tolerant	3580
tolerate	3840
tolerated	3540
tolerates	2620
tolerating	2750
toll	4080
tolled	2350
tolling	2660
tolls	3300
tomahawk	2890
tomahawked	1060
tomahawking	0
tomahawks	2250
tomato	3850
tomatoes	3900
tomb	3890
tombed	0
tombing	0
tomboy	2790
tomboys	1570
tombs	3340
tombstone	3150
tombstones	2670
tomcat	2580
tomcats	1790
tome	3210
tomes	2610
tomorrow	5020
tomorrows	2520
ton	4290
tonal	3090
tone	4490
toned	3480
tones	3760
tongs	2800
tongue	4370
tongued	2640
tongues	3450
tonguing	1930
tonic	3390
tonics	2470
tonight	5030
toning	2750
tonnage	2940
tonnages	1820
tonnes	3720
tons	4460
tonsil	2350
tonsillitis	2380
tonsils	2790
too	5950
took	5510
tool	4560
tooled	2370
tooling	2950
toolkit	3080
tools	4590
toot	3030
tooted	1670
tooth	4080
toothache	2760
toothaches	1700
toothbrush	3380
toothbrushes	2630
toothpaste	3370
toothpastes	1980
toothpick	2810
toothpicks	2460
tooting	2670
toots	2610
top	5570
topaz	2870
topazes	1070
topic	4490
topical	3450
topics	4270
topographies	1620
topography	3280
topology	3200
topped	3920
topping	3560
topple	2950
toppled	2920
topples	2080
toppling	2650
tops	4070
torch	3740
torched	2890
torches	3150
torching	2420
tore	3710
torment	3360
tormented	3170
tormenting	2680
tormentor	2310
tormentors	2260
torments	2670
torn	4080
tornado	3820
tornadoes	3270
torpedo	3440
torpedoed	2570
torpedoes	3150
torpedoing	1870
torque	3650
torrent	3430
torrential	2900
torrents	2940
torrid	2640
torso	3410
torsos	2240
tortilla	3060
tortillas	2930
tortoise	3260
tortoises	2780
tortuous	2650
torture	4150
tortured	3780
tortures	2840
torturing	3230
toss	3910
tossed	3750
tosses	2930
tossing	3390
tot	3160
total	5210
totaled	3370
totaling	3300
totalitarian	3210
totalitarianism	2820
totalitarians	1580
totalities	0
totality	2980
totalled	2970
totalling	3070
totally	4830
totals	3480
tote	3270
toted	1750
totem	3090
totems	2420
totes	2940
toting	2740
tots	3000
totted	1430
totter	2150
tottered	1590
tottering	2170
totters	1580
totting	1630
toucan	2360
toucans	1820
touch	4910
touchdown	3960
touchdowns	3580
touched	4300
touches	3980
touchier	0
touchiest	0
touching	4220
touchy	3140
tough	4770
toughen	2650
toughened	2430
toughening	2070
toughens	1720
tougher	3660
toughest	3610
toughness	3310
toughs	1850
toupee	2220
toupees	1400
tour	4990
toured	3400
touring	3890
tourist	4200
tourists	4059
tournament	4560
tournaments	3840
tourniquet	2540
tourniquets	1870
tours	4140
tousle	1470
tousled	2220
tousles	0
tousling	1020
touted	3190
tow	3720
toward	4720
towards	5060
towed	3380
towel	3940
toweled	1200
toweling	1500
towelled	0
towelling	1710
towels	3650
tower	4500
towered	2420
towering	3250
towers	4019
towing	3320
town	5240
towns	4390
townspeople	2860
tows	2270
toxic	4240
toxin	3300
toxins	3500
toy	4300
toyed	2680
toying	2990
toys	4250
trace	4190
traced	3800
traces	3890
tracing	3560
track	5020
tracked	3950
tracking	4250
tracks	4450
tract	3710
traction	3780
tractor	3780
tractors	3310
tracts	3250
trade	5120
traded	4150
trademark	3890
trademarked	2740
trademarking	1710
trademarks	3300
trader	3770
traders	3950
trades	4040
trading	4630
tradition	4500
traditional	4840
traditionalist	2750
traditionally	4059
traditions	4100
traffic	4850
trafficked	3070
trafficking	3900
traffics	2009
tragedies	3290
tragedy	4140
tragic	4080
tragically	3260
trail	4450
trailed	3120
trailer	4320
trailers	3650
trailing	3550
trails	3920
train	4960
trained	4580
trainee	3430
trainees	3270
trainer	4080
trainers	3720
training	5180
trains	4270
trait	3690
traitor	3690
traitorous	2670
traitors	3440
traits	3960
tramp	3210
tramped	1770
tramping	2280
trample	2830
trampled	3070
tramples	2070
trampling	2740
trampoline	3140
trampolined	0
trampolines	2340
trampolining	2000
tramps	2580
trance	3490
trances	1950
tranquil	3140
tranquiler	0
tranquilest	0
tranquility	3020
tranquilize	1580
tranquilized	1790
tranquilizer	2330
tranquilizers	2350
tranquilizes	0
tranquilizing	1650
tranquillise	0
tranquillised	1100
tranquilliser	1690
tranquillisers	1560
tranquillises	0
tranquillising	0
tranquillity	2760
tranquillize	0
tranquillized	0
tranquillizer	1170
tranquillizers	1340
tranquillizes	0
tranquillizing	0
transact	2670
transacted	2310
transacting	2260
transaction	4210
transactions	4220
transacts	1370
transatlantic	3200
transcend	3100
transcended	2740
transcending	2570
transcends	3010
transcontinental	2770
transcribe	2690
transcribed	3160
transcribes	1900
transcribing	2580
transcript	3700
transcription	3540
transcriptions	2580
transcripts	3410
transfer	4720
transferable	3060
transferred	4360
transferring	3740
transfers	4019
transform	4040
transformation	4210
transformations	3400
transformed	4080
transformer	3370
transformers	3570
transforming	3650
transforms	3450
transfusion	3130
transfusions	2790
transgress	2340
transgressed	2220
transgresses	1740
transgressing	1980
transgression	2890
transgressions	2920
transient	3370
transients	2450
transistor	3210
transistors	3060
transit	4200
transited	1820
transiting	2500
transition	4460
transitional	3640
transitioned	3090
transitioning	3260
transitions	3590
transitive	2760
transitives	0
transitory	2680
transits	2530
translate	3930
translated	4150
translates	3670
translating	3490
translation	4390
translations	3720
translator	3670
translators	3260
transliteration	2430
translucent	3210
transmission	4330
transmissions	3350
transmit	3670
transmits	3020
transmitted	3870
transmitter	3590
transmitters	3090
transmitting	3430
transparencies	2110
transparency	3900
transparent	4010
transparently	2680
transpire	2360
transpired	3060
transpires	2500
transpiring	1950
transplant	3760
transplanted	3060
transplanting	2460
transplants	3150
transport	4680
transportable	2410
transportation	4570
transported	3880
transporting	3590
transports	3290
transpose	2540
