# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乌饭果	wu fan guo	2
乌骨鸡归黄汤	wu gu ji gui huang tang	2
乌鱼蛋	wu yu dan	1
乌龙吐珠	wu long tu zhu	7
乐啤露	le pi lu	6
乐昌白毛茶	le chang bai mao cha	2
乐满家	le man jia	6
乐福园酒店	le fu yuan jiu dian	6
乐而美汉堡	le er mei han bao	7
乐蟹	le xie	3
乒乓馃	ping pang guo	4
乔家栅	qiao jia zha	4
乔家栅粽子	qiao jia zha zong zi	2
乙二胺四乙酸二钠	yi er an si yi suan er na	2
乙基愈创木酚	yi ji yu chuang mu fen	1
乙基香兰素	yi ji xiang lan su	3
乙基麦芽酚	yi ji mai ya fen	3
乙氧基喹	yi yang ji kui	8
乙萘酚	yi nai fen	4
乙酰磺胺酸钾	yi xian huang an suan jia	1
乙酸丁酯	yi suan ding zhi	9
乙酸乙酯	yi suan yi zhi	23
乙酸二甲基苄基原酯	yi suan er jia ji bian ji yuan zhi	4
乙酸异丁酸蔗糖酯	yi suan yi ding suan zhe tang zhi	4
乙酸异戊酯	yi suan yi wu zhi	1
乙酸松油酯	yi suan song you zhi	5
乙酸芳樟酯	yi suan fang zhang zhi	7
乙酸苄酯	yi suan bian zhi	1
乙酸薄荷酯	yi suan bo he zhi	5
乙酸钙	yi suan gai	1
乙酸钠	yi suan na	19
乙酸香叶酯	yi suan xiang ye zhi	4
乙酸龙脑酯	yi suan long nao zhi	6
九华毛峰	jiu hua mao feng	8
九姓团圆	jiu xing tuan yuan	3
九层塔	jiu ceng ta	22
九层塔煎蛋	jiu ceng ta jian dan	1
九江煎堆	jiu jiang jian dui	7
九洞矿泉水	jiu dong kuang quan shui	4
九珠皮蛋	jiu zhu pi dan	5
九记路边鸡	jiu ji lu bian ji	4
九转大肠	jiu zhuan da chang	1
九里飘香	jiu li piao xiang	1
九黄饼	jiu huang bing	6
九龙斋	jiu long zhai	3
九龙茶	jiu long cha	1
乡宁油糕	xiang ning you gao	2
乡宁白面油糕	xiang ning bai mian you gao	2
乡村小炒鸡	xiang cun xiao chao ji	3
乡村玉米饼	xiang cun yu mi bing	2
乳化剂	ru hua ji	36
乳化硅油	ru hua gui you	9
乳扇	ru shan	2
乳扇饺	ru shan jiao	5
乳糖醇	ru tang chun	15
乳膳萨其马	ru shan sa qi ma	4
乳茶	ru cha	11
乳酒	ru jiu	2
乳酪大会	ru lao da hui	5
乳酪蒸虾仁	ru lao zheng xia ren	3
乳酪蛋糕	ru lao dan gao	11
乳酸乙酯	ru suan yi zhi	5
乳酸亚铁	ru suan ya tie	1
乳酸菌饮料	ru suan jun yin liao	5
乳酸钙	ru suan gai	1
乳酸钠	ru suan na	11
乳酸链球菌素	ru suan lian qiu jun su	10
乳铁蛋白	ru tie dan bai	5
乳饼	ru bing	1
乳鸽瓤猪肚	ru ge rang zhu du	2
乾县挂面	qian xian gua mian	5
乾县豆腐脑	qian xian dou fu nao	5
乾县锅盔	qian xian guo kui	6
乾坤蒸狗	qian kun zheng gou	4
乾州豆腐脑	qian zhou dou fu nao	3
乾州锅盔	qian zhou guo kui	7
乾州鸡面	qian zhou ji mian	2
乾果四品	qian guo si pin	5
事事平安	shi shi ping an	9
二丁基羟基甲苯	er ding ji qiang ji jia ben	6
二仙居碗坨	er xian ju wan tuo	3
二仙烧羊肉	er xian shao yang rou	3
二块粑炒火腿	er kuai ba chao huo tui	3
二姐兔丁	er jie tu ding	9
二氢香豆素	er qing xiang dou su	2
二氯苯氧乙酸	er lv ben yang yi suan	1
二甲基聚硅氧烷	er jia ji ju gui yang wan	1
二甲基苄基原醇	er jia ji bian ji yuan chun	3
二龙戏珠	er long xi zhu	32
云南咖啡	yun nan ka fei	2
云南回饼	yun nan hui bing	4
云南春卷	yun nan chun juan	7
云南油茶	yun nan you cha	3
云娜水果捞	yun na shui guo lao	4
云托八鲜	yun tuo ba xian	1
云梦鱼面	yun meng yu mian	8
云河段霄	yun he duan xiao	3
云片鸽蛋	yun pian ge dan	5
云猪手	yun zhu shou	9
云耳西芹炒肉片	yun er xi qin chao rou pian	3
云腿奶糖	yun tui nai tang	4
云腿罐头	yun tui guan tou	5
云腿豆焖饭	yun tui dou men fan	5
云针	yun zhen	10
云长玉浆饺	yun chang yu jiang jiao	2
云雾茶	yun wu cha	3
五一饭店	wu yi fan dian	9
五丁鱼圆	wu ding yu yuan	2
五丝洋粉	wu si yang fen	5
五丝菜卷	wu si cai juan	5
五仁包	wu ren bao	6
五仁酥	wu ren su	3
五凤楼	wu feng lou	32
五加皮酒	wu jia pi jiu	2
五华尊	wu hua zun	4
五味明虾片	wu wei ming xia pian	3
五味沙糕	wu wei sha gao	4
五味煎蟹	wu wei jian xie	5
五味白肉	wu wei bai rou	4
五味花枝	wu wei hua zhi	3
五味香糕	wu wei xiang gao	4
五城茶干	wu cheng cha gan	8
五夫醉鸡	wu fu zui ji	3
五寨猪黑肉炖粉	wu zhai zhu hei rou dun fen	3
五山池	wu shan chi	6
五彩抄手	wu cai chao shou	2
五彩炒蛇丝	wu cai chao she si	6
五彩炒驼峰	wu cai chao tuo feng	3
五彩牛肉丝	wu cai niu rou si	3
五彩球	wu cai qiu	8
五彩虾松	wu cai xia song	4
五彩蟹盒	wu cai xie he	3
五彩雪花扇贝	wu cai xue hua shan bei	8
五指山茶	wu zhi shan cha	6
五更肠旺	wu geng chang wang	7
五果汤	wu guo tang	3
五柳全鱼	wu liu quan yu	2
五柳鱼	wu liu yu	9
五柳鱼丝	wu liu yu si	4
五柳鲜鱼	wu liu xian yu	3
五白糕	wu bai gao	3
五盖山米茶	wu gai shan mi cha	5
五神饮	wu shen yin	2
五色沙拉	wu se sha la	3
五花肉炒豆腐泡菜	wu hua rou chao dou fu pao cai	3
五花茶	wu hua cha	7
五芳斋粽子	wu fang zhai zong zi	8
五通桥叶儿耙	wu tong qiao ye er pa	3
五香仔鸽	wu xiang zai ge	4
五香兔头	wu xiang tu tou	1
五香干丝	wu xiang gan si	4
五香杏仁	wu xiang xing ren	6
五香松花蛋	wu xiang song hua dan	3
五香熟芥	wu xiang shu jie	4
五香牛筋斗	wu xiang niu jin dou	3
五香牛肉	wu xiang niu rou	8
五香牛肉松	wu xiang niu rou song	2
五香狗肉	wu xiang gou rou	1
五香甜沫	wu xiang tian mo	1
五香粉	wu xiang fen	1
五香羊肉	wu xiang yang rou	7
五香脆皮鸡	wu xiang cui pi ji	3
五香腰果	wu xiang yao guo	3
五香花生	wu xiang hua sheng	4
五香苦瓜	wu xiang ku gua	4
五香茶叶蛋	wu xiang cha ye dan	1
五香豆腐干	wu xiang dou fu gan	10
五香辣味牛肉干	wu xiang la wei niu rou gan	3
五香酥饼	wu xiang su bing	3
五香酱肉	wu xiang jiang rou	7
五香酱驴肉	wu xiang jiang lv rou	5
五香酱鸡	wu xiang jiang ji	6
五香麻糕	wu xiang ma gao	4
井冈山烟笋烧肉	jing gang shan yan sun shao rou	6
井岗翠绿	jing gang cui lv	6
亚油酸	ya you suan	11
亚洲辣牛肉和葡萄	ya zhou la niu rou he pu tao	2
亚硒酸钠	ya xi suan na	15
亚硝酸钠	ya xiao suan na	20
亚硝酸钾	ya xiao suan jia	2
亚硫酸氢钠	ya liu suan qing na	7
亚硫酸钠	ya liu suan na	20
亚铁氰化钠	ya tie qing hua na	5
亚铁氰化钾	ya tie qing hua jia	5
亚麻籽胶	ya ma zi jiao	7
亚麻酸	ya ma suan	4
亨氏骨髓蔬菜泥	heng shi gu sui shu cai ni	2
京东馅饼	jing dong xian bing	6
京八件	jing ba jian	7
京冬菜	jing dong cai	8
京式月饼	jing shi yue bing	9
京酱风肉	jing jiang feng rou	4
亮蓝铝色淀	liang lan lv se dian	3
人参果	ren shen guo	16
人参枣汁	ren shen zao zhi	3
人参枸杞酒	ren shen gou qi jiu	4
人参核桃仁粥	ren shen he tao ren zhou	2
人参鸡肉汤	ren shen ji rou tang	2
人心果	ren xin guo	10
人蔘鸡	ren shen ji	7
什大酥烧饼	shi da su shao bing	2
什锦一品锅	shi jin yi pin guo	2
什锦丁儿	shi jin ding er	5
什锦人参果	shi jin ren shen guo	4
什锦冬瓜帽	shi jin dong gua mao	2
什锦凉米线	shi jin liang mi xian	7
什锦南糖	shi jin nan tang	3
什锦多维玉米面粥	shi jin duo wei yu mi mian zhou	3
什锦套肠儿	shi jin tao chang er	5
什锦暖锅	shi jin nuan guo	4
什锦果冻	shi jin guo dong	5
什锦水果羔	shi jin shui guo gao	3
什锦水果羹	shi jin shui guo geng	3
什锦点心	shi jin dian xin	4
什锦烩面	shi jin hui mian	2
什锦烩饭	shi jin hui fan	1
什锦田鸡油	shi jin tian ji you	5
什锦糕	shi jin gao	5
什锦素菜包	shi jin su cai bao	6
什锦花篮	shi jin hua lan	4
什锦苏盘儿	shi jin su pan er	7
什锦葛仙米	shi jin ge xian mi	6
什锦蛋卷	shi jin dan juan	3
什锦蜂窝豆腐	shi jin feng wo dou fu	4
什锦豆腐	shi jin dou fu	9
什锦豆腐汤	shi jin dou fu tang	4
什锦豆腐煲	shi jin dou fu bao	2
什锦豆腐脑	shi jin dou fu nao	6
什锦锅子	shi jin guo zi	5
什锦锅巴	shi jin guo ba	4
什锦麦片	shi jin mai pian	8
