# 青简领域词库：饮食，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
甘氨酸锌	gan an suan xin	7
甘油脂肪酸酯	gan you zhi fang suan zhi	7
甘甜黑巧克力	gan tian hei qiao ke li	3
甘笋蒸饼	gan sun zheng bing	3
甘草抗氧化物	gan cao kang yang hua wu	3
甘草酸三钾	gan cao suan san jia	5
甘草酸铵	gan cao suan an	7
甘菊猪肚	gan ju zhu du	3
甘露糖醇	gan lu tang chun	8
甘露酥	gan lu su	7
甘露饼	gan lu bing	5
甘麦红枣汤	gan mai hong zao tang	4
甜丸卵	tian wan luan	4
甜叶菊	tian ye ju	1
甜合锦	tian he jin	4
甜奶油	tian nai you	1
甜果	tian guo	9
甜椒肉丝	tian jiao rou si	2
甜橙油	tian cheng you	7
甜烧白	tian shao bai	8
甜玉米罐头	tian yu mi guan tou	8
甜玉米饮料	tian yu mi yin liao	3
甜盘子	tian pan zi	5
甜艾团	tian ai tuan	3
甜茶	tian cha	5
甜菊糖	tian ju tang	1
甜菊糖苷	tian ju tang gan	6
甜菊绿茶	tian ju lv cha	2
甜菜红	tian cai hong	5
甜蒜	tian suan	2
甜蒲桃	tian pu tao	3
甜薯片	tian shu pian	5
甜薯羹	tian shu geng	3
甜藕粥	tian ou zhou	6
甜蜜素	tian mi su	11
甜辣乾	tian la gan	3
甜酒汤圆	tian jiu tang yuan	9
甜酒酿	tian jiu niang	13
甜酱	tian jiang	24
甜酱萝葡	tian jiang luo pu	4
甜酸乳瓜	tian suan ru gua	4
甜酸海蜇	tian suan hai zhe	4
甜酸豆腐	tian suan dou fu	3
甜醅	tian pei	13
甜香玉米杯	tian xiang yu mi bei	4
甜麻花	tian ma hua	1
生呛梭子蟹	sheng qiang suo zi xie	3
生嗜鸡块	sheng shi ji kuai	2
生地排骨汤	sheng di pai gu tang	3
生姜粉	sheng jiang fen	9
生姜羊肉汤	sheng jiang yang rou tang	10
生态咖啡调糖	sheng tai ka fei tiao tang	3
生敲膳丝	sheng qiao shan si	2
生榨米粉	sheng zha mi fen	2
生汆丸子	sheng cuan wan zi	5
生炊麒麟鱼	sheng chui qi lin yu	4
生炊龙虾	sheng chui long xia	7
生炒海蚌	sheng chao hai bang	7
生炒菜心	sheng chao cai xin	8
生炒蒜苔肉	sheng chao suan tai rou	3
生炒面	sheng chao mian	3
生烤狍肉	sheng kao pao rou	4
生烧筋尾舌	sheng shao jin wei she	3
生煎肉包	sheng jian rou bao	2
生煎馒头	sheng jian man tou	7
生熏大黄鱼	sheng xun da huang yu	4
生爆盐煎肉	sheng bao yan jian rou	7
生牛肉河粉	sheng niu rou he fen	4
生牛肉酱	sheng niu rou jiang	8
生物碳酸钙	sheng wu tan suan gai	10
生肖蛋糕	sheng xiao dan gao	7
生菜包	sheng cai bao	20
生鱼葛菜汤	sheng yu ge cai tang	6
生鱼面	sheng yu mian	4
甩饼	shuai bing	35
田园汤	tian yuan tang	4
田园脆鸡堡	tian yuan cui ji bao	7
田纳西黑泥	tian na xi hei ni	3
田艾板	tian ai ban	3
田菁胶	tian jing jiao	6
甲基丁酸	jia ji ding suan	24
甲基丁香酚	jia ji ding xiang fen	1
甲基环戊烯醇酮	jia ji huan wu xi chun tong	1
甲基苯乙酮	jia ji ben yi tong	1
甲基邻氨基苯甲酸甲酯	jia ji lin an ji ben jia suan jia zhi	2
甲基香豆素	jia ji xiang dou su	7
甲壳素	jia qiao su	10
电解质饮料	dian jie zhi yin liao	1
留兰香油	liu lan xiang you	8
番茄奶油土豆团	fan qie nai you tu dou tuan	2
番茄松鼠鱼	fan qie song shu yu	5
番茄泡蛋汤	fan qie pao dan tang	3
番茄海蜇	fan qie hai zhe	3
番茄炒豆腐	fan qie chao dou fu	6
番茄煮红衫鱼	fan qie zhu hong shan yu	2
番茄煮黄豆	fan qie zhu huang dou	3
番茄牛肉羹	fan qie niu rou geng	5
番茄腰柳	fan qie yao liu	4
番茄薯仔牛尾汤	fan qie shu zai niu wei tang	2
番茄蛋汤	fan qie dan tang	24
番茄蛋花汤	fan qie dan hua tang	10
番茄豆腐	fan qie dou fu	3
番茄鱼片	fan qie yu pian	1
番茄黄骨鱼汤	fan qie huang gu yu tang	4
番薯糖水	fan shu tang shui	5
疆字红油百叶	jiang zi hong you bai ye	3
疙瘩油茶	ge da you cha	3
痣胡子龙眼包子	zhi hu zi long yan bao zi	5
癸酸乙酯	gui suan yi zhi	1
登瀛楼	deng ying lou	4
登瀛楼饭庄	deng ying lou fan zhuang	7
白丰糕	bai feng gao	2
白丸子	bai wan zi	1
白云凤爪	bai yun feng zhua	1
白云猪手	bai yun zhu shou	4
白俄罗斯鸡尾酒	bai e luo si ji wei jiu	4
白八粿	bai ba guo	2
白兰地酒	bai lan di jiu	7
白刀子	bai dao zi	9
白切	bai qie	41
白切狗	bai qie gou	3
白切虾	bai qie xia	4
白切鸡	bai qie ji	2
白吉馍	bai ji mo	37
白啤酒	bai pi jiu	19
白圆蛋糕	bai yuan dan gao	2
白宫城	bai gong cheng	4
白家肥肠粉	bai jia fei chang fen	8
白封肉	bai feng rou	4
白岘吊瓜子	bai xian diao gua zi	3
白巧克力冰淇淋	bai qiao ke li bing qi lin	4
白巧克力蛋糕	bai qiao ke li dan gao	7
白市驿板鸭	bai shi yi ban ya	8
白干煮三丝	bai gan zhu san si	2
白扒广肚	bai pa guang du	4
白扒鱼唇	bai pa yu chun	4
白扒鱼翅	bai pa yu chi	6
白扒鲍鱼	bai pa bao yu	5
白斩河田鸡	bai zhan he tian ji	7
白月饼	bai yue bing	1
白术猪肚汤	bai zhu zhu du tang	2
白果南杏生鱼汤	bai guo nan xing sheng yu tang	3
白果桂花羹	bai guo gui hua geng	3
白果海鲜羹	bai guo hai xian geng	2
白果烧鸡	bai guo shao ji	8
白梨凤脯	bai li feng fu	3
白橙糖	bai cheng tang	7
白水羊头	bai shui yang tou	1
白水羊肉	bai shui yang rou	6
白汁五柳鱼	bai zhi wu liu yu	2
白汁全鱼	bai zhi quan yu	4
白汁牛肉	bai zhi niu rou	4
白汁甘笋	bai zhi gan sun	3
白汁菜心	bai zhi cai xin	3
白汁鱼肚	bai zhi yu du	5
白汁鲳鱼	bai zhi chang yu	4
白汁鳜鱼	bai zhi gui yu	4
白沙井水煮白扎肉	bai sha jing shui zhu bai za rou	3
白沙液酒	bai sha ye jiu	1
白油	bai you	16
白油肉片	bai you rou pian	2
白油肝片	bai you gan pian	4
白油豆腐	bai you dou fu	6
白浇鳙鱼头	bai jiao yong yu tou	3
白灵菇	bai ling gu	12
白灵菇罐头	bai ling gu guan tou	6
白灼	bai zhuo	28
白灼响螺片	bai zhuo xiang luo pian	1
白灼虾	bai zhuo xia	4
白炒三七花田鸡	bai chao san qi hua tian ji	5
白炒刀鱼丝	bai chao dao yu si	2
白炒墨鱼卷	bai chao mo yu juan	3
白炒虾球	bai chao xia qiu	3
白烧鱼翅	bai shao yu chi	3
白焯响螺	bai chao xiang luo	2
白煮肉	bai zhu rou	1
白猪头肉	bai zhu tou rou	6
白玉翡翠	bai yu fei cui	8
白玉藏珠	bai yu cang zhu	4
白皮儿	bai pi er	2
白皮酥	bai pi su	6
白米酥	bai mi su	4
白糖伦教糕	bai tang lun jiao gao	7
白糖杨梅	bai tang yang mei	6
白糖糕	bai tang gao	12
白糖莲心粥	bai tang lian xin zhou	4
白羊肾羹	bai yang shen geng	4
白肉丝儿	bai rou si er	5
白肉罩火烧	bai rou zhao huo shao	7
白肉血肠	bai rou xue chang	1
白肘子	bai zhou zi	6
白肚	bai du	4
白肠	bai chang	10
白肺汤	bai fei tang	5
白胡椒	bai hu jiao	5
白胡椒粉	bai hu jiao fen	2
白脱核桃	bai tuo he tao	3
白芦笋罐头	bai lu sun guan tou	5
白芨冰糖燕窝	bai ji bing tang yan wo	2
白芷汤	bai zhi tang	4
白菜木须	bai cai mu xu	2
白菜豆腐汤	bai cai dou fu tang	5
白菜锅子	bai cai guo zi	5
白蘑	bai mo	12
白虾干	bai xia gan	5
白蛇烧饼	bai she shao bing	6
白蜂糕	bai feng gao	7
白蜜食	bai mi shi	7
白蜜黄螺	bai mi huang luo	3
白记水饺	bai ji shui jiao	6
白记饺子	bai ji jiao zi	7
白豆	bai dou	5
白豆沙拉	bai dou sha la	4
白象香糕	bai xiang xiang gao	4
白豪银针茶	bai hao yin zhen cha	2
白辣椒	bai la jiao	6
白运章包子	bai yun zhang bao zi	7
白醋鸡蛋	bai cu ji dan	5
白金针	bai jin zhen	8
白银如意	bai yin ru yi	5
白面锅盔	bai mian guo kui	3
白面锅魁	bai mian guo kui	5
白鲞扣鸡	bai xiang kou ji	5
白鹅煨淡菜	bai e wei dan cai	3
百乐熏鸡	bai le xun ji	3
百仁全鸭	bai ren quan ya	3
百侯薄饼	bai hou bao bing	4
百叶酥	bai ye su	3
百合冰咖啡	bai he bing ka fei	3
百合枣仁汤	bai he zao ren tang	2
百合灵芝	bai he ling zhi	3
百合炒西兰花	bai he chao xi lan hua	2
百合熘鸡片	bai he liu ji pian	4
百合牛肉	bai he niu rou	2
百合糕	bai he gao	1
百合糯米粥	bai he nuo mi zhou	4
百合罐头	bai he guan tou	7
百合莲子浆	bai he lian zi jiang	5
百合酥	bai he su	8
百子冬瓜	bai zi dong gua	3
百子寿桃	bai zi shou tao	6
百寿桃	bai shou tao	6
百果佳	bai guo jia	5
百果年糕	bai guo nian gao	1
百果提浆饼	bai guo ti jiang bing	3
百果糕	bai guo gao	7
百果蜜糕	bai guo mi gao	6
百果馅酒酿圆子	bai guo xian jiu niang yuan zi	3
百花串酱菜	bai hua chuan jiang cai	6
百花大虾	bai hua da xia	4
百花糕	bai hua gao	8
百花鸡	bai hua ji	7
百花鸭舌	bai hua ya she	4
百草梨膏糖	bai cao li gao tang	4
百里香叶	bai li xiang ye	7
百里香粉	bai li xiang fen	7
百页	bai ye	31
百鸟还巢	bai niao huan chao	3
皂荚糖胶	zao jia tang jiao	2
皇后双皮奶	huang hou shuang pi nai	5
皇家咖啡	huang jia ka fei	10
皇岭	huang ling	5
皇盾	huang dun	6
皇禽酱鸭	huang qin jiang ya	6
皖古王	wan gu wang	3
皖西黄大茶	wan xi huang da cha	6
皮条鳝鱼	pi tiao shan yu	8
皮片乳猪	pi pian ru zhu	4
皮萨草叶	pi sa cao ye	2
皮蛋糕	pi dan gao	13
皮蛋肠	pi dan chang	1
皮蛋酥	pi dan su	7
益力多	yi li duo	42
益力宝	yi li bao	4
益胃汤	yi wei tang	8
益阳松花皮蛋	yi yang song hua pi dan	5
盐局鸡	yan ju ji	9
盐步秋茄	yan bu qiu qie	7
盐水肘花儿	yan shui zhou hua er	6
盐水肫花	yan shui zhun hua	4
盐水菜心	yan shui cai xin	2
盐水里脊	yan shui li ji	4
盐火局鸡	yan huo ju ji	8
盐焗鹌鹑蛋	yan ju an chun dan	3
盐煎肉	yan jian rou	11
盐菜回锅肉	yan cai hui guo rou	3
盐蛋	yan dan	10
盐酥鸡	yan su ji	3
盐酸硫胺素	yan suan liu an su	7
盐饼	yan bing	1
盐饼子	yan bing zi	6
盒子酥	he zi su	5
盘丝饼	pan si bing	8
盘古神鹿	pan gu shen lu	4
盘飧市	pan sun shi	9
盘餐市	pan can shi	7
盛百威包装	sheng bai wei bao zhuang	5
盛记	sheng ji	4
盱眙小龙虾	xu yi xiao long xia	2
盲公饼	mang gong bing	5
直港大道	zhi gang da dao	6
直腰虾仁	zhi yao xia ren	3
眉毛酥	mei mao su	1
真味珍	zhen wei zhen	5
真如白切羊肉	zhen ru bai qie yang rou	3
真豆咖啡	zhen dou ka fei	3
眼肉	yan rou	7
眼镜面	yan jing mian	9
着色剂	zhuo se ji	5
睁眼辣子	zheng yan la zi	3
知味小笼	zhi wei xiao long	6
知味小笼包	zhi wei xiao long bao	4
知味斋水爆肚	zhi wei zhai shui bao du	3
矮人松糕	ai ren song gao	8
矮子斋	ai zi zhai	3
石亭绿茶	shi ting lv cha	6
石头门坎素包	shi tou men kan su bao	8
石头饼	shi tou bing	15
石子饼	shi zi bing	8
石子馍	shi zi mo	7
石家酱方	shi jia jiang fang	4
石家饭店	shi jia fan dian	3
石家鱼丸	shi jia yu wan	4
石屏烧豆腐	shi ping shao dou fu	6
石屏荔枝酥	shi ping li zhi su	3
石岐乳鸽	shi qi ru ge	8
石板粑粑	shi ban ba ba	8
石榴包	shi liu bao	5
石榴鸡	shi liu ji	6
石狮甜果	shi shi tian guo	5
石磨豆花	shi mo dou hua	1
石竹茶	shi zhu cha	8
石耳炖鸡	shi er dun ji	8
石花菜鲍鱼汤	shi hua cai bao yu tang	2
石蛤蟆	shi ha ma	8
矿泉水冷面	kuang quan shui leng mian	5
砀山梨	dang shan li	8
砂仁糕	sha ren gao	3
砂仁羊肉汤	sha ren yang rou tang	7
砂子饼	sha zi bing	1
砂煲鱼头	sha bao yu tou	3
砂钵狗肉	sha bo gou rou	5
砂钵黄陂三合	sha bo huang pi san he	3
砂锅三味	sha guo san wei	3
砂锅山海	sha guo shan hai	3
砂锅炖驴肉	sha guo dun lv rou	4
砂锅煨鹿筋	sha guo wei lu jin	4
砂锅狗肉	sha guo gou rou	5
砂锅羊肉	sha guo yang rou	6
砂锅肥肠	sha guo fei chang	6
砂锅螃蟹	sha guo pang xie	2
砂锅雅鱼	sha guo ya yu	6
砂锅饭	sha guo fan	14
砂锅鱼	sha guo yu	6
砂锅鱼头	sha guo yu tou	1
砂锅鱿鱼	sha guo you yu	2
砍三刀	kan san dao	11
砍花糖	kan hua tang	2
破酥包	po su bao	1
破酥包子	po su bao zi	8
破酥缸炉	po su gang lu	3
砵仔糕	bo zi gao	8
砸棕	za zong	4
硅酸钙	gui suan gai	2
硅酸铝	gui suan lv	17
硅铝酸钙	gui lv suan gai	4
硅铝酸钠	gui lv suan na	5
硒化卡拉胶	xi hua ka la jiao	8
硝酸硫胺素	xiao suan liu an su	5
硝酸钠	xiao suan na	12
硫代二丙酸二月桂	liu dai er bing suan er yue gui	4
硫代二丙酸二月桂酯	liu dai er bing suan er yue gui zhi	4
硫酸亚铁	liu suan ya tie	19
硫酸钙	liu suan gai	26
硫酸铝钾	liu suan lv jia	1
硫酸铝铵	liu suan lv an	7
硫酸锌	liu suan xin	7
硫酸锰	liu suan meng	5
硬壳火腿饼	ying ke huo tui bing	6
硬脂酰乳酸钙	ying zhi xian ru suan gai	5
硬脂酰乳酸钠	ying zhi xian ru suan na	7
硬脂酸	ying zhi suan	21
硬脂酸钙	ying zhi suan gai	1
硬脂酸钾	ying zhi suan jia	6
硬脂酸镁	ying zhi suan mei	1
硬蛋糕	ying dan gao	6
碎米鸡丁	sui mi ji ding	2
碗仔翅	wan zai chi	15
碗耳糕	wan er gao	7
碣滩茶	jie tan cha	9
碧波田鸡	bi bo tian ji	3
碧海银沙	bi hai yin sha	2
碧玉豌豆仁	bi yu wan dou ren	3
碧绿虾仁	bi lv xia ren	7
碱水粑	jian shui ba	4
碱酥饼	jian su bing	4
碳烧啤酒	tan shao pi jiu	4
碳酸氢三钠	tan suan qing san na	2
碳酸氢钠	tan suan qing na	41
碳酸氢钾	tan suan qing jia	5
碳酸氢铵	tan suan qing an	3
碳酸钙	tan suan gai	40
碳酸钠	tan suan na	46
碳酸钾	tan suan jia	24
碳酸镁	tan suan mei	5
磨浆果	mo jiang guo	4
磷脂酰乙醇胺	lin zhi xian yi chun an	4
磷脂酶	lin zhi mei	17
磷酸三钙	lin suan san gai	10
磷酸三钠	lin suan san na	11
磷酸三钾	lin suan san jia	6
磷酸二氢钙	lin suan er qing gai	2
磷酸二氢钠	lin suan er qing na	3
磷酸二氢钾	lin suan er qing jia	3
磷酸氢二钠	lin suan qing er na	2
磷酸氢二钾	lin suan qing er jia	1
磷酸氢钙	lin suan qing gai	12
磷酸镁	lin suan mei	7
礼品蛋糕	li pin dan gao	9
礼饼	li bing	13
社饭	she fan	11
祁红茶	qi hong cha	7
祖庵鱼翅	zu an yu chi	4
神仙钵	shen xian bo	7
神仙鸭子	shen xian ya zi	8
神农牌	shen nong pai	6
神池麻花	shen chi ma hua	7
神秘果	shen mi guo	12
祥龙双飞	xiang long shuang fei	6
祭灶果	ji zao guo	6
福字瓜烧里脊	fu zi gua shao li ji	5
福寿临门	fu shou lin men	4
福寿糕	fu shou gao	5
福山拉面	fu shan la mian	8
福山烧小鸡	fu shan shao xiao ji	3
福州茉莉花茶	fu zhou mo li hua cha	7
福建乌龙	fu jian wu long	10
福建年糕	fu jian nian gao	4
福建炒饭	fu jian chao fan	2
福建菜	fu jian cai	11
福鼎芋	fu ding yu	7
禹城扒鸡	yu cheng pa ji	6
秀兰邓波尔	xiu lan deng bo er	6
秀山雪枣	xiu shan xue zao	3
秀珍菇	xiu zhen gu	15
秋梨膏的做法	qiu li gao de zuo fa	3
秋禾	qiu he	1
秋菊傲霜	qiu ju ao shuang	7
科劳	ke lao	5
科飞	ke fei	12
秘制口味蛇	mi zhi kou wei she	2
秘制国药中华鳖	mi zhi guo yao zhong hua bie	3
秘制肘子	mi zhi zhou zi	2
秤管糖	cheng guan tang	6
秦妈	qin ma	13
秦安米黄	qin an mi huang	3
秦安肚丝汤	qin an du si tang	7
秦安麻腐馍	qin an ma fu mo	7
秦川牌	qin chuan pai	5
秦椒	qin jiao	2
秦邮全鸭宴	qin you quan ya yan	3
秦镇凉皮	qin zhen liang pi	4
秦镇皮子	qin zhen pi zi	4
秦镇米皮	qin zhen mi pi	9
稀珍黑米粥	xi zhen hei mi zhou	3
稀豆粉	xi dou fen	8
稀豆粉油条	xi dou fen you tiao	3
稍美	shao mei	9
稳定剂	wen ding ji	47
稳定态二氧化氯	wen ding tai er yang hua lv	6
稻花香	dao hua xiang	33
稻香春	dao xiang chun	1
稻香春南味食品	dao xiang chun nan wei shi pin	3
空心南瓜饼	kong xin nan gua bing	2
空心拉面	kong xin la mian	6
空心果	kong xin guo	8
空心琉璃丸子	kong xin liu li wan zi	2
空心酥饼	kong xin su bing	2
空心饼	kong xin bing	7
空心鱼丸汤	kong xin yu wan tang	4
窝丝糖	wo si tang	5
窝子油糕	wo zi you gao	6
竟成园	jing cheng yuan	4
章鱼焖花腩	zhang yu men hua nan	3
竹叶抗氧化物	zhu ye kang yang hua wu	5
竹宴天下	zhu yan tian xia	4
竹影海参	zhu ying hai shen	2
竹桶粽子	zhu tong zong zi	3
竹笋西瓜皮鲤鱼汤	zhu sun xi gua pi li yu tang	2
竹笋香菇汤	zhu sun xiang gu tang	4
竹筒煮汤	zhu tong zhu tang	5
竹筒粉蒸肠	zhu tong fen zheng chang	5
竹筒茶	zhu tong cha	1
竹筒鸡	zhu tong ji	8
竹节虾	zhu jie xia	3
竹节鸡盅	zhu jie ji zhong	2
笋丝百叶	sun si bai ye	2
笋烧海参	sun shao hai shen	7
笋鲍鱼汤	sun bao yu tang	3
笨月饼	ben yue bing	3
第一春	di yi chun	10
笼仔饭	long zi fan	8
笼茶	long cha	7
筒子鸡	tong zi ji	7
筱筱火勺	xiao xiao huo shao	6
简易蛋糕	jian yi dan gao	1
简阳羊肉汤	jian yang yang rou tang	6
箩粉鱼头豆腐汤	luo fen yu tou dou fu tang	4
箬叶芝麻糖细卷	ruo ye zhi ma tang xi juan	3
篮球鸽蛋	lan qiu ge dan	4
簸箕炊	bo ji chui	1
米仁	mi ren	13
米冻	mi dong	3
米冻糕	mi dong gao	4
米冻蜂	mi dong feng	4
米凉粉	mi liang fen	6
米凉虾	mi liang xia	8
米果	mi guo	18
米果汁	mi guo zhi	6
米果食	mi guo shi	4
米汤油馓	mi tang you san	5
米灌肠	mi guan chang	9
米粉蒸肉	mi fen zheng rou	8
米糖	mi tang	12
米老鼠蛋糕	mi lao shu dan gao	2
米肠子	mi chang zi	2
米花茶	mi hua cha	6
米茶	mi cha	26
米茸芋丝虾煲	mi rong yu si xia bao	3
米酒茶香鸭	mi jiu cha xiang ya	4
米面皮子	mi mian pi zi	8
籽瓜	zi gua	11
粉丝汤	fen si tang	12
粉丝海米芹菜汤	fen si hai mi qin cai tang	3
粉丝焗膏蟹	fen si ju gao xie	2
粉丝香菇蛋汤	fen si xiang gu dan tang	3
粉利	fen li	11
粉果	fen guo	7
粉汤	fen tang	4
粉汤彩饺	fen tang cai jiao	3
粉汤羊血	fen tang yang xue	7
粉汤饺子	fen tang jiao zi	9
粉白美人茶	fen bai mei ren cha	2
粉皮子	fen pi zi	7
粉皮辣鱼	fen pi la yu	5
粉皮面筋	fen pi mian jin	8
粉蒸排骨	fen zheng pai gu	10
粉蒸牛羊肉	fen zheng niu yang rou	6
粉蒸牛肉	fen zheng niu rou	9
粉蒸羊肉	fen zheng yang rou	7
粉蒸肉	fen zheng rou	13
粉蒸鳜鱼	fen zheng gui yu	4
粉饺	fen jiao	9
粉鱼	fen yu	4
粑粑卷	ba ba juan	4
粒粒脆	li li cui	6
粗花糕	cu hua gao	2
粗黑胡椒粉	cu hei hu jiao fen	5
粘花饼干	zhan hua bing gan	3
粟米粥	su mi zhou	1
粟米菜花汤	su mi cai hua tang	5
粟米香菇排骨汤	su mi xiang gu pai gu tang	4
粢毛团	zi mao tuan	4
粤香村	yue xiang cun	6
粽子糖	zong zi tang	1
精制番薯粥	jing zhi fan shu zhou	2
精莜面	jing you mian	3
粿汁	guo zhi	35
糊塌子	hu ta zi	11
糊涂鸡	hu tu ji	5
糊辣汤	hu la tang	18
糌粑粥	zan ba zhou	2
糕粑	gao ba	3
糕粑藕粉	gao ba ou fen	3
糕耙稀饭	gao pa xi fan	4
糖不甩	tang bu shuai	13
糖佛手	tang fo shou	5
糖化酶制剂	tang hua mei zhi ji	4
糖卷果	tang juan guo	1
糖拌菜心	tang ban cai xin	2
糖柑饼	tang gan bing	2
糖桂花	tang gui hua	18
糖水杏罐头	tang shui xing guan tou	4
糖水洋梨罐头	tang shui yang li guan tou	3
糖水荔枝罐头	tang shui li zhi guan tou	8
糖水葡萄罐头	tang shui pu tao guan tou	5
糖水黄桃罐头	tang shui huang tao guan tou	5
糖江脐	tang jiang qi	2
糖火烧	tang huo shao	14
糖炒大扁	tang chao da bian	4
糖焖莲子	tang men lian zi	5
糖熘饹儿	tang liu le er	5
糖熘鲤鱼	tang liu li yu	3
糖粉	tang fen	13
糖粥藕	tang zhou ou	7
糖精钠	tang jing na	1
糖耳朵	tang er duo	4
糖胶树胶	tang jiao shu jiao	4
糖腿破酥包子	tang tui po su bao zi	6
糖芋头	tang yu tou	5
糖花蛋糕	tang hua dan gao	5
糖荸荠	tang bi qi	6
糖葱饼	tang cong bing	2
糖藕片	tang ou pian	7
糖酥煎饼	tang su jian bing	8
糖酱鱼	tang jiang yu	3
糖醋包菜	tang cu bao cai	3
糖醋咕噜肉	tang cu gu lu rou	7
糖醋嫩藕	tang cu nen ou	3
糖醋小排	tang cu xiao pai	40
糖醋小萝卜	tang cu xiao luo bo	4
糖醋带鱼	tang cu dai yu	3
糖醋猪腰	tang cu zhu yao	3
糖醋瓦块鱼	tang cu wa kuai yu	6
糖醋白菜	tang cu bai cai	2
糖醋素排骨	tang cu su pai gu	4
糖醋红柿椒	tang cu hong shi jiao	2
糖醋脆皮鱼	tang cu cui pi yu	7
糖醋荷藕	tang cu he ou	4
糖醋莴笋	tang cu wo sun	3
糖醋藕块	tang cu ou kuai	2
糖醋蜜肉	tang cu mi rou	3
糖醋软熘鲤鱼焙面	tang cu ruan liu li yu bei mian	5
糖醋软熘黄河鲤鱼	tang cu ruan liu huang he li yu	3
糖醋面筋	tang cu mian jin	1
糖醋鱼卷	tang cu yu juan	6
糖醋鱼条	tang cu yu tiao	4
糖醋鲤鱼	tang cu li yu	8
糖醋鸡圆	tang cu ji yuan	4
糖醋鸡块	tang cu ji kuai	4
糖饼	tang bing	42
糖麻圆	tang ma yuan	5
糜子粉	mei zi fen	4
糟毛豆	zao mao dou	1
糟烩鞭笋	zao hui bian sun	1
糟煨冬笋	zao wei dong sun	3
糟熘鱼片	zao liu yu pian	8
糟田螺	zao tian luo	8
糟辣脆皮鱼	zao la cui pi yu	7
糟鸡糟肉	zao ji zao rou	2
糟鸭	zao ya	1
糯米丸子	nuo mi wan zi	14
糯米八宝饭	nuo mi ba bao fan	5
糯米凉糕	nuo mi liang gao	6
糯米塞藕	nuo mi sai ou	4
糯米大枣粥	nuo mi da zao zhou	5
糯米球	nuo mi qiu	2
糯米甜糟	nuo mi tian zao	4
糯米砣	nuo mi tuo	3
糯米粑粑	nuo mi ba ba	3
糯米粥	nuo mi zhou	8
糯米糖藕	nuo mi tang ou	4
糯米藕片	nuo mi ou pian	5
糯米鸡	nuo mi ji	11
素枣糕	su zao gao	3
素桃酥	su tao su	3
素椒杂酱面	su jiao za jiang mian	2
素火腿	su huo tui	3
素炒腐球	su chao fu qiu	4
素炒豇豆	su chao jiang dou	1
素炒鸡丁	su chao ji ding	2
素炝春不老	su qiang chun bu lao	5
素烧鹅	su shao e	2
素烩	su hui	1
素脆鳝	su cui shan	3
素臊子面	su sao zi mian	3
素菜包	su cai bao	3
素酿南瓜	su niang nan gua	2
素锅烤鸭	su guo kao ya	3
素锅盔	su guo kui	5
紫光液	zi guang ye	9
紫桂焖大排	zi gui men da pai	3
紫盖肉	zi gai rou	3
紫竹林	zi zhu lin	18
紫米八宝饭	zi mi ba bao fan	7
紫米四喜汤圆	zi mi si xi tang yuan	4
紫糯米	zi nuo mi	6
紫罗兰酮	zi luo lan tong	8
紫背天葵	zi bei tian kui	10
紫胶	zi jiao	12
紫胶红	zi jiao hong	7
紫色沙拉	zi se sha la	2
紫苏叶	zi su ye	3
紫苏梅鸡	zi su mei ji	4
紫草红	zi cao hong	7
紫菜蛋皮卷	zi cai dan pi juan	2
紫菜蛋花汤	zi cai dan hua tang	21
紫萝牛肉	zi luo niu rou	3
紫香乾	zi xiang gan	3
繁峙疤饼	fan shi ba bing	5
红万寿	hong wan shou	4
红丝菜	hong si cai	4
红丸子	hong wan zi	8
红咖喱金瓜加积鸭	hong ka li jin gua jia ji ya	3
红喜包	hong xi bao	3
红土地	hong tu di	35
红庙酥饼	hong miao su bing	5
红扒排翅	hong pa pai chi	3
红扒鱼唇	hong pa yu chun	3
红扒鱼翅	hong pa yu chi	6
红扒鱼肚	hong pa yu du	3
红星兔丁	hong xing tu ding	1
红曲米	hong qu mi	6
红曲红	hong qu hong	9
红杞活鱼	hong qi huo yu	3
红杞蒸鸡	hong qi zheng ji	5
红松宝	hong song bao	7
红松鳜鱼	hong song gui yu	4
红果茶	hong guo cha	5
红果酪	hong guo lao	1
红枣年糕	hong zao nian gao	3
红枣枸杞奶	hong zao gou qi nai	1
红枣炖梨	hong zao dun li	3
红枣炖鲫鱼汤	hong zao dun ji yu tang	2
红枣煨肘	hong zao wei zhou	5
红枣红糖煮南瓜	hong zao hong tang zhu nan gua	3
红枣茯苓粥	hong zao fu ling zhou	7
红枣菊花粥	hong zao ju hua zhou	7
红枣薏仁粥	hong zao yi ren zhou	1
红枣酥肉	hong zao su rou	3
红柿	hong shi	17
红梅牌脆松糖	hong mei pai cui song tang	4
红梅珠香	hong mei zhu xiang	6
红椒爆鲜虾	hong jiao bao xian xia	3
红椒酿肉	hong jiao niang rou	7
红楼糕点	hong lou gao dian	2
红橙	hong cheng	18
红油兔丁	hong you tu ding	3
红油抄手	hong you chao shou	42
红油抄手酱	hong you chao shou jiang	3
红油猪耳	hong you zhu er	4
红油耳片	hong you er pian	6
红油肚丝	hong you du si	1
红油鸡块	hong you ji kuai	7
红油鸭子	hong you ya zi	4
红烧下巴	hong shao xia ba	5
红烧五花肉	hong shao wu hua rou	4
红烧兔头	hong shao tu tou	6
红烧全狗	hong shao quan gou	5
红烧冬瓜	hong shao dong gua	6
红烧划水	hong shao hua shui	8
