# 青简领域词库：诗词名句，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
幻化空身即法身	huan hua kong shen ji fa shen	2
幻想和现实	huan xiang he xian shi	5
幼为长所育	you wei zhang suo yu	2
幼吾幼以及人之幼	you wu you yi ji ren zhi you	7
幼子饥已卒	you zi ji yi zu	3
幼而无父曰孤	you er wu fu yue gu	3
幽人应未眠	you ren ying wei mian	3
幽人弹素琴	you ren tan su qin	2
幽兰在山谷	you lan zai shan gu	3
幽咽泉流水下滩	you ye quan liu shui xia tan	3
幽处欲生云	you chu yu sheng yun	2
幽居在空谷	you ju zai kong gu	2
幽居默默如藏逃	you ju mo mo ru cang tao	2
幽州胡马客	you zhou hu ma ke	2
幽径独行迷	you jing du xing mi	3
幽怀忽破散	you huai hu po san	2
幽怨不堪听	you yuan bu kan ting	2
幽独处乎山中	you du chu hu shan zhong	2
幽独抵归山	you du di gui shan	2
幽花欹满树	you hua qi man shu	3
幽闲元不为人芳	you xian yuan bu wei ren fang	2
幽龛入窈窕	you kan ru yao tiao	2
广广乎其无不容也	guang guang hu qi wu bu rong ye	2
广德若不足	guang de ruo bu zu	2
广裁衫袖长制裙	guang cai shan xiu chang zhi qun	2
广运无不至	guang yun wu bu zhi	2
庄则入为寿	zhuang ze ru wei shou	2
庄周游于雕陵之樊	zhuang zhou you yu diao ling zhi fan	2
庄子则方箕踞鼓盆而歌	zhuang zi ze fang ji ju gu pen er ge	2
庄子持竿不顾	zhuang zi chi gan bu gu	2
庄子钓于濮水	zhuang zi diao yu pu shui	2
庄生晓梦迷蝴蝶	zhuang sheng xiao meng mi hu die	1
庄缶犹可击	zhuang fou you ke ji	2
庆历四年春	qing li si nian chun	4
床下夜相亲	chuang xia ye xiang qin	2
床下见鱼游	chuang xia jian yu you	2
床前看月光	chuang qian kan yue guang	3
床头书册乱纷纷	chuang tou shu ce luan fen fen	2
床底松声万壑哀	chuang di song sheng wan he ai	2
庐山东南五老峰	lu shan dong nan wu lao feng	3
庐山谣寄卢侍御虚舟	lu shan yao ji lu shi yu xu zhou	3
庐江主人妇	lu jiang zhu ren fu	2
庐江小吏仲卿妻	lu jiang xiao li zhong qing qi	2
庐陵欧阳修也	lu ling ou yang xiu ye	2
库中先散与金钱	ku zhong xian san yu jin qian	2
应似飞鸿踏雪泥	ying si fei hong ta xue ni	7
应共冤魂语	ying gong yuan hun yu	2
应写黄庭换白鹅	ying xie huang ting huan bai e	2
应尽便须尽	ying jin bian xu jin	1
应念未归人	ying nian wei gui ren	3
应怜半死白头翁	ying lian ban si bai tou weng	2
应怜屐齿印苍苔	ying lian ji chi yin cang tai	2
应拜霍嫖姚	ying bai huo piao yao	2
应时而变者也	ying shi er bian zhe ye	2
应是奉佛人	ying shi feng fo ren	2
应是绿肥红瘦	ying shi lv fei hong shou	35
应是良辰好景虚设	ying shi liang chen hao jing xu she	7
应是西陵古驿台	ying shi xi ling gu yi tai	2
应照离人妆镜台	ying zhao li ren zhuang jing tai	2
应知我是香案吏	ying zhi wo shi xiang an li	2
应知故乡事	ying zhi gu xiang shi	6
应须饮酒不复道	ying xu yin jiu bu fu dao	2
应驮白练到安西	ying tuo bai lian dao an xi	3
府吏见丁宁	fu li jian ding ning	2
府吏闻此变	fu li wen ci bian	2
度我至军中	duo wo zhi jun zhong	2
度曲绿云垂	du qu lv yun chui	2
度道里会遇之礼毕	duo dao li hui yu zhi li bi	2
座上客常满	zuo shang ke chang man	3
座中泣下谁最多	zuo zhong qi xia shui zui duo	4
座对贤人酒	zuo dui xian ren jiu	2
庭下如积水空明	ting xia ru ji shui kong ming	3
庭中有奇树	ting zhong you qi shu	2
庭前八月梨枣熟	ting qian ba yue li zao shu	3
庭前芍药妖无格	ting qian shao yao yao wu ge	1
庭有枇杷树	ting you pi pa shu	4
庭树巢鹦鹉	ting shu chao ying wu	2
庭草春深绶带长	ting cao chun shen shou dai chang	2
庭轩寂寞近清明	ting xuan ji mo jin qing ming	2
庭院暗雨乍歇	ting yuan an yu zha xie	2
庭院深深深几许	ting yuan shen shen shen ji xu	2
庭雪到腰埋不死	ting xue dao yao mai bu si	2
庶以善自名	shu yi shan zi ming	2
庶保贫与素	shu bao pin yu su	2
庶几有时衰	shu ji you shi shuai	2
庶往共饥渴	shu wang gong ji ke	2
庾信文章老更成	yu xin wen zhang lao geng cheng	4
廉君宣恶言	lian jun xuan e yan	2
廉者不受嗟来之食	lian zhe bu shou jie lai zhi shi	5
廉颇居梁久之	lian po ju liang jiu zhi	2
廉颇送至境	lian po song zhi jing	2
廉颇遂奔魏之大梁	lian po sui ben wei zhi da liang	2
延年直差易	yan nian zhi cha yi	2
建功及春荣	jian gong ji chun rong	2
建安十九年	jian an shi jiu nian	20
建德非吾土	jian de fei wu tu	2
建芳馨兮庑门	jian fang xin xi wu men	2
开元之中常引见	kai yuan zhi zhong chang yin jian	2
开元二十六年	kai yuan er shi liu nian	15
开口咏凤凰	kai kou yong feng huang	2
开国何茫然	kai guo he mang ran	3
开帘见新月	kai lian jian xin yue	2
开窗放入大江来	kai chuang fang ru da jiang lai	4
开筵近鸟巢	kai yan jin niao chao	2
开箧泪沾臆	kai qie lei zhan yi	2
开箱验取石榴裙	kai xiang yan qu shi liu qun	3
开荒南野际	kai huang nan ye ji	1
开视化为血	kai shi hua wei xue	2
开轩卧闲敞	kai xuan wo xian chang	3
开轩纳微凉	kai xuan na wei liang	3
开轩面场圃	kai xuan mian chang pu	6
开门对玉莲	kai men dui yu lian	2
开颜发艳照里闾	kai yan fa yan zhao li lv	2
异事惊倒百岁翁	yi shi jing dao bai sui weng	3
异日图将好景	yi ri tu jiang hao jing	3
异鹊从而利之	yi que cong er li zhi	2
弃妾已去难重回	qi qie yi qu nan chong hui	2
弃我如遗迹	qi wo ru yi ji	2
弃捐勿复道	qi juan wu fu dao	6
弃甲曳兵而走	qi jia ye bing er zou	3
弄妆梳洗迟	nong zhuang shu xi chi	4
弄潮儿向涛头立	nong chao er xiang tao tou li	7
弄花香满衣	nong hua xiang man yi	3
弊服断线多	bi fu duan xian duo	3
弓如霹雳弦惊	gong ru pi li xian jing	4
引以为流觞曲水	yin yi wei liu shang qu shui	4
引壶觞以自酌	yin hu shang yi zi zhuo	3
引无数英雄竞折腰	yin wu shu ying xiong jing zhe yao	7
引无数英雄竟折腰	yin wu shu ying xiong jing zhe yao	2
引竿自刺船	yin gan zi ci chuan	2
引领望金扉	yin ling wang jin fei	2
弟兄姐妹舞翩跹	di xiong jie mei wu pian xian	1
弟子入则孝	di zi ru ze xiao	1
弟子堂上分两厢	di zi tang shang fen liang xiang	2
弟子孰为好学	di zi shu wei hao xue	2
弟子服其劳	di zi fu qi lao	4
弟子韩干早入室	di zi han gan zao ru shi	2
张旭三杯草圣传	zhang xu san bei cao sheng chuan	3
张良是时从沛公	zhang liang shi shi cong pei gong	2
张良西向侍	zhang liang xi xiang shi	3
弥勒真弥勒	mi le zhen mi le	3
弦凝指咽声停处	xian ning zhi yan sheng ting chu	2
弦平音自足	xian ping yin zi zu	2
弦弦掩抑声声思	xian xian yan yi sheng sheng si	2
弦急悲声发	xian ji bei sheng fa	2
弦断有谁听	xian duan you shei ting	9
弦鼓一声双袖举	xian gu yi sheng shuang xiu ju	3
弱子戏我侧	ruo zi xi wo ce	2
弱者道之用	ruo zhe dao zhi yong	4
弹洞前村壁	dan dong qian cun bi	1
弹琴复长啸	tan qin fu chang xiao	5
弹看飞鸿劝胡酒	dan kan fei hong quan hu jiu	2
强乐还无味	qiang le huan wu wei	2
强笑欲风天	qiang xiao yu feng tian	2
强虏灰飞烟灭	qiang lu hui fei yan mie	2
归入武陵源	gui ru wu ling yuan	2
归卧南山陲	gui wo nan shan chui	3
归去凤池夸	gui qu feng chi kua	4
归客千里至	gui ke qian li zhi	2
归家喜及辰	gui jia xi ji chen	2
归帆拂天姥	gui fan fu tian mu	3
归心折大刀	gui xin zhe da dao	4
归心海外见明月	gui xin hai wai jian ming yue	2
归思欲沾巾	gui si yu zhan jin	2
归来仿佛三更	gui lai fang fu san geng	2
归来何太迟	gui lai he tai chi	2
归来华发苍颜	gui lai hua fa cang yan	1
归来唯见秦淮碧	gui lai wei jian qin huai bi	2
归来宴平乐	gui lai yan ping le	2
归来寻旧蹊	gui lai xun jiu qi	3
归来展转到五更	gui lai zhan zhuan dao wu geng	2
归穿弱柳风	gui chuan ruo liu feng	4
归老江湖边	gui lao jiang hu bian	2
归轩锦绣香	gui xuan jin xiu xiang	2
归途行欲曛	gui tu xing yu xun	2
归雁来时数附书	gui yan lai shi shu fu shu	2
归雁洛阳边	gui yan luo yang bian	1
归鸿声断残云碧	gui hong sheng duan can yun bi	2
当仁不让于师	dang ren bu rang yu shi	3
当今世界殊	dang jin shi jie shu	4
当今天子急贤良	dang jin tian zi ji xian liang	2
当今廊庙具	dang jin lang miao ju	2
当其下手风雨快	dang qi xia shou feng yu kuai	3
当其欣于所遇	dang qi xin yu suo yu	2
当刮目相看	dang gua mu xiang kan	7
当哭相和也	dang ku xiang he ye	2
当垆仍是卓文君	dang lu reng shi zhuo wen jun	3
当垆笑春风	dang lu xiao chun feng	3
当年万里觅封侯	dang nian wan li mi feng hou	3
当年不肯嫁春风	dang nian bu ken jia chun feng	2
当年双桧是双童	dang nian shuang gui shi shuang tong	2
当年拼却醉颜红	dang nian pin que zui yan hong	3
当年鏖战急	dang nian ao zhan ji	1
当惊世界殊	dang jing shi jie shu	8
当时只道是寻常	dang shi zhi dao shi xun chang	21
当时命而大行乎天下	dang shi ming er da xing hu tian xia	2
当时屋瓦始称珍	dang shi wu wa shi cheng zhen	2
当时应逐南风落	dang shi ying zhu nan feng luo	2
当时明月在	dang shi ming yue zai	1
当时枉杀毛延寿	dang shi wang sha mao yan shou	3
当时汉武帝	dang shi han wu di	2
当时花下就传杯	dang shi hua xia jiu chuan bei	2
当春乃发生	dang chun nai fa sheng	18
当有来者知	dang you lai zhe zhi	3
当路游丝萦醉客	dang lu you si ying zui ke	2
当陵阳之焉至兮	dang ling yang zhi yan zhi xi	2
当风不结兰麝囊	dang feng bu jie lan she nang	2
当风扬其灰	dang feng yang qi hui	3
形劳而不休则弊	xing lao er bu xiu ze bi	2
形变而有生	xing bian er you sheng	2
形适外无恙	xing shi wai wu yang	2
彩云易散琉璃脆	cai yun yi san liu li cui	11
彩云长在有新天	cai yun chang zai you xin tian	3
彩旗夹岸照蛟室	cai qi jia an zhao jiao shi	3
彩线结茸背复叠	cai xian jie rong bei fu die	2
彩翠色如柏	cai cui se ru bai	2
彩袖殷勤捧玉钟	cai xiu yin qin peng yu zhong	3
彭祖巫咸几回死	peng zu wu xian ji hui si	2
影入平羌江水流	ying ru ping qiang jiang shui liu	4
影徒随我身	ying tu sui wo shen	15
影落清波十里红	ying luo qing bo shi li hong	3
彼亦一是非	bi yi yi shi fei	4
彼仁人何其多忧也	bi ren ren he qi duo you ye	2
彼其道幽远而无人	bi qi dao you yuan er wu ren	2
彼其道远而险	bi qi dao yuan er xian	2
彼恶敢当我哉	bi wu gan dang wo zai	2
彼民有常性	bi min you chang xing	2
彼美君家菜	bi mei jun jia cai	3
彼美玉山果	bi mei yu shan guo	2
彼视渊若陵	bi shi yuan ruo ling	2
往事已成空	wang shi yi cheng kong	2
往事知多少	wang shi zhi duo shao	12
往事越千年	wang shi yue qian nian	1
往取凉州牧	wang qu liang zhou mu	2
往年曾再过	wang nian ceng zai guo	2
往往似阴铿	wang wang si yin keng	4
往往取酒还独倾	wang wang qu jiu huan du qing	1
往往杀长吏	wang wang sha zhang li	2
往往飞花落洞庭	wang wang fei hua luo dong ting	3
往日崎岖还记否	wang ri qi qu huan ji fou	2
往来一万三千里	wang lai yi wan san qian li	2
往来成古今	wang lai cheng gu jin	1
往来无白丁	wang lai wu bai ding	20
往来而不绝者	wang lai er bu jue zhe	2
往者不可谏	wang zhe bu ke jian	7
往者不可追	wang zhe bu ke zhui	1
征夫怀远路	zheng fu huai yuan lu	2
征帆一片绕蓬壶	zheng fan yi pian rao peng hu	2
征帆去棹残阳里	zheng fan qu zhao can yang li	2
径无凡草唯生竹	jing wu fan cao wei sheng zhu	2
径草踏还生	jing cao ta huan sheng	2
径须沽取对君酌	jing xu gu qu dui jun zhuo	3
待到重阳日	dai dao chong yang ri	5
待到雪化时	dai dao xue hua shi	5
待吾还丹成	dai wu huan dan cheng	2
待晓堂前拜舅姑	dai xiao tang qian bai jiu gu	2
待诏金马门	dai zhao jin ma men	2
律中鬼神惊	lv zhong gui shen jing	2
徐妃久已嫁	xu fei jiu yi jia	2
徐福空来不得仙	xu fu kong lai bu de xian	3
徒令上将挥神笔	tu ling shang jiang hui shen bi	2
徒以吾两人在也	tu yi wu liang ren zai ye	3
徒劳恨费声	tu lao hen fei sheng	2
徒善不足以为政	tu shan bu zu yi wei zheng	8
徒慕君之高义也	tu mu jun zhi gao yi ye	2
徒此揖清芬	tu ci yi qing fen	2
徒法不能以自行	tu fa bu neng yi zi xing	7
徒留无所施	tu liu wu suo shi	2
徒要教郎比并看	tu yao jiao lang bi bing kan	2
得与亡孰病	de yu wang shu bing	3
得与王子同舟	de yu wang zi tong zhou	3
得之心而寓之酒也	de zhi xin er yu zhi jiu ye	2
得兔而忘蹄	de tu er wang ti	2
得其心有道	de qi xin you dao	4
得其民有道	de qi min you dao	5
得列嘉树中	de lie jia shu zhong	2
得及游丝百尺长	de ji you si bai chi chang	2
得复见将军于此	de fu jian jiang jun yu ci	2
得天下有道	de tian xia you dao	5
得失安之于数	de shi an zhi yu shu	5
得失寸心知	de shi cun xin zhi	2
得志与民由之	de zhi yu min you zhi	3
得志行乎中国	de zhi xing hu zhong guo	2
得意而忘言	de yi er wang yan	4
得成比目何辞死	de cheng bi mu he ci si	4
得我色敷腴	de wo se fu yu	2
得来全不费功夫	de lai quan bu fei gong fu	7
得自洞庭口	de zi dong ting kou	2
得见有恒者	de jian you heng zhe	2
得道伊洛滨	de dao yi luo bin	2
得道多助失道寡助	de dao duo zhu shi dao gua zhu	5
得道者多助	de dao zhe duo zhu	1
得鱼笑寄情相亲	de yu xiao ji qing xiang qin	3
得鱼而忘荃	de yu er wang quan	2
徘徊不忍去	pai huai bu ren qu	3
徘徊于斗牛之间	pai huai yu dou niu zhi jian	1
徙倚望沧海	xi yi wang cang hai	2
御厨络绎送八珍	yu chu luo yi song ba zhen	2
御宇多年求不得	yu yu duo nian qiu bu de	2
循墙绕柱觅君诗	xun qiang rao zhu mi jun shi	3
循序而渐进	xun xu er jian jin	4
微之炼秋石	wei zhi lian qiu shi	2
微云淡河汉	wei yun dan he han	2
微凉卧北轩	wei liang wo bei xuan	2
微子为哀伤	wei zi wei ai shang	2
微官敢有济时心	wei guan gan you ji shi xin	2
微幽兰之芳蔼兮	wei you lan zhi fang ai xi	2
微月没已久	wei yue mei yi jiu	2
微波龙鳞莎草绿	wei bo long lin suo cao lv	3
微躯此外更何求	wei qu ci wai geng he qiu	2
微雨众卉新	wei yu zhong hui xin	5
微雨燕双飞	wei yu yan shuang fei	2
微雨霭芳原	wei yu ai fang yuan	2
微霞尚满天	wei xia shang man tian	4
微风燕子斜	wei feng yan zi xie	1
微风襟袖知	wei feng jin xiu zhi	2
德不厚而思国之安	de bu hou er si guo zhi an	3
德亦乐得之	de yi le de zhi	3
德固不小识	de gu bu xiao shi	2
心不同兮媒劳	xin bu tong xi mei lao	3
心与竹俱空	xin yu zhu ju kong	2
心与虚空俱	xin yu xu kong ju	2
心中与之然	xin zhong yu zhi ran	2
心中为念农桑苦	xin zhong wei nian nong sang ku	6
心中常苦悲	xin zhong chang ku bei	2
心事一杯中	xin shi yi bei zhong	2
心事两悠然	xin shi liang you ran	2
心事恐蹉跎	xin shi kong cuo tuo	4
心交上古人	xin jiao shang gu ren	6
心亦不能为之哀	xin yi bu neng wei zhi ai	2
心似双丝网	xin si shuang si wang	8
心几烦而不绝兮	xin ji fan er bu jue xi	3
心同野鹤与尘远	xin tong ye he yu chen yuan	2
心如止水鉴常明	xin ru zhi shui jian chang ming	2
心如韩寿爱偷香	xin ru han shou ai tou xiang	2
心宁累自息	xin ning lei zi xi	3
心安是归处	xin an shi gui chu	1
心心复心心	xin xin fu xin xin	3
心忧炭贱愿天寒	xin you tan jian yuan tian han	4
心恬内无忧	xin tian nei wu you	2
心悦君兮知不知	xin yue jun xi zhi bu zhi	2
心振荡而不怡	xin zhen dang er bu yi	2
心清闻妙香	xin qing wen miao xiang	2
心潮逐浪高	xin chao zhu lang gao	5
心犹豫而狐疑	xin you yu er hu yi	2
心画心声总失真	xin hua xin sheng zong shi zhen	4
心知所见皆幻影	xin zhi suo jian jie huan ying	2
心足虽贫不道贫	xin zu sui pin bu dao pin	2
心远地自偏	xin yuan di zi pian	6
心迹喜双清	xin ji xi shuang qing	2
心阵未成星满池	xin zhen wei cheng xing man chi	2
心随湖水共悠悠	xin sui hu shui gong you you	2
心随雁飞灭	xin sui yan fei mie	3
心静海鸥知	xin jing hai ou zhi	2
心飞扬兮浩荡	xin fei yang xi hao dang	2
心飞故国楼	xin fei gu guo lou	2
必不得已而去	bi bu de yi er qu	4
必世而后仁	bi shi er hou ren	2
必也临事而惧	bi ye lin shi er ju	2
必也使无讼乎	bi ye shi wu song hu	1
必也正名乎	bi ye zheng ming hu	6
必也狂狷乎	bi ye kuang juan hu	4
必以言下之	bi yi yan xia zhi	3
必以身后之	bi yi shen hou zhi	3
必使仰足以事父母	bi shi yang zu yi shi fu mu	2
必先斯四者	bi xian si si zhe	3
必先苦其心志	bi xian ku qi xin zhi	10
必千乘之家	bi qian sheng zhi jia	2
必变色而作	bi bian se er zuo	2
必固其根本	bi gu qi gen ben	9
必慢其经界	bi man qi jing jie	2
必有可观者焉	bi you ke guan zhe yan	3
必有忠信如丘者焉	bi you zhong xin ru qiu zhe yan	3
必有我师焉	bi you wo shi yan	3
必正席先尝之	bi zheng xi xian chang zhi	2
必死耀丹诚	bi si yao dan cheng	2
必浚其泉源	bi jun qi quan yuan	9
必熟而荐之	bi shu er jian zhi	2
必积其德义	bi ji qi de yi	5
必能裨补阙漏	bi neng bi bu que lou	2
必若救疮痍	bi ruo jiu chuang yi	3
忆与高李辈	yi yu gao li bei	3
忆君清泪如铅水	yi jun qing lei ru qian shui	3
忆奉莲花座	yi feng lian hua zuo	3
忆往昔峥嵘岁月稠	yi wang xi zheng rong sui yue chou	6
忆我少壮时	yi wo shao zhuang shi	2
忆昔开元全盛日	yi xi kai yuan quan sheng ri	3
忆昔洛阳董糟丘	yi xi luo yang dong zao qiu	2
忆秦娥娄山关	yi qin e lou shan guan	3
忍使骅骝气凋丧	ren shi hua liu qi diao sang	2
忍剪凌云一寸心	ren jian ling yun yi cun xin	3
忍放花如雪	ren fang hua ru xue	2
忍死须臾待杜根	ren si xu yu dai du gen	1
忍能对面为盗贼	ren neng dui mian wei dao zei	1
忍顾鹊桥归路	ren gu que qiao gui lu	8
志与秋霜洁	zhi yu qiu shuang jie	2
志士不忘在沟壑	zhi shi bu wang zai gou he	2
志士不饮盗泉之水	zhi shi bu yin dao quan zhi shui	1
志士多苦心	zhi shi duo ku xin	2
志士惜日短	zhi shi xi ri duan	2
忘了除非醉	wang liao chu fei zui	1
忘路之远近	wang lu zhi yuan jin	5
忘身于外者	wang shen yu wai zhe	2
忘适之适也	wang shi zhi shi ye	2
忙应不及闲	mang ying bu ji xian	2
忙趁东风放纸鸢	mang chen dong feng fang zhi yuan	4
忠信事不显	zhong xin shi bu xian	2
忠告而善道之	zhong gao er shan dao zhi	3
忠州刺史时	zhong zhou ci shi shi	2
忠恕而已矣	zhong shu er yi yi	4
忠愤气填膺	zhong fen qi tian ying	3
忠臣不谄其君	zhong chen bu chan qi jun	2
忠言逆耳利于行	zhong yan ni er li yu xing	32
忧世心力弱	you shi xin li ruo	2
忧伤以终老	you shang yi zhong lao	3
忧劳可以兴国	you lao ke yi xing guo	1
忧国不谋身	you guo bu mou shen	8
忧懈怠则思慎始而敬终	you xie dai ze si shen shi er jing zhong	3
忧来其如何	you lai qi ru he	3
忧来思君不敢忘	you lai si jun bu gan wang	2
忧来豁蒙蔽	you lai huo meng bi	3
忧民之忧者	you min zhi you zhe	7
忧虞何时毕	you yu he shi bi	2
忧道不忧贫	you dao bu you pin	5
快意雄风海上来	kuai yi xiong feng hai shang lai	2
快走踏清秋	kuai zou ta qing qiu	4
快马加鞭未下鞍	kuai ma jia bian wei xia an	5
忳郁邑余侘傺兮	tun yu yi yu cha chi xi	3
念之断人肠	nian zhi duan ren chang	4
念天地之悠悠	nian tian di zhi you you	5
念奴娇昆仑	nian nu jiao kun lun	2
念奴娇赤壁怀古	nian nu jiao chi bi huai gu	4
念桥边红药	nian qiao bian hong yao	3
念此私自愧	nian ci si zi kui	4
念武陵人远	nian wu ling ren yuan	1
忽临睨夫旧乡	hu lin ni fu jiu xiang	3
忽吾行此流沙兮	hu wu xing ci liu sha xi	2
忽复乘舟梦日边	hu fu cheng zhou meng ri bian	3
忽如一夜春风来	hu ru yi ye chun feng lai	46
忽如江浦上	hu ru jiang pu shang	2
忽如远行客	hu ru yuan xing ke	4
忽尔弦断绝	hu er xian duan jue	4
忽尽下牢边	hu jin xia lao bian	2
忽忆两京梅发时	hu yi liang jing mei fa shi	2
忽忆故人天际去	hu yi gu ren tian ji qu	2
忽忆绣衣人	hu yi xiu yi ren	2
忽惊二十五万丈	hu jing er shi wu wan zhang	2
忽报人间曾伏虎	hu bao ren jian ceng fu hu	1
忽有人家笑语声	hu you ren jia xiao yu sheng	3
忽然一夜春风来	hu ran yi ye chun feng lai	2
忽然欠伸屋打头	hu ran qian shen wu da tou	2
忽然闭口立	hu ran bi kou li	1
忽独与余兮目成	hu du yu yu xi mu cheng	3
忽见千帆隐映来	hu jian qian fan yin ying lai	1
忽见陌头杨柳色	hu jian mo tou yang liu se	1
忽逢桃花林	hu feng tao hua lin	6
忽闻唐衢死	hu wen tang qu si	2
忽闻岸上踏歌声	hu wen an shang ta ge sheng	4
忽闻歌古调	hu wen ge gu diao	2
忽闻水上琵琶声	hu wen shui shang pi pa sheng	3
忽闻河东狮子吼	hu wen he dong shi zi hou	3
忽闻海上有仙山	hu wen hai shang you xian shan	1
忽魂悸以魄动	hu hun ji yi po dong	2
怀佳人兮不能忘	huai jia ren xi bu neng wang	3
怀古钦英风	huai gu qin ying feng	2
怀君属秋夜	huai jun shu qiu ye	3
怀役不遑寐	huai yi bu huang mei	2
怀抱即依然	huai bao ji yi ran	2
怀抱观古今	huai bao guan gu jin	3
怀旧不能发	huai jiu bu neng fa	3
怀王与诸将约曰	huai wang yu zhu jiang yue yue	2
怀瑾握瑜兮	huai jin wo yu xi	3
怀良辰以孤往	huai liang chen yi gu wang	3
态浓意远淑且真	tai nong yi yuan shu qie zhen	3
怅卧新春白袷衣	chang wo xin chun bai jia yi	2
怅恍如或存	chang huang ru huo cun	3
怅望千秋一洒泪	chang wang qian qiu yi sa lei	4
怅望江头江水声	chang wang jiang tou jiang shui sheng	1
怅然吟式微	chang ran yin shi wei	2
怎一个愁字了得	zen yi ge chou zi liao de	6
怎得梅花扑鼻香	zen de mei hua pu bi xiang	4
怒其臂以当车辙	nu qi bi yi dang che zhe	2
怒发上冲冠	nu fa shang chong guan	3
怒涛卷霜雪	nu tao juan shuang xue	1
怒者其谁邪	nu zhe qi shui xie	2
怕得鱼惊不应人	pa de yu jing bu ying ren	2
怕见夜间出去	pa jian ye jian chu qu	3
怜君何事到天涯	lian jun he shi dao tian ya	2
怜君如弟兄	lian jun ru di xiong	4
怜蛾不点灯	lian e bu dian deng	3
思与故人言	si yu gu ren yan	2
思为双飞燕	si wei shuang fei yan	2
思久故之亲身兮	si jiu gu zhi qin shen xi	2
思乡泪满巾	si xiang lei man jin	2
思入风云变态中	si ru feng yun bian tai zhong	2
思君不见下渝州	si jun bu jian xia yu zhou	4
思君令人老	si jun ling ren lao	2
思君君不来	si jun jun bu lai	2
思君如百草	si jun ru bai cao	2
思君若汶水	si jun ruo wen shui	3
思国之安者	si guo zhi an zhe	5
思归多苦颜	si gui duo ku yan	3
思归若汾水	si gui ruo fen shui	3
思欲委符节	si yu wei fu jie	2
思索以通之	si suo yi tong zhi	2
思绵绵而增慕	si mian mian er zeng mu	3
思而不学则殆	si er bu xue ze dai	5
思飘云物外	si piao yun wu wai	2
怡然敬父执	yi ran jing fu zhi	1
急应河阳役	ji ying he yang yi	3
性慵无病常称病	xing yong wu bing chang cheng bing	2
性本爱丘山	xing ben ai qiu shan	4
性灵出万象	xing ling chu wan xiang	2
性短非所续	xing duan fei suo xu	2
怨灵修之浩荡兮	yuan ling xiu zhi hao dang xi	2
怪底眼花悬两目	guai di yan hua xuan liang mu	2
怪道侬来凭吊日	guai dao nong lai ping diao ri	2
总不能避免	zong bu neng bi mian	3
总为浮云能蔽日	zong wei fu yun neng bi ri	1
总向愁中白	zong xiang chou zhong bai	2
总把新桃换旧符	zong ba xin tao huan jiu fu	3
总是玉关情	zong shi yu guan qing	2
总赖东君主	zong lai dong jun zhu	2
恁别无萦绊	nen bie wu ying ban	2
恁时相见早留心	nen shi xiang jian zao liu xin	2
恂然弃而走	xun ran qi er zou	2
恃其便以敖予	shi qi bian yi ao yu	3
恋月潭边坐石棱	lian yue tan bian zuo shi leng	2
恍恍与之去	huang huang yu zhi qu	2
恍惊起而长嗟	huang jing qi er chang jie	3
恐为仙者迎	kong wei xian zhe ying	2
恐子就沦灭	kong zi jiu lun mie	2
恐年岁之不吾与	kong nian sui zhi bu wu yu	2
恐是潘安县	kong shi pan an xian	2
恐结他生里	kong jie ta sheng li	2
恐美人之迟暮	kong mei ren zhi chi mu	2
恢弘志士之气	hui hong zhi shi zhi qi	4
恨不移封向酒泉	hen bu yi feng xiang jiu quan	2
恨别鸟惊心	hen bie niao jing xin	11
恨到归时方始休	hen dao gui shi fang shi xiu	3
恨无人似花依旧	hen wu ren si hua yi jiu	2
恨无知音赏	hen wu zhi yin shang	2
恨晨光之熹微	hen chen guang zhi xi wei	2
恩不甚兮轻绝	en bu shen xi qing jue	1
恩爱两不疑	en ai liang bu yi	5
恭宽信敏惠	gong kuan xin min hui	3
恭者不侮人	gong zhe bu wu ren	3
恭而无礼则劳	gong er wu li ze lao	2
息我以衰老	xi wo yi shuai lao	4
恰似一江春水向东流	qia si yi jiang chun shui xiang dong liu	6
恰似十五女儿腰	qia si shi wu nv er yao	2
恰似葡萄初酦醅	qia si pu tao chu fa pei	3
恰同学少年	qia tong xue shao nian	28
恰如年少洞房人	qia ru nian shao dong fang ren	2
恶之欲其死	wu zhi yu qi si	1
恶乎知君子小人哉	wu hu zhi jun zi xiao ren zai	3
恶在其为民父母也	wu zai qi wei min fu mu ye	3
恶竹应须斩万竿	e zhu ying xu zhan wan gan	7
恶紫之夺朱也	e zi zhi duo zhu ye	3
恶者贵而美者贱	e zhe gui er mei zhe jian	3
恶能治国家	wu neng zhi guo jia	3
恸哭六军俱缟素	tong ku liu jun ju gao su	4
恸哭秋原何处村	tong ku qiu yuan he chu cun	3
悄悄是别离的笙箫	qiao qiao shi bie li de sheng xiao	5
悄悄的我走了	qiao qiao de wo zou le	7
悄悄至更阑	qiao qiao zhi geng lan	2
悉不过中年	xi bu guo zhong nian	3
悍吏之来吾乡	han li zhi lai wu xiang	3
悔不当时留住	hui bu dang shi liu zhu	2
悔作商人妇	hui zuo shang ren fu	2
悔教夫婿觅封侯	hui jiao fu xu mi feng hou	1
悟已往之不谏	wu yi wang zhi bu jian	8
悟来皆是道	wu lai jie shi dao	2
悠悠伏枕左书空	you you fu zhen zuo shu kong	2
悠悠天地间	you you tian di jian	2
悠悠天宇旷	you you tian yu kuang	6
