# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
三糖	san tang	3
三级结构	san ji jie gou	18
三级预防	san ji yu fang	9
三羧酸循环	san suo suan xun huan	18
三联体	san lian ti	8
三联体密码	san lian ti mi ma	1
三联律	san lian lv	2
三聚体	san ju ti	46
三肾丸	san shen wan	3
三腔二囊管	san qiang er nang guan	2
三苯双脒肠溶片	san ben shuang mi chang rong pian	2
三角肌	san jiao ji	15
三角风	san jiao feng	4
三角骨	san jiao gu	4
三踝骨折	san huai gu zhe	5
三金片	san jin pian	7
三阳合病	san yang he bing	2
三阳络	san yang luo	2
三阴	san yin	9
三阴交	san yin jiao	8
三阴交穴	san yin jiao xue	7
三面镜	san mian jing	1
三颗针	san ke zhen	2
三黄片	san huang pian	7
上关	shang guan	9
上寒下热	shang han xia re	2
上巨虚	shang ju xu	3
上巨虚穴	shang ju xu xue	3
上廉	shang lian	8
上廉泉	shang lian quan	2
上段	shang duan	10
上海口腔医学	shang hai kou qiang yi xue	2
上海生物制品研究所	shang hai sheng wu zhi pin yan jiu suo	8
上消化道出血	shang xiao hua dao chu xue	2
上消化道造影	shang xiao hua dao zao ying	1
上清液	shang qing ye	7
上热下寒	shang re xia han	4
上皮样细胞	shang pi yang xi bao	5
上皮样肉瘤	shang pi yang rou liu	2
上皮珠	shang pi zhu	3
上皮生长因子	shang pi sheng zhang yin zi	3
上皮瘤	shang pi liu	3
上皮癌	shang pi ai	12
上皮组织	shang pi zu zhi	36
上盛下虚	shang sheng xia xu	3
上睑	shang jian	8
上睑下垂	shang jian xia chui	7
上矢状窦	shang shi zhuang dou	4
上矢状窦血栓形成	shang shi zhuang dou xue shuan xing cheng	2
上纵隔	shang zong ge	5
上肢肌	shang zhi ji	1
上肢长	shang zhi chang	2
上肢骨	shang zhi gu	1
上脘	shang wan	1
上脘穴	shang wan xue	3
上腔静脉	shang qiang jing mai	11
上腔静脉综合征	shang qiang jing mai zong he zheng	3
上臂假肢	shang bi jia zhi	3
上迎香	shang ying xiang	3
上颌前突	shang he qian tu	4
上颌动脉	shang he dong mai	3
上颌后缩	shang he hou suo	1
上颌神经	shang he shen jing	3
上颌窦	shang he dou	4
上颌窦囊肿	shang he dou nang zhong	3
上颌窦炎	shang he dou yan	5
上颌窦骨折	shang he dou gu zhe	2
上颌骨骨折	shang he gu gu zhe	1
上髎	shang liao	3
下丘脑性闭经	xia qiu nao xing bi jing	2
下丘脑综合征	xia qiu nao zong he zheng	3
下乳涌泉散	xia ru yong quan san	2
下关穴	xia guan xue	3
下利清谷	xia li qing gu	4
下巨虚	xia ju xu	3
下廉	xia lian	4
下木	xia mu	6
下极俞	xia ji shu	2
下火王	xia huo wang	4
下疳	xia gan	2
下痢	xia li	11
下肢动脉硬化	xia zhi dong mai ying hua	7
下肢深静脉血栓形成	xia zhi shen jing mai xue shuan xing cheng	6
下肢溃疡	xia zhi kui yang	1
下肢肌	xia zhi ji	7
下肢脉管炎	xia zhi mai guan yan	3
下肢静脉	xia zhi jing mai	2
下肢静脉功能不全	xia zhi jing mai gong neng bu quan	4
下肢静脉炎	xia zhi jing mai yan	1
下肢静脉血栓形成	xia zhi jing mai xue shuan xing cheng	5
下肢静脉造影	xia zhi jing mai zao ying	6
下肢骨	xia zhi gu	3
下脘	xia wan	4
下脘穴	xia wan xue	4
下腔静脉	xia qiang jing mai	18
下颌下腺	xia he xia xian	3
下颌关节脱位	xia he guan jie tuo wei	4
下颌前突	xia he qian tu	5
下颌后缩	xia he hou suo	5
下颌角	xia he jiao	1
下颌骨骨折	xia he gu gu zhe	1
下颌骨髁突	xia he gu ke tu	2
下髎	xia liao	2
下鼻甲	xia bi jia	7
下鼻甲部分切除术	xia bi jia bu fen qie chu shu	3
不典型增生	bu dian xing zeng sheng	1
不内外因	bu nei wai yin	2
不分离	bu fen li	9
不动关节	bu dong guan jie	2
不孕不育	bu yun bu yu	9
不安腿综合征	bu an tui zong he zheng	4
不完全显性	bu wan quan xian xing	2
不完全流产	bu wan quan liu chan	20
不寐	bu mei	21
不寐病	bu mei bing	2
不应期	bu ying qi	21
不换金正气散	bu huan jin zheng qi san	3
不育性	bu yu xing	2
不育症	bu yu zheng	9
不规则散光	bu gui ze san guang	5
不规则热	bu gui ze re	3
不规则阴道出血	bu gui ze yin dao chu xue	6
不规则骨	bu gui ze gu	1
不随意肌	bu sui yi ji	1
不随意运动	bu sui yi yun dong	1
不饱和脂肪酸	bu bao he zhi fang suan	23
丘墟	qiu xu	4
丘小庆	qiu xiao qing	3
丘比特	qiu bi te	47
丘疱疹	qiu pao zhen	6
丘疹性荨麻疹	qiu zhen xing xun ma zhen	8
丘脑	qiu nao	22
丘脑出血	qiu nao chu xue	5
丙咪嗪	bing mi qin	3
丙型病毒性肝炎	bing xing bing du xing gan yan	6
丙型肝炎病毒	bing xing gan yan bing du	31
丙戊酰胺片	bing wu xian an pian	3
丙戊酸	bing wu suan	1
丙戊酸钠	bing wu suan na	2
丙戊酸钠口服液	bing wu suan na kou fu ye	2
丙戊酸钠片	bing wu suan na pian	3
丙戊酸钠缓释片	bing wu suan na huan shi pian	3
丙戊酸镁	bing wu suan mei	3
丙戊酸镁缓释片	bing wu suan mei huan shi pian	2
丙氧匹林片	bing yang pi lin pian	6
丙氧氨酚复方片	bing yang an fen fu fang pian	2
丙氧氨酚片	bing yang an fen pian	6
丙氨酸氨基转移酶	bing an suan an ji zhuan yi mei	1
丙氨酸转氨酶	bing an suan zhuan an mei	4
