# 青简领域词库：医学，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
狂犬病免疫球蛋白	kuang quan bing mian yi qiu dan bai	1
狂犬病毒	kuang quan bing du	15
狂病	kuang bing	1
狐惑病	hu huo bing	2
狗皮膏	gou pi gao	7
狗脊	gou ji	22
独一味	du yi wei	1
独一味咀嚼片	du yi wei ju jue pian	2
独一味胶囊	du yi wei jiao nang	2
独一味软胶囊	du yi wei ruan jiao nang	3
独一味颗粒	du yi wei ke li	2
独参汤	du shen tang	3
独圣活血片	du sheng huo xue pian	4
独活	du huo	22
独活寄生汤	du huo ji sheng tang	4
独特位	du te wei	4
独特型	du te xing	1
独生儿童	du sheng er tong	3
独阴	du yin	3
狭叶红景天	xia ye hong jing tian	1
狭心症	xia xin zheng	2
狭颅症	xia lu zheng	5
狼疮性肾炎	lang chuang xing shen yan	3
狼疮肾炎	lang chuang shen yan	5
猝倒症	cu dao zheng	2
猪殃殃	zhu yang yang	29
猪牙皂	zhu ya zao	2
猪肺磷脂注射液	zhu fei lin zhi zhu she ye	4
猪苓	zhu ling	8
猪苓多糖	zhu ling duo tang	2
猪苓多糖注射液	zhu ling duo tang zhu she ye	2
猪蹄甲	zhu ti jia	4
猪链球菌	zhu lian qiu jun	1
猪链球菌病	zhu lian qiu jun bing	1
猫人参	mao ren shen	2
猫抓病	mao zhua bing	3
猫须草	mao xu cao	1
猴头菌片	hou tou jun pian	4
猴枣	hou zao	21
猴痘	hou dou	4
猴耳环消炎片	hou er huan xiao yan pian	2
猴耳环消炎胶囊	hou er huan xiao yan jiao nang	2
猴菇菌片	hou gu jun pian	3
玄麦甘桔颗粒	xuan mai gan ju ke li	3
率谷	shuai gu	1
玉丹荣心丸	yu dan rong xin wan	2
玉叶清火片	yu ye qing huo pian	4
玉女煎	yu nv jian	3
玉屏风	yu ping feng	6
玉屏风口服液	yu ping feng kou fu ye	4
玉屏风散	yu ping feng san	1
玉屏风滴丸	yu ping feng di wan	2
玉屏风颗粒	yu ping feng ke li	5
玉枕	yu zhen	6
玉枕穴	yu zhen xue	2
玉泉丸	yu quan wan	2
玉竹	yu zhu	3
王不留行	wang bu liu xing	6
王世真	wang shi zhen	3
王冰	wang bing	22
王卫平	wang wei ping	6
王台	wang tai	44
王振义	wang zhen yi	2
王旭高	wang xu gao	2
王朴诚	wang pu cheng	2
王氏保赤丸	wang shi bao chi wan	4
王氏连朴饮	wang shi lian pu yin	3
王焘	wang tao	10
王肯堂	wang ken tang	3
玫瑰疹	mei gui zhen	3
玫瑰糠疹	mei gui kang zhen	1
玫瑰花结	mei gui hua jie	4
环丙孕酮	huan bing yun tong	3
环丙氟哌酸	huan bing fu pai suan	2
环丙沙星	huan bing sha xing	10
环丙沙星注射液	huan bing sha xing zhu she ye	3
环丙沙星滴眼液	huan bing sha xing di yan ye	2
环丙沙星片	huan bing sha xing pian	2
环丝氨酸	huan si an suan	4
环境卫生学	huan jing wei sheng xue	12
环孢素	huan bao su	13
环孢素胶囊	huan bao su jiao nang	4
环孢素软胶囊	huan bao su ruan jiao nang	5
环孢菌素	huan bao jun su	3
环己胺	huan ji an	6
环己酮	huan ji tong	11
环形红斑	huan xing hong ban	3
环指	huan zhi	1
环枢	huan shu	5
环氧乙烷	huan yang yi wan	27
环氧化酶	huan yang hua mei	5
环状胰腺	huan zhuang yi xian	2
环状软骨	huan zhuang ruan gu	17
环磷腺苷注射液	huan lin xian gan zhu she ye	5
环磷酰胺	huan lin xian an	16
环磷酰胺注射液	huan lin xian an zhu she ye	4
环磷酸鸟苷	huan lin suan niao gan	7
环腺苷酸	huan xian gan suan	6
环跳	huan tiao	2
环转	huan zhuan	1
环酯红霉素	huan zhi hong mei su	3
环酯红霉素片	huan zhi hong mei su pian	2
现代医学模式	xian dai yi xue mo shi	6
现代口腔种植学	xian dai kou qiang zhong zhi xue	3
现况调查	xian kuang diao cha	2
现场研究	xian chang yan jiu	11
现存量	xian cun liang	6
玻璃体出血	bo li ti chu xue	6
玻璃体切割术	bo li ti qie ge shu	6
玻璃体变性	bo li ti bian xing	4
玻璃体液	bo li ti ye	2
玻璃体液化	bo li ti ye hua	5
玻璃体混浊	bo li ti hun zhuo	1
玻璃体病	bo li ti bing	2
玻璃体积血	bo li ti ji xue	6
玻璃化	bo li hua	25
玻璃离子水门汀	bo li li zi shui men ting	2
玻璃膜疣	bo li mo you	5
玻璃酸酶	bo li suan mei	3
玻璃酸钠	bo li suan na	1
玻璃酸钠滴眼液	bo li suan na di yan ye	3
珊瑚七十味丸	shan hu qi shi wei wan	3
珊瑚姜	shan hu jiang	1
珍合灵片	zhen he ling pian	2
珍宝丸	zhen bao wan	4
珍珠层粉	zhen zhu ceng fen	5
珍珠明目滴眼液	zhen zhu ming mu di yan ye	4
珍珠母	zhen zhu mu	36
珍珠活络二十九味丸	zhen zhu huo luo er shi jiu wei wan	4
珍珠粉	zhen zhu fen	9
珍珠粉胶囊	zhen zhu fen jiao nang	3
珍珠芦荟	zhen zhu lu hui	3
珍红颗粒	zhen hong ke li	3
珍芪降糖胶囊	zhen qi jiang tang jiao nang	4
珍视明滴眼液	zhen shi ming di yan ye	4
珍香胶囊	zhen xiang jiao nang	3
珠子参	zhu zi shen	2
班布特罗	ban bu te luo	4
班氏丝虫病	ban shi si chong bing	3
球囊	qiu nang	40
球囊扩张导管	qiu nang kuo zhang dao guan	5
球囊斑	qiu nang ban	2
球孢子菌病	qiu bao zi jun bing	5
球旁细胞	qiu pang xi bao	2
球结膜	qiu jie mo	3
球麻痹	qiu ma bi	3
理中丸	li zhong wan	3
理性情绪疗法	li xing qing xu liao fa	3
理气舒心片	li qi shu xin pian	4
理论心理学	li lun xin li xue	2
理论生物学	li lun sheng wu xue	4
琥乙红霉素	hu yi hong mei su	5
琥乙红霉素片	hu yi hong mei su pian	3
琥乙红霉素胶囊	hu yi hong mei su jiao nang	2
琥珀氯霉素	hu po lv mei su	2
琥珀胆碱	hu po dan jian	5
琥珀还睛丸	hu po huan jing wan	2
琥珀酰明胶注射液	hu po xian ming jiao zhu she ye	4
琥珀酸	hu po suan	15
琥珀酸亚铁	hu po suan ya tie	2
琥珀酸氧化酶	hu po suan yang hua mei	2
琥珀酸美托洛尔	hu po suan mei tuo luo er	2
琥珀酸美托洛尔缓释片	hu po suan mei tuo luo er huan shi pian	3
琼玉膏	qiong yu gao	4
琼脂糖	qiong zhi tang	2
琼脂糖凝胶电泳	qiong zhi tang ning jiao dian yong	2
瑞像岩	rui xiang yan	2
瑞巴派特	rui ba pai te	3
瑞格列奈	rui ge lie nai	5
瑞格列奈片	rui ge lie nai pian	3
瑞舒伐他汀钙	rui shu fa ta ting gai	2
瑞芬太尼	rui fen tai ni	4
瑞贝克	rui bei ke	6
璇玑	xuan ji	23
瓜子金	gua zi jin	3
瓜氨酸	gua an suan	6
瓜蒌仁	gua lou ren	4
瓜蒌薤白半夏汤	gua lou xie bai ban xia tang	2
瓜蒌薤白白酒汤	gua lou xie bai bai jiu tang	2
瓜霜退热灵胶囊	gua shuang tui re ling jiao nang	4
瓣膜性心脏病	ban mo xing xin zang bing	1
瓣膜成形术	ban mo cheng xing shu	4
瓣膜置换术	ban mo zhi huan shu	1
瓦松	wa song	29
瓦楞子	wa leng zi	3
瓷牙	ci ya	10
瓷贴面	ci tie mian	1
甘利欣	gan li xin	4
甘松	gan song	35
甘桔冰梅片	gan ju bing mei pian	3
甘油三脂	gan you san zhi	7
甘油三酯	gan you san zhi	11
甘油果糖	gan you guo tang	4
甘油灌肠剂	gan you guan chang ji	2
甘油醇溶液	gan you chun rong ye	2
甘精胰岛素	gan jing yi dao su	6
甘精胰岛素注射液	gan jing yi dao su zhu she ye	3
甘草干姜茯苓白术汤	gan cao gan jiang fu ling bai zhu tang	2
甘草次酸	gan cao ci suan	10
甘草泻心汤	gan cao xie xin tang	3
甘草流浸膏	gan cao liu jin gao	4
甘草浸膏	gan cao jin gao	5
甘草片	gan cao pian	8
甘草甜素	gan cao tian su	2
甘草酸二钠	gan cao suan er na	2
甘草酸二钾	gan cao suan er jia	3
甘草酸二铵	gan cao suan er an	2
甘草酸二铵注射液	gan cao suan er an zhu she ye	2
甘草酸二铵胶囊	gan cao suan er an jiao nang	3
甘草酸单铵	gan cao suan dan an	3
甘草酸单铵盐	gan cao suan dan an yan	3
甘草酸苷	gan cao suan gan	3
甘草锌颗粒	gan cao xin ke li	3
甘薯	gan shu	44
甘遂	gan sui	3
甘露消毒丸	gan lu xiao du wan	3
甘露消毒丹	gan lu xiao du dan	4
甘露消渴胶囊	gan lu xiao ke jiao nang	4
甘露糖	gan lu tang	17
甘露糖苷酶	gan lu tang gan mei	3
甘露聚糖肽	gan lu ju tang tai	1
甘露聚糖肽口服液	gan lu ju tang tai kou fu ye	3
甘露聚糖肽口服溶液	gan lu ju tang tai kou fu rong ye	4
甘露聚糖肽片	gan lu ju tang tai pian	2
甘露醇	gan lu chun	19
甘露醇注射液	gan lu chun zhu she ye	4
甘麦大枣汤	gan mai da zao tang	6
甜地丁	tian di ding	3
甜菊苷	tian ju gan	2
甜菜碱	tian cai jian	1
生三七散	sheng san qi san	2
生前伤	sheng qian shang	1
生力胶囊	sheng li jiao nang	4
生化丸	sheng hua wan	3
生化反应	sheng hua fan ying	11
生化汤	sheng hua tang	5
生化药物	sheng hua yao wu	4
生发中心	sheng fa zhong xin	3
生命体征	sheng ming ti zheng	29
生命活动	sheng ming huo dong	9
生命质量	sheng ming zhi liang	1
生地	sheng di	10
生地黄	sheng di huang	1
生大黄	sheng dai huang	7
生天南星	sheng tian nan xing	3
生姜油	sheng jiang you	3
生姜泻心汤	sheng jiang xie xin tang	2
生存值	sheng cun zhi	2
生态群	sheng tai qun	3
生态遗传学	sheng tai yi chuan xue	2
生晒参	sheng shai shen	7
生橡胶	sheng xiang jiao	1
生殖免疫学	sheng zhi mian yi xue	1
生殖器疱疹	sheng zhi qi pao zhen	5
生殖细胞	sheng zhi xi bao	27
生殖细胞瘤	sheng zhi xi bao liu	8
生殖行为	sheng zhi xing wei	1
生活事件	sheng huo shi jian	13
生活事件量表	sheng huo shi jian liang biao	2
生活力	sheng huo li	3
生物利用度	sheng wu li yong du	31
生物制剂	sheng wu zhi ji	45
生物制药工艺学	sheng wu zhi yao gong yi xue	2
生物化学检验	sheng wu hua xue jian yan	3
生物医学模式	sheng wu yi xue mo shi	6
生物反应器	sheng wu fan ying qi	3
生物反馈	sheng wu fan kui	7
生物反馈法	sheng wu fan kui fa	2
生物反馈疗法	sheng wu fan kui liao fa	4
生物因素	sheng wu yin su	6
生物安全柜	sheng wu an quan gui	1
生物心理学	sheng wu xin li xue	6
生物性传播	sheng wu xing chuan bo	3
生物技术制药	sheng wu ji shu zhi yao	2
生物敷料	sheng wu fu liao	1
生物材料学	sheng wu cai liao xue	5
生物等效性	sheng wu deng xiao xing	2
生物素缺乏	sheng wu su que fa	1
生物节律	sheng wu jie lv	4
生物药剂学	sheng wu yao ji xue	2
生物转化	sheng wu zhuan hua	16
生物陶瓷	sheng wu tao ci	5
生狼毒	sheng lang du	4
生理反射	sheng li fan she	2
生理心理学	sheng li xin li xue	3
生理性飞蚊症	sheng li xing fei wen zheng	3
生理氯化钠溶液	sheng li lv hua na rong ye	3
生石膏	sheng shi gao	8
生精上皮	sheng jing shang pi	2
生精细胞	sheng jing xi bao	6
生精胶囊	sheng jing jiao nang	4
生肌玉红膏	sheng ji yu hong gao	3
生脉	sheng mai	6
生脉散	sheng mai san	6
生脉注射液	sheng mai zhu she ye	7
生脉胶囊	sheng mai jiao nang	2
生脉饮	sheng mai yin	6
生脉饮口服液	sheng mai yin kou fu ye	4
生药学	sheng yao xue	14
生蒲黄	sheng pu huang	4
生薏米	sheng yi mi	6
生长发育	sheng zhang fa yu	26
生长抑素	sheng zhang yi su	5
生长期脱发	sheng zhang qi tuo fa	4
生长激素	sheng zhang ji su	37
生长激素缺乏症	sheng zhang ji su que fa zheng	1
生长迟缓	sheng zhang chi huan	5
生马钱子	sheng ma qian zi	3
用药安全	yong yao an quan	3
田七痛经胶囊	tian qi tong jing jiao nang	2
田七花叶颗粒	tian qi hua ye ke li	2
田七补丸	tian qi bu wan	4
田基黄	tian ji huang	1
甲卡西酮	jia ka xi tong	4
甲周炎	jia zhou yan	2
甲地孕酮	jia di yun tong	4
甲型副伤寒	jia xing fu shang han	6
甲型病毒性肝炎	jia xing bing du xing gan yan	7
甲型肝炎减毒活疫苗	jia xing gan yan jian du huo yi miao	4
甲型肝炎灭活疫苗	jia xing gan yan mie huo yi miao	1
甲型肝炎病毒	jia xing gan yan bing du	1
甲基丙二酸尿症	jia ji bing er suan niao zheng	2
甲基丙烯酸酯	jia ji bing xi suan zhi	3
甲基吡咯烷酮	jia ji bi luo wan tong	5
甲基吡啶	jia ji bi ding	47
甲基吲哚	jia ji yin duo	1
甲基咪唑	jia ji mi zuo	22
甲基多巴	jia ji duo ba	8
甲基多巴片	jia ji duo ba pian	3
甲基己胺	jia ji ji an	1
甲基睾丸素	jia ji gao wan su	4
甲基睾丸酮	jia ji gao wan tong	1
甲基硫氧嘧啶	jia ji liu yang mi ding	3
甲基纤维素	jia ji xian wei su	1
甲基组氨酸	jia ji zu an suan	2
甲基苄肼	jia ji bian jing	1
甲基苯丙氨酸	jia ji ben bing an suan	2
甲基转移酶	jia ji zhuan yi mei	11
甲基麻黄碱	jia ji ma huang jian	4
甲基黄嘌呤	jia ji huang piao ling	4
甲壳蓝蛋白	jia qiao lan dan bai	2
甲巯咪唑	jia qiu mi zuo	12
甲巯咪唑片	jia qiu mi zuo pian	7
甲床	jia chuang	6
甲强龙	jia qiang long	6
甲氟喹	jia fu kui	2
甲氧氯普胺片	jia yang lv pu an pian	2
甲氧苄啶	jia yang bian ding	2
甲氧西林	jia yang xi lin	31
甲氨喋呤	jia an die ling	4
甲氨蝶呤	jia an die ling	10
甲氨蝶呤片	jia an die ling pian	4
甲氰咪胍	jia qing mi gua	4
甲泼尼龙	jia po ni long	3
甲泼尼龙片	jia po ni long pian	2
甲状	jia zhuang	23
甲状旁腺	jia zhuang pang xian	4
甲状旁腺功能亢进	jia zhuang pang xian gong neng kang jin	2
甲状旁腺功能减退症	jia zhuang pang xian gong neng jian tui zheng	3
甲状旁腺机能减退	jia zhuang pang xian ji neng jian tui	1
甲状旁腺激素	jia zhuang pang xian ji su	4
甲状腺上动脉	jia zhuang xian shang dong mai	3
甲状腺切除术	jia zhuang xian qie chu shu	9
甲状腺功能减退	jia zhuang xian gong neng jian tui	5
甲状腺危象	jia zhuang xian wei xiang	2
甲状腺囊肿	jia zhuang xian nang zhong	6
甲状腺恶性肿瘤	jia zhuang xian e xing zhong liu	3
甲状腺次全切除术	jia zhuang xian ci quan qie chu shu	4
甲状腺毒症	jia zhuang xian du zheng	15
甲状腺激素	jia zhuang xian ji su	26
甲状腺炎	jia zhuang xian yan	24
甲状腺片	jia zhuang xian pian	4
甲状腺球蛋白	jia zhuang xian qiu dan bai	7
甲状腺球蛋白抗体	jia zhuang xian qiu dan bai kang ti	5
甲状腺病	jia zhuang xian bing	7
甲状腺癌	jia zhuang xian ai	42
甲状腺粉	jia zhuang xian fen	3
甲状腺素	jia zhuang xian su	37
甲状腺结节	jia zhuang xian jie jie	18
甲状腺腺瘤	jia zhuang xian xian liu	2
甲状腺钙化	jia zhuang xian gai hua	3
甲状舌管囊肿	jia zhuang she guan nang zhong	3
甲状软骨	jia zhuang ruan gu	23
甲癣	jia xuan	4
甲睾酮	jia gao tong	20
甲睾酮片	jia gao tong pian	2
甲砜霉素	jia feng mei su	3
甲砜霉素肠溶片	jia feng mei su chang rong pian	3
甲砜霉素胶囊	jia feng mei su jiao nang	5
甲硝唑	jia xiao zuo	7
甲硝唑口颊片	jia xiao zuo kou jia pian	2
甲硝唑含漱液	jia xiao zuo han shu ye	2
甲硝唑棒	jia xiao zuo bang	3
甲硝唑注射液	jia xiao zuo zhu she ye	4
甲硝唑溶液	jia xiao zuo rong ye	3
甲硝唑片	jia xiao zuo pian	6
甲硝唑缓释片	jia xiao zuo huan shi pian	3
甲硝唑胶囊	jia xiao zuo jiao nang	3
甲硝唑芬布芬胶囊	jia xiao zuo fen bu fen jiao nang	3
甲硝唑葡萄糖注射液	jia xiao zuo pu tao tang zhu she ye	2
甲硝唑阴道泡腾片	jia xiao zuo yin dao pao teng pian	3
甲硝唑霜	jia xiao zuo shuang	2
甲硫氨酸	jia liu an suan	28
甲磺酸伊马替尼	jia huang suan yi ma ti ni	1
甲磺酸培氟沙星	jia huang suan pei fu sha xing	3
甲磺酸帕珠沙星	jia huang suan pa zhu sha xing	4
甲磺酸帕珠沙星注射液	jia huang suan pa zhu sha xing zhu she ye	2
甲磺酸酚妥拉明	jia huang suan fen tuo la ming	3
甲磺酸酚妥拉明分散片	jia huang suan fen tuo la ming fen san pian	2
甲磺酸酚妥拉明注射液	jia huang suan fen tuo la ming zhu she ye	4
甲福明	jia fu ming	4
甲类传染病	jia lei chuan ran bing	17
甲紫	jia zi	4
甲羟孕酮	jia qiang yun tong	1
甲羟孕酮片	jia qiang yun tong pian	3
甲肝减毒活疫苗	jia gan jian du huo yi miao	7
甲肝疫苗	jia gan yi miao	6
甲胎蛋白	jia tai dan bai	1
甲胺磷	jia an lin	2
甲芬那酸	jia fen na suan	1
甲苯中毒	jia ben zhong du	3
甲苯咪唑	jia ben mi zuo	2
甲苯咪唑咀嚼片	jia ben mi zuo ju jue pian	3
甲苯磺丁脲	jia ben huang ding niao	1
甲苯磺丁脲片	jia ben huang ding niao pian	3
甲苯磺酸妥舒沙星片	jia ben huang suan tuo shu sha xing pian	2
甲苯胺	jia ben an	5
甲苯达唑	jia ben da zuo	3
甲营养不良	jia ying yang bu liang	1
甲酚	jia fen	20
甲酚皂溶液	jia fen zao rong ye	1
甲醇中毒	jia chun zhong du	12
甲醛溶液	jia quan rong ye	2
甲钴胺	jia gu an	4
甲钴胺片	jia gu an pian	3
甲钴胺胶囊	jia gu an jiao nang	3
甲骨	jia gu	37
申脉	shen mai	2
电休克	dian xiu ke	6
电休克治疗	dian xiu ke zhi liao	6
电休克疗法	dian xiu ke liao fa	1
电击伤	dian ji shang	2
电子俘获	dian zi fu huo	3
电子染色	dian zi ran se	2
电子睡眠仪	dian zi shui mian yi	4
电子耳蜗植入术	dian zi er wo zhi ru shu	2
电工与电子技术	dian gong yu dian zi ji shu	3
电泳法	dian yong fa	3
电渗析	dian shen xi	8
电渗析法	dian shen xi fa	4
电灼术	dian zhuo shu	4
电烙术	dian lao shu	2
电烧伤	dian shao shang	6
电焊工尘肺	dian han gong chen fei	5
电疗法	dian liao fa	5
电磁流量计	dian ci liu liang ji	5
电离作用	dian li zuo yong	1
电离辐射	dian li fu she	43
电穿孔	dian chuan kong	12
电突触	dian tu chu	3
电解质紊乱	dian jie zhi wen luan	2
电诊断	dian zhen duan	1
男儿本色	nan er ben se	18
男宝胶囊	nan bao jiao nang	4
男性不育症	nan xing bu yu zheng	9
男性假两性畸形	nan xing jia liang xing ji xing	6
男性型秃发	nan xing xing tu fa	3
男性女性化	nan xing nv xing hua	5
男性尿道	nan xing niao dao	2
男性性功能障碍	nan xing xing gong neng zhang ai	1
男性更年期综合征	nan xing geng nian qi zong he zheng	5
男性更年期综合症	nan xing geng nian qi zong he zheng	3
男性生殖系统	nan xing sheng zhi xi tong	7
甾类化合物	zai lei hua he wu	3
番木瓜碱	fan mu gua jian	4
番泻叶	fan xie ye	8
番石榴叶	fan shi liu ye	1
番茄汁	fan qie zhi	17
畸形学	ji xing xue	5
畸形性骨炎	ji xing xing gu yan	2
畸形足	ji xing zu	6
畸胎瘤	ji tai liu	3
疏松结缔组织	shu song jie di zu zhi	6
疏痛安涂膜剂	shu tong an tu mo ji	3
疏血通	shu xue tong	5
疏血通注射液	shu xue tong zhu she ye	5
疏风再造丸	shu feng zai zao wan	2
疏风定痛丸	shu feng ding tong wan	4
疑病症	yi bing zheng	8
疖病	jie bing	1
疖病疫苗	jie bing yi miao	3
疖肿	jie zhong	4
疗癣卡西甫散	liao xuan ka xi fu san	4
疝修补术	shan xiu bu shu	1
疝内容物	shan nei rong wu	6
疝囊	shan nang	6
疝立消	shan li xiao	6
疣状	you zhuang	11
疣状痣	you zhuang zhi	3
疣状胃炎	you zhuang wei yan	3
疣状表皮发育不良	you zhuang biao pi fa yu bu liang	4
疤痕体质	ba hen ti zhi	7
疤痕增生	ba hen zeng sheng	8
疫情监测	yi qing jian ce	6
疫水	yi shui	1
疫源地	yi yuan di	2
疫源地消毒	yi yuan di xiao du	5
疫点	yi dian	5
疫苗注射	yi miao zhu she	28
疮疡	chuang yang	5
疰夏	zhu xia	7
疱疹性咽峡炎	pao zhen xing yan xia yan	8
疱疹性结膜炎	pao zhen xing jie mo yan	2
疱疹性脑膜炎	pao zhen xing nao mo yan	2
疱疹样皮炎	pao zhen yang pi yan	2
疲劳综合征	pi lao zong he zheng	2
疲劳骨折	pi lao gu zhe	4
疳病	gan bing	2
疼痛门诊	teng tong men zhen	6
疼痛难忍	teng tong nan ren	3
疾病控制中心	ji bing kong zhi zhong xin	15
疾病监测	ji bing jian ce	19
痄腮	zha sai	1
病例对照研究	bing li dui zhao yan jiu	7
病原学	bing yuan xue	10
病原携带者	bing yuan xie dai zhe	9
病原生物学	bing yuan sheng wu xue	12
病因学	bing yin xue	7
病媒生物	bing mei sheng wu	1
病态人格	bing tai ren ge	7
病机	bing ji	6
病死率	bing si lv	23
病毒受体	bing du shou ti	1
病毒唑	bing du zuo	1
病毒基因组	bing du ji yin zu	33
病毒性出血热	bing du xing chu xue re	5
病毒性咽炎	bing du xing yan yan	3
病毒性心肌炎	bing du xing xin ji yan	9
病毒性感冒	bing du xing gan mao	10
病毒性疾病	bing du xing ji bing	31
病毒性皮疹	bing du xing pi zhen	3
病毒性结膜炎	bing du xing jie mo yan	2
病毒性肝炎	bing du xing gan yan	38
病毒性肠炎	bing du xing chang yan	2
病毒性肺炎	bing du xing fei yan	45
病毒性胃肠炎	bing du xing wei chang yan	1
病毒性脑膜炎	bing du xing nao mo yan	2
病毒性角膜炎	bing du xing jiao mo yan	7
病毒抗体	bing du kang ti	9
病毒携带者	bing du xie dai zhe	16
病毒病	bing du bing	35
病毒粒子	bing du li zi	10
病毒血症	bing du xue zheng	5
病毒载体	bing du zai ti	44
病毒载量	bing du zai liang	11
病毒遗传学	bing du yi chuan xue	2
病理反射	bing li fan she	4
病理学与病理生理学	bing li xue yu bing li sheng li xue	5
病理学基础	bing li xue ji chu	2
病理形态学	bing li xing tai xue	5
病理性偷窃	bing li xing tou qie	5
病理性赌博	bing li xing du bo	4
病理性骨折	bing li xing gu zhe	8
病理检验技术	bing li jian yan ji shu	3
病理生理学	bing li sheng li xue	39
病理解剖学	bing li jie pou xue	7
病理过程	bing li guo cheng	5
症状性癫痫	zheng zhuang xing dian xian	5
痉挛性偏瘫	jing luan xing pian tan	3
痉挛性截瘫	jing luan xing jie tan	5
痉挛性瘫痪	jing luan xing tan huan	5
痉挛性睑内翻	jing luan xing jian nei fan	3
痒点	yang dian	7
痒疹	yang zhen	5
痔环切术	zhi huan qie shu	3
痔疮栓	zhi chuang shuan	4
痔疮止血颗粒	zhi chuang zhi xue ke li	4
痔疮胶囊	zhi chuang jiao nang	2
痔疮膏	zhi chuang gao	6
痔疾洗液	zhi ji xi ye	2
痔血胶囊	zhi xue jiao nang	3
痕量元素	hen liang yuan su	2
痘病毒	dou bing du	15
痛如针刺	tong ru zhen ci	3
痛性痉挛	tong xing jing luan	2
痛泻要方	tong xie yao fang	3
痛经软膏	tong jing ruan gao	2
痛舒胶囊	tong shu jiao nang	3
痛觉过敏	tong jue guo min	2
痛阈	tong yu	2
痛风定片	tong feng ding pian	4
痛风性关节炎	tong feng xing guan jie yan	4
痛风性肾病	tong feng xing shen bing	1
痛风石	tong feng shi	4
痛风舒胶囊	tong feng shu jiao nang	4
痞满	pi man	6
痢特灵片	li te ling pian	3
痰厥	tan jue	4
痰咳净	tan ke jing	5
痰咳净片	tan ke jing pian	3
痰多	tan duo	10
痰浊中阻	tan zhuo zhong zu	3
痰湿	tan shi	10
痰热清	tan re qing	6
痰热清注射液	tan re qing zhu she ye	7
痰热证	tan re zheng	2
痰瘀互结证	tan yu hu jie zheng	2
痰迷心窍	tan mi xin qiao	3
痰饮	tan yin	6
痹病	bi bing	4
痹痛	bi tong	2
痹痛宁胶囊	bi tong ning jiao nang	4
痹证	bi zheng	1
痿躄	wei bi	2
瘀斑	yu ban	5
瘀点	yu dian	10
瘀血阻络证	yu xue zu luo zheng	3
瘘管	lou guan	34
瘙痒病	sao yang bing	4
瘢痕体质	ban hen ti zhi	7
瘢痕性睑内翻	ban hen xing jian nei fan	2
瘢痕性脱发	ban hen xing tuo fa	3
瘢痕疙瘩	ban hen ge da	6
瘢痕癌	ban hen ai	4
瘢痕组织	ban hen zu zhi	7
瘤胃	liu wei	15
瘤胃微生物	liu wei wei sheng wu	3
瘭疽	biao ju	1
瘿病	ying bing	4
癃闭	long bi	5
癃闭舒片	long bi shu pian	2
癃闭舒胶囊	long bi shu jiao nang	3
癌前病变	ai qian bing bian	5
癌基因	ai ji yin	14
癌性发热	ai xing fa re	3
癌胚抗原	ai pei kang yuan	3
癔症	yi zheng	3
癔症性精神病	yi zheng xing jing shen bing	5
癣病	xuan bing	6
癣药水	xuan yao shui	3
癣菌疹	xuan jun zhen	2
癫病	dian bing	4
癫痫大发作	dian xian da fa zuo	6
癫痫小发作	dian xian xiao fa zuo	4
癫痫性精神障碍	dian xian xing jing shen zhang ai	4
癫痫持续状态	dian xian chi xu zhuang tai	1
登革出血热	deng ge chu xue re	2
登革热病毒	deng ge re bing du	4
白三烯	bai san xi	31
白介素	bai jie su	13
白内障囊内摘除术	bai nei zhang nang nei zhai chu shu	4
白内障囊外摘除术	bai nei zhang nang wai zhai chu shu	4
白凡士林	bai fan shi lin	4
白前	bai qian	6
白加黑	bai jia hei	12
白化症	bai hua zheng	17
白参	bai shen	10
白喉抗毒素	bai hou kang du su	7
白喉棒状杆菌	bai hou bang zhuang gan jun	2
白喉病	bai hou bing	3
白喉类毒素	bai hou lei du su	1
白垢	bai gou	6
白垩土	bai e tu	2
白垩色	bai e se	1
白头粉刺	bai tou fen ci	5
白头翁加甘草阿胶汤	bai tou weng jia gan cao e jiao tang	2
白头翁汤	bai tou weng tang	4
白屈菜	bai qu cai	6
白带净胶囊	bai dai jing jiao nang	2
白带异常	bai dai yi chang	8
白念珠菌	bai nian zhu jun	3
白扁豆	bai bian dou	9
白敬宇眼药	bai jing yu yan yao	2
白晕	bai yun	3
白术	bai zhu	7
白术散	bai zhu san	2
白果内酯	bai guo nei zhi	4
白树油	bai shu you	3
白毛舌	bai mao she	4
白毛藤	bai mao teng	2
白消安	bai xiao an	3
白点病	bai dian bing	2
白癜风胶囊	bai dian feng jiao nang	5
白石清热颗粒	bai shi qing re ke li	2
白石英	bai shi ying	1
白破	bai po	1
白破疫苗	bai po yi miao	7
白纹伊蚊	bai wen yi wen	1
白线疝	bai xian shan	4
白细胞介素	bai xi bao jie su	48
白细胞减少	bai xi bao jian shao	13
白细胞凝集素	bai xi bao ning ji su	3
白细胞增多	bai xi bao zeng duo	1
白细胞计数	bai xi bao ji shu	7
白细辛	bai xi xin	2
白脉软膏	bai mai ruan gao	2
白腻	bai ni	1
白舒非	bai shu fei	5
白色糠疹	bai se kang zhen	2
白色血栓	bai se xue shuan	5
白芍总苷胶囊	bai shao zong gan jiao nang	3
白芥子	bai jie zi	2
白芨	bai ji	5
白花油	bai hua you	1
白花油麻藤	bai hua you ma teng	1
白花蛇	bai hua she	5
