# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
事件驱动	shi jian qu dong	36
事件驱动程序	shi jian qu dong cheng xu	10
事件驱动语言	shi jian qu dong yu yan	5
事务分析	shi wu fen xi	2
事务回滚	shi wu hui gun	13
事务处理	shi wu chu li	27
事务处理系统	shi wu chu li xi tong	9
事务控制	shi wu kong zhi	1
事务故障	shi wu gu zhang	7
事务时间	shi wu shi jian	9
事务死锁	shi wu si suo	8
事务调度	shi wu diao du	1
事务隔离	shi wu ge li	11
事务隔离级别	shi wu ge li ji bie	13
事务驱动	shi wu qu dong	6
事实库	shi shi ku	5
事实标准	shi shi biao zhun	10
事物管理	shi wu guan li	2
二义性	er yi xing	6
二值化	er zhi hua	3
二值图像	er zhi tu xiang	6
二元关系	er yuan guan xi	20
二元语法	er yuan yu fa	6
二分三分	er fen san fen	5
二分判断	er fen pan duan	8
二分匹配	er fen pi pei	11
二分图	er fen tu	34
二分图判定	er fen tu pan ding	7
二分图匹配	er fen tu pi pei	1
二分图染色	er fen tu ran se	8
二分思想	er fen si xiang	9
二分插入	er fen cha ru	8
二分插入排序	er fen cha ru pai xu	10
二分搜索	er fen sou suo	1
二分查找	er fen cha zhao	2
二分查找法	er fen cha zhao fa	12
二分查找算法	er fen cha zhao suan fa	1
二分求幂	er fen qiu mi	7
二分法	er fen fa	43
二分法查找	er fen fa cha zhao	11
二分猜答案	er fen cai da an	6
二分答案	er fen da an	12
二分类	er fen lei	13
二叉堆	er cha dui	5
二叉平衡树	er cha ping heng shu	10
二叉排序树	er cha pai xu shu	12
二叉搜索树	er cha sou suo shu	2
二叉树	er cha shu	27
二叉树各种	er cha shu ge zhong	7
二叉树深度	er cha shu shen du	9
二叉树的遍历	er cha shu de bian li	12
二叉树遍历	er cha shu bian li	11
二叉索引树	er cha suo yin shu	7
二叉链表	er cha lian biao	11
二层交换	er ceng jiao huan	8
二次剩余	er ci sheng yu	3
二次开发	er ci kai fa	9
二次排序	er ci pai xu	10
二次曲面	er ci qu mian	4
二次规划	er ci gui hua	10
二次采样	er ci cai yang	9
二级域名	er ji yu ming	13
二级指针	er ji zhi zhen	12
二级索引	er ji suo yin	1
二级缓存	er ji huan cun	10
二级联动	er ji lian dong	9
二级菜单	er ji cai dan	12
二级高速缓存	er ji gao su huan cun	7
二维几何	er wei ji he	4
二维数组	er wei shu zu	6
二维树状数组	er wei shu zhuang shu zu	10
二维码扫描	er wei ma sao miao	7
二维码生成	er wei ma sheng cheng	10
二维码签到	er wei ma qian dao	5
二维线段树	er wei xian duan shu	10
二维背包	er wei bei bao	8
二路归并	er lu gui bing	11
二进制优化	er jin zhi you hua	9
二进制单元	er jin zhi dan yuan	5
二进制大对象	er jin zhi da dui xiang	10
二进制字符	er jin zhi zi fu	12
二进制数	er jin zhi shu	17
二进制数字	er jin zhi shu zi	4
二进制文件	er jin zhi wen jian	47
二进制日志	er jin zhi ri zhi	12
二进制枚举	er jin zhi mei ju	9
二进制流	er jin zhi liu	13
二进制运算	er jin zhi yun suan	9
二重指针	er chong zhi zhen	9
二项分布	er xiang fen bu	6
云主机	yun zhu ji	11
云告警	yun gao jing	7
云备份	yun bei fen	16
云存储	yun cun chu	36
云安全	yun an quan	5
云平台	yun ping tai	24
云托管	yun tuo guan	7
云技术	yun ji shu	8
云操作系统	yun cao zuo xi tong	2
云数据库	yun shu ju ku	10
云栖社区	yun qi she qu	8
云测试	yun ce shi	2
云环境	yun huan jing	4
云监控	yun jian kong	2
云管理平台	yun guan li ping tai	8
云视频	yun shi pin	2
云计算大数据	yun ji suan da shu ju	8
云计算平台	yun ji suan ping tai	8
云计算应用	yun ji suan ying yong	3
云计算开发	yun ji suan kai fa	8
云计算服务	yun ji suan fu wu	24
云课堂	yun ke tang	3
云音乐	yun yin yue	29
互信息	hu xin xi	14
互换性	hu huan xing	22
互操作	hu cao zuo	14
互操作程序集	hu cao zuo cheng xu ji	6
互斥对象	hu chi dui xiang	11
互斥量	hu chi liang	13
互斥锁	hu chi suo	21
互联网产品	hu lian wang chan pin	6
互联网创业	hu lian wang chuang ye	9
互联网协议	hu lian wang xie yi	14
互联网大会	hu lian wang da hui	21
互联网安全	hu lian wang an quan	29
互联网广告	hu lian wang guang gao	7
互联网应用	hu lian wang ying yong	2
互联网开发	hu lian wang kai fa	6
互联网教育	hu lian wang jiao yu	1
互联网新闻	hu lian wang xin wen	24
互联网架构	hu lian wang jia gou	3
互联网科技	hu lian wang ke ji	7
互联网编程	hu lian wang bian cheng	6
互联网营销	hu lian wang ying xiao	11
互联网资讯	hu lian wang zi xun	13
互联网金融	hu lian wang jin rong	43
互联网项目	hu lian wang xiang mu	3
井字棋	jing zi qi	3
交互图	jiao hu tu	11
交互式处理	jiao hu shi chu li	8
交互式电视	jiao hu shi dian shi	1
交互式语言	jiao hu shi yu yan	7
交互技术	jiao hu ji shu	1
交互方式	jiao hu fang shi	7
交互设备	jiao hu she bei	8
交互设计	jiao hu she ji	25
交互设计师	jiao hu she ji shi	3
交互运作	jiao hu yun zuo	5
交互错误	jiao hu cuo wu	5
交叉存储器	jiao cha cun chu qi	5
交叉存取	jiao cha cun qu	9
交叉工具链	jiao cha gong ju lian	10
交叉开关	jiao cha kai guan	2
交叉引用	jiao cha yin yong	8
交叉搜索	jiao cha sou suo	5
交叉概率	jiao cha gai lv	1
交叉算子	jiao cha suan zi	8
交叉编译	jiao cha bian yi	11
交叉编译器	jiao cha bian yi qi	1
交叉编译环境	jiao cha bian yi huan jing	11
交叉耦合	jiao cha ou he	6
交叉连接	jiao cha lian jie	8
交叉验证	jiao cha yan zheng	14
交换元素	jiao huan yuan su	2
交换技术	jiao huan ji shu	7
交换排列	jiao huan pai lie	5
交换排序	jiao huan pai xu	12
交换码	jiao huan ma	2
交换芯片	jiao huan xin pian	8
交换虚电路	jiao huan xu dian lu	6
交易处理	jiao yi chu li	5
交错路径	jiao cuo lu jing	7
产业互联网	chan ye hu lian wang	1
产业生态链	chan ye sheng tai lian	1
产品业务	chan pin ye wu	7
产品人	chan pin ren	9
产品分析	chan pin fen xi	2
产品安全	chan pin an quan	14
产品市场	chan pin shi chang	24
产品库	chan pin ku	1
产品应用	chan pin ying yong	8
产品数据管理	chan pin shu ju guan li	6
产品文档	chan pin wen dang	1
产品测试	chan pin ce shi	6
产品研发管理	chan pin yan fa guan li	7
产品策划	chan pin ce hua	2
产品认证	chan pin ren zheng	10
产品评论	chan pin ping lun	2
产品运营	chan pin yun ying	13
产生式系统	chan sheng shi xi tong	6
产生式规则	chan sheng shi gui ze	1
享元模式	xiang yuan mo shi	13
亮度比	liang du bi	2
人体行为识别	ren ti xing wei shi bie	8
人员定位	ren yuan ding wei	1
人工干预	ren gong gan yu	15
人工录入	ren gong lu ru	7
人工控制	ren gong kong zhi	7
人工智能语言	ren gong zhi neng yu yan	6
人工模拟	ren gong mo ni	3
人工测试	ren gong ce shi	3
人工神经元	ren gong shen jing yuan	9
人工神经网络	ren gong shen jing wang luo	47
人工管理阶段	ren gong guan li jie duan	7
人工约束	ren gong yue shu	5
人工语言	ren gong yu yan	29
人形机器人	ren xing ji qi ren	25
人月神话	ren yue shen hua	2
人机工程	ren ji gong cheng	13
人机接口	ren ji jie kou	1
人机界面	ren ji jie mian	10
人机界面设计	ren ji jie mian she ji	1
人机系统	ren ji xi tong	6
人脸对齐	ren lian dui qi	8
人脸检测	ren lian jian ce	22
介电常数	jie dian chang shu	40
介质故障	jie zhi gu zhang	1
介质转换	jie zhi zhuan huan	5
从备份恢复	cong bei fen hui fu	3
从头读历史	cong tou du li shi	6
从站	cong zhan	9
仓储配送	cang chu pei song	1
仓库管理系统	cang ku guan li xi tong	9
付费电视	fu fei dian shi	40
代价函数	dai jia han shu	3
代数分析	dai shu fen xi	6
代数数据类型	dai shu shu ju lei xing	2
代理传值	dai li chuan zhi	8
代理方法	dai li fang fa	1
代理服务	dai li fu wu	7
代理服务器	dai li fu wu qi	37
代理模式	dai li mo shi	3
代理类	dai li lei	14
代理脚本	dai li jiao ben	7
代理设计模式	dai li she ji mo shi	10
代码仓库	dai ma cang ku	4
代码优化	dai ma you hua	2
代码优化技巧	dai ma you hua ji qiao	7
代码健壮性	dai ma jian zhuang xing	9
代码分享	dai ma fen xiang	1
代码分析	dai ma fen xi	8
代码区	dai ma qu	13
代码变换	dai ma bian huan	7
代码块	dai ma kuai	20
代码备份	dai ma bei fen	8
代码复用	dai ma fu yong	7
代码大全	dai ma da quan	1
代码实例	dai ma shi li	13
代码实现	dai ma shi xian	9
代码审查	dai ma shen cha	7
代码审计	dai ma shen ji	1
代码工具	dai ma gong ju	1
代码工具类	dai ma gong ju lei	5
代码布局	dai ma bu ju	10
代码库	dai ma ku	39
代码托管	dai ma tuo guan	13
代码扩充	dai ma kuo chong	5
代码技巧	dai ma ji qiao	8
代码技术	dai ma ji shu	2
代码提示	dai ma ti shi	13
代码整洁	dai ma zheng jie	10
代码整理	dai ma zheng li	1
代码格式化	dai ma ge shi hua	9
代码检查	dai ma jian cha	2
代码模板	dai ma mu ban	11
代码段	dai ma duan	1
代码注释	dai ma zhu shi	3
代码测试	dai ma ce shi	13
代码混淆	dai ma hun xiao	2
代码片	dai ma pian	12
代码片段	dai ma pian duan	17
代码片段库	dai ma pian duan ku	7
代码生成	dai ma sheng cheng	9
代码生成器	dai ma sheng cheng qi	1
代码生成程序	dai ma sheng cheng cheng xu	6
代码示例	dai ma shi li	20
代码移动	dai ma yi dong	10
代码签名	dai ma qian ming	1
代码管理	dai ma guan li	1
代码管理工具	dai ma guan li gong ju	10
代码类	dai ma lei	12
代码结构	dai ma jie gou	2
代码统计	dai ma tong ji	8
代码编写	dai ma bian xie	4
代码编辑器	dai ma bian ji qi	10
代码能力	dai ma neng li	11
代码自动补全	dai ma zi dong bu quan	10
代码行数	dai ma hang shu	3
代码补全	dai ma bu quan	5
代码表	dai ma biao	1
代码覆盖率	dai ma fu gai lv	8
代码规范	dai ma gui fan	1
代码记录	dai ma ji lu	10
代码设计	dai ma she ji	12
代码评审	dai ma ping shen	1
代码调试	dai ma tiao shi	12
代码质量	dai ma zhi liang	1
代码走查	dai ma zou cha	9
代码转换器	dai ma zhuan huan qi	6
代码重构	dai ma chong gou	10
代码重用	dai ma chong yong	13
代码阅读	dai ma yue du	11
代码隐藏文件	dai ma yin cang wen jian	7
代码隐藏类	dai ma yin cang lei	7
代码风格	dai ma feng ge	1
代码高亮	dai ma gao liang	1
令牌传递	ling pai chuan di	1
令牌传递协议	ling pai chuan di xie yi	5
令牌总线	ling pai zong xian	7
令牌总线网	ling pai zong xian wang	5
令牌环	ling pai huan	4
令牌环网	ling pai huan wang	2
以图搜图	yi tu sou tu	3
以太网交换机	yi tai wang jiao huan ji	10
以行为为中心	yi xing wei wei zhong xin	6
任务交换	ren wu jiao huan	2
任务分担	ren wu fen dan	6
任务分配	ren wu fen pei	21
任务协调	ren wu xie tiao	1
任务启动	ren wu qi dong	1
任务图	ren wu tu	5
任务处理	ren wu chu li	6
任务控制块	ren wu kong zhi kuai	10
任务描述符	ren wu miao shu fu	6
任务栈	ren wu zhan	12
任务栏	ren wu lan	18
任务框架	ren wu kuang jia	7
任务模型	ren wu mo xing	9
任务池	ren wu chi	8
任务管理	ren wu guan li	13
任务管理器	ren wu guan li qi	8
