# 青简领域词库：IT 与计算机，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
文件传输	wen jian chuan shu	36
文件传输协议	wen jian chuan shu xie yi	11
文件传送	wen jian chuan song	12
文件传送协议	wen jian chuan song xie yi	9
文件保存	wen jian bao cun	2
文件保护	wen jian bao hu	1
文件共享	wen jian gong xiang	28
文件写入	wen jian xie ru	1
文件分享	wen jian fen xiang	1
文件分割	wen jian fen ge	4
文件分段	wen jian fen duan	8
文件分配	wen jian fen pei	2
文件分配表	wen jian fen pei biao	2
文件列表	wen jian lie biao	8
文件创建	wen jian chuang jian	3
文件删除	wen jian shan chu	5
文件加密	wen jian jia mi	4
文件包含	wen jian bao han	22
文件压缩	wen jian ya suo	7
文件句柄	wen jian ju bing	10
文件合并	wen jian he bing	3
文件同步	wen jian tong bu	4
文件名乱码	wen jian ming luan ma	9
文件名扩展	wen jian ming kuo zhan	9
文件地址	wen jian di zhi	13
文件处理	wen jian chu li	4
文件备份	wen jian bei fen	4
文件复制	wen jian fu zhi	3
文件大小	wen jian da xiao	23
文件夹大小	wen jian jia da xiao	11
文件夹操作	wen jian jia cao zuo	9
文件夹遍历	wen jian jia bian li	7
文件子系统	wen jian zi xi tong	1
文件存储	wen jian cun chu	12
文件存储器	wen jian cun chu qi	8
文件存取	wen jian cun qu	11
文件安全	wen jian an quan	1
文件定义	wen jian ding yi	3
文件对比工具	wen jian dui bi gong ju	7
文件对话框	wen jian dui hua kuang	2
文件尺寸	wen jian chi cun	12
文件属性	wen jian shu xing	3
文件恢复	wen jian hui fu	10
文件批量上传	wen jian pi liang shang chuan	7
文件拖拽	wen jian tuo zhuai	10
文件拷贝	wen jian kao bei	3
文件指针	wen jian zhi zhen	6
文件控制	wen jian kong zhi	1
文件控制块	wen jian kong zhi kuai	8
文件描述符	wen jian miao shu fu	10
文件搜索	wen jian sou suo	5
文件操作	wen jian cao zuo	3
文件操作函数	wen jian cao zuo han shu	11
文件操作命令	wen jian cao zuo ming ling	9
文件时间	wen jian shi jian	11
文件服务器	wen jian fu wu qi	17
文件权限	wen jian quan xian	1
文件查找	wen jian cha zhao	2
文件比较工具	wen jian bi jiao gong ju	8
文件流	wen jian liu	1
文件流操作	wen jian liu cao zuo	9
文件浏览器	wen jian liu lan qi	7
文件监控	wen jian jian kong	9
文件目录	wen jian mu lu	1
文件空间	wen jian kong jian	2
文件管理	wen jian guan li	23
文件管理器	wen jian guan li qi	15
文件管理系统	wen jian guan li xi tong	1
文件类型	wen jian lei xing	12
文件系统制作	wen jian xi tong zhi zuo	8
文件系统阶段	wen jian xi tong jie duan	8
文件组织	wen jian zu zhi	11
文件结构	wen jian jie gou	6
文件维护	wen jian wei hu	9
文件编码	wen jian bian ma	1
文件编程	wen jian bian cheng	8
文件解析	wen jian jie xi	1
文件访问	wen jian fang wen	7
文件读写	wen jian du xie	13
文件读取	wen jian du qu	1
文件路径	wen jian lu jing	4
文件路径问题	wen jian lu jing wen ti	7
文件输入输出	wen jian shu ru shu chu	10
文件迁移	wen jian qian yi	8
文件选择	wen jian xuan ze	13
文件遍历	wen jian bian li	1
文件重定向	wen jian chong ding xiang	10
文件锁	wen jian suo	1
文件预览	wen jian yu lan	1
文字处理	wen zi chu li	45
文字居中	wen zi ju zhong	11
文字打印	wen zi da yin	7
文字排版	wen zi pai ban	10
文字滚动	wen zi gun dong	9
文字识别	wen zi shi bie	3
文字转语音	wen zi zhuan yu yin	5
文字颜色	wen zi yan se	5
文本分析	wen ben fen xi	3
文本分类	wen ben fen lei	4
文本分词	wen ben fen ci	8
文本域	wen ben yu	12
文本处理	wen ben chu li	8
文本库	wen ben ku	7
文本挖掘	wen ben wa jue	1
文本数据库	wen ben shu ju ku	8
文本文件	wen ben wen jian	39
文本方法	wen ben fang fa	7
文本替换	wen ben ti huan	12
文本查询	wen ben cha xun	8
文本标签	wen ben biao qian	2
文本框	wen ben kuang	7
文本检索	wen ben jian suo	1
文本比较	wen ben bi jiao	2
文本相似度	wen ben xiang si du	6
文本编写器	wen ben bian xie qi	5
文本编辑	wen ben bian ji	3
文本编辑程序	wen ben bian ji cheng xu	8
文本聚类	wen ben ju lei	9
文本解析	wen ben jie xi	10
文本输入框	wen ben shu ru kuang	12
文本输出	wen ben shu chu	2
文本过滤	wen ben guo lv	9
文档处理	wen dang chu li	3
文档数据库	wen dang shu ju ku	2
文档检索	wen dang jian suo	10
文档模板	wen dang mu ban	10
文档注释	wen dang zhu shi	3
文档流	wen dang liu	12
文档管理	wen dang guan li	6
文档级别	wen dang ji bie	8
文档编制	wen dang bian zhi	1
文档编辑	wen dang bian ji	1
文档翻译	wen dang fan yi	2
文档解析	wen dang jie xi	11
文档边界	wen dang bian jie	5
文献数据库	wen xian shu ju ku	6
文献理解	wen xian li jie	5
文献管理	wen xian guan li	8
文献阅读	wen xian yue du	8
文章理解	wen zhang li jie	3
文语转换	wen yu zhuan huan	5
斐波拉契数列	fei bo la qi shu lie	9
斐波那契	fei bo na qi	31
斐波那契博弈	fei bo na qi bo yi	7
斐波那契数	fei bo na qi shu	5
斐波那契数列	fei bo na qi shu lie	18
斐波那契查找	fei bo na qi cha zhao	8
斜坡函数	xie po han shu	1
斜投影	xie tou ying	4
斜杠	xie gang	48
斜率优化	xie lv you hua	1
断开客户	duan kai ke hu	8
断点下载	duan dian xia zai	11
断点开关	duan dian kai guan	6
断点续传	duan dian xu chuan	3
断点调试	duan dian tiao shi	12
斯坦福公开课	si tan fu gong kai ke	9
斯特林公式	si te lin gong shi	1
斯特林数	si te lin shu	8
新建工作表	xin jian gong zuo biao	6
新建快捷方式	xin jian kuai jie fang shi	6
新建按钮	xin jian an niu	10
新建文本	xin jian wen ben	9
新建文档	xin jian wen dang	4
新建标签	xin jian biao qian	10
新建用户	xin jian yong hu	12
新建窗口	xin jian chuang kou	10
新建索引	xin jian suo yin	9
新建项目	xin jian xiang mu	9
新手教程	xin shou jiao cheng	23
新指令集	xin zhi ling ji	2
新控件	xin kong jian	11
新浪博客	xin lang bo ke	36
新特性	xin te xing	39
新窗口	xin chuang kou	5
新视图	xin shi tu	11
新闻发布系统	xin wen fa bu xi tong	2
新闻客户端	xin wen ke hu duan	26
方向传感器	fang xiang chuan gan qi	1
方向向量	fang xiang xiang liang	1
方向性光源	fang xiang xing guang yuan	7
方向键	fang xiang jian	44
方差分析	fang cha fen xi	8
方形像素	fang xing xiang su	5
方案定制	fang an ding zhi	6
方法内部类	fang fa nei bu lei	10
方法区	fang fa qu	14
方法参数	fang fa can shu	2
方法名	fang fa ming	16
方法多态	fang fa duo tai	7
方法库	fang fa ku	8
方法类	fang fa lei	14
方法综合	fang fa zong he	1
方法调用	fang fa diao yong	3
方法重写	fang fa chong xie	13
方法重载	fang fa chong zai	3
旁路电容	pang lu dian rong	1
旋转动画	xuan zhuan dong hua	2
旋转卡壳	xuan zhuan ka ke	10
旋转变换	xuan zhuan bian huan	1
旋转屏幕	xuan zhuan ping mu	14
旋转数组	xuan zhuan shu zu	10
旋转曲面	xuan zhuan qu mian	3
旋转矩阵	xuan zhuan ju zhen	6
旋转角度	xuan zhuan jiao du	21
无偏估计	wu pian gu ji	12
无关技术	wu guan ji shu	1
无分类	wu fen lei	1
无刷新	wu shua xin	12
无参函数	wu can han shu	10
无参构造函数	wu can gou zao han shu	13
无名管道	wu ming guan dao	10
无向图	wu xiang tu	40
无向网	wu xiang wang	9
无响应	wu xiang ying	24
无密码	wu mi ma	4
无密码登录	wu mi ma deng lu	11
无差错	wu cha cuo	6
无序数组	wu xu shu zu	1
无损分解	wu sun fen jie	1
无损压缩	wu sun ya suo	13
无故障	wu gu zhang	6
无故障运行	wu gu zhang yun xing	7
无法上网	wu fa shang wang	9
无法删除	wu fa shan chu	14
无法加载	wu fa jia zai	10
无法启动	wu fa qi dong	39
无法安装	wu fa an zhuang	35
无法更新	wu fa geng xin	22
无法登录	wu fa deng lu	21
无法登陆	wu fa deng lu	27
无法解析	wu fa jie xi	10
无监督学习	wu jian du xue xi	8
无穷集	wu qiong ji	4
无符号数	wu fu hao shu	3
无符号整数	wu fu hao zheng shu	8
无线发送	wu xian fa song	7
无线数传模块	wu xian shu chuan mo kuai	5
无线模块	wu xian mo kuai	2
无线测试	wu xian ce shi	7
无线网卡	wu xian wang ka	49
无线网卡驱动	wu xian wang ka qu dong	3
无线网络连接	wu xian wang luo lian jie	4
无线调试	wu xian tiao shi	8
无线连接	wu xian lian jie	15
无缝滚动	wu feng gun dong	9
无连接	wu lian jie	9
无连接业务	wu lian jie ye wu	5
无连接模式	wu lian jie mo shi	6
无锁编程	wu suo bian cheng	8
无锁队列	wu suo dui lie	9
无限分类	wu xian fen lei	9
无限极分类	wu xian ji fen lei	7
无限滚动	wu xian gun dong	10
无限级分类	wu xian ji fen lei	8
无限轮播	wu xian lun bo	8
日历控件	ri li kong jian	11
日志分析	ri zhi fen xi	1
日志分析系统	ri zhi fen xi xi tong	8
日志处理	ri zhi chu li	12
日志审计	ri zhi shen ji	8
日志工具	ri zhi gong ju	12
日志打印	ri zhi da yin	12
日志收集	ri zhi shou ji	1
日志文件	ri zhi wen jian	15
日志文件系统	ri zhi wen jian xi tong	6
日志服务器	ri zhi fu wu qi	10
日志框架	ri zhi kuang jia	11
日志监控	ri zhi jian kong	9
日志管理	ri zhi guan li	12
日志系统	ri zhi xi tong	3
日志记录	ri zhi ji lu	10
日志输出	ri zhi shu chu	14
日志配置	ri zhi pei zhi	11
日志采集	ri zhi cai ji	10
日期函数	ri qi han shu	12
日期处理	ri qi chu li	10
日期工具类	ri qi gong ju lei	8
日期控件	ri qi kong jian	11
日期方法	ri qi fang fa	7
日期时间	ri qi shi jian	17
日期格式	ri qi ge shi	6
日期格式化	ri qi ge shi hua	10
日期格式转换	ri qi ge shi zhuan huan	7
日期比较	ri qi bi jiao	6
日期类	ri qi lei	11
日期计算	ri qi ji suan	1
日期记录	ri qi ji lu	1
日期转换	ri qi zhuan huan	1
日期选择	ri qi xuan ze	3
日期选择器	ri qi xuan ze qi	1
时光轴	shi guang zhou	2
时分复用	shi fen fu yong	2
时域响应	shi yu xiang ying	1
时序分析	shi xu fen xi	24
时序图	shi xu tu	4
时序数据库	shi xu shu ju ku	6
时序约束	shi xu yue shu	1
时槽	shi cao	6
时空图	shi kong tu	8
时空权衡	shi kong quan heng	1
时钟偏差	shi zhong pian cha	7
时钟周期	shi zhong zhou qi	42
时钟寄存器	shi zhong ji cun qi	8
时钟脉冲	shi zhong mai chong	10
时钟配置	shi zhong pei zhi	9
时钟驱动器	shi zhong qu dong qi	5
时间函数	shi jian han shu	4
时间分片	shi jian fen pian	10
时间同步	shi jian tong bu	25
时间同步问题	shi jian tong bu wen ti	7
时间处理	shi jian chu li	32
时间复杂性	shi jian fu za xing	1
时间对象	shi jian dui xiang	11
时间局部性	shi jian ju bu xing	2
时间工具类	shi jian gong ju lei	8
时间常数	shi jian chang shu	15
时间序列分析	shi jian xu lie fen xi	11
时间序列模型	shi jian xu lie mo xing	1
时间戳	shi jian chuo	31
时间控件	shi jian kong jian	10
时间插件	shi jian cha jian	7
时间操作	shi jian cao zuo	5
时间日期	shi jian ri qi	9
时间显示	shi jian xian shi	25
时间服务器	shi jian fu wu qi	2
时间查询	shi jian cha xun	11
时间格式	shi jian ge shi	2
时间格式化	shi jian ge shi hua	9
时间格式转换	shi jian ge shi zhuan huan	7
时间片	shi jian pian	14
时间片轮转	shi jian pian lun zhuan	3
时间管理	shi jian guan li	31
时间类	shi jian lei	11
时间类型	shi jian lei xing	12
时间约束	shi jian yue shu	2
时间计算	shi jian ji suan	28
时间设置	shi jian she zhi	15
时间转换	shi jian zhuan huan	6
时间选择器	shi jian xuan ze qi	10
时间重叠	shi jian chong die	11
时隙	shi xi	12
明文攻击	ming wen gong ji	5
明暗处理	ming an chu li	7
易修改性	yi xiu gai xing	5
易失性存储器	yi shi xing cun chu qi	9
易扩展性	yi kuo zhan xing	9
易景地球	yi jing di qiu	6
易用性	yi yong xing	41
易移植性	yi yi zhi xing	6
易管理性	yi guan li xing	8
易维护性	yi wei hu xing	10
易语言	yi yu yan	8
易错点	yi cuo dian	1
星际译王	xing ji yi wang	8
映射关系	ying she guan xi	4
映射函数	ying she han shu	4
映射地址	ying she di zhi	1
映射文件	ying she wen jian	14
映射方式	ying she fang shi	3
映射程序	ying she cheng xu	7
映射规范语言	ying she gui fan yu yan	6
是否被合并	shi fou bei he bing	8
显卡插槽	xian ka cha cao	6
显卡驱动	xian ka qu dong	30
显式接口实现	xian shi jie kou shi xian	7
显式转换	xian shi zhuan huan	2
显示不全	xian shi bu quan	14
显示中文	xian shi zhong wen	3
显示图像	xian shi tu xiang	7
显示图片	xian shi tu pian	6
显示小图标	xian shi xiao tu biao	8
显示延时	xian shi yan shi	5
显示数据通道	xian shi shu ju tong dao	6
显示文件	xian shi wen jian	7
显示方式	xian shi fang shi	21
显示标签列表	xian shi biao qian lie biao	6
显示格式	xian shi ge shi	2
显示桌面	xian shi zhuo mian	4
显示模式	xian shi mo shi	18
显示算法	xian shi suan fa	6
显示终端	xian shi zhong duan	5
显示行号	xian shi hang hao	13
显示设备	xian shi she bei	17
显示转换	xian shi zhuan huan	1
显示选区	xian shi xuan qu	5
显示隐藏	xian shi yin cang	13
晚绑定	wan bang ding	10
普通编程	pu tong bian cheng	9
普通语言学	pu tong yu yan xue	7
普里姆算法	pu li mu suan fa	9
晶体振荡器	jing ti zhen dang qi	2
晶振	jing zhen	4
智慧校园	zhi hui xiao yuan	2
智联招聘	zhi lian zhao pin	28
智能交通	zhi neng jiao tong	17
智能代理	zhi neng dai li	4
智能仪表	zhi neng yi biao	8
智能加速	zhi neng jia su	5
智能家电	zhi neng jia dian	8
智能小车	zhi neng xiao che	8
智能手机市场	zhi neng shou ji shi chang	5
智能指针	zhi neng zhi zhen	3
智能控制	zhi neng kong zhi	22
智能标记	zhi neng biao ji	1
智能检索	zhi neng jian suo	6
智能电脑	zhi neng dian nao	4
智能硬件	zhi neng ying jian	19
智能科学	zhi neng ke xue	9
智能系统	zhi neng xi tong	35
智能终端	zhi neng zhong duan	9
智能计算	zhi neng ji suan	2
智能计算机	zhi neng ji suan ji	5
智能设备	zhi neng she bei	24
智能语言	zhi neng yu yan	1
智能语音	zhi neng yu yin	18
智能路由器	zhi neng lu you qi	1
暂停状态	zan ting zhuang tai	7
暂存区	zan cun qu	4
暴力打表	bao li da biao	9
暴力搜索	bao li sou suo	2
暴力枚举	bao li mei ju	13
暴力模拟	bao li mo ni	10
暴力求解法	bao li qiu jie fa	8
暴力法	bao li fa	1
暴力破解	bao li po jie	13
暴力解法	bao li jie fa	10
暴力解题	bao li jie ti	6
暴搜	bao sou	11
曲线拟合	qu xian ni he	7
曲面分割	qu mian fen ge	6
曲面拟合	qu mian ni he	7
曲面拼接	qu mian pin jie	5
曲面模型	qu mian mo xing	3
曲面造型	qu mian zao xing	1
更改控制	geng gai kong zhi	7
更改硬件	geng gai ying jian	7
更改程序	geng gai cheng xu	10
更新传播	geng xin chuan bo	1
更新异常	geng xin yi chang	10
更新数据	geng xin shu ju	8
更新源	geng xin yuan	1
更新索引	geng xin suo yin	12
更新过程	geng xin guo cheng	10
曼哈顿距离	man ha dun ju li	2
替代密码	ti dai mi ma	7
替代选择	ti dai xuan ze	11
替换字符串	ti huan zi fu chuan	13
替换空格	ti huan kong ge	8
替换策略	ti huan ce lve	9
替换算法	ti huan suan fa	10
最优二叉树	zui you er cha shu	10
最优估计	zui you gu ji	2
最优化	zui you hua	35
最优化方法	zui you hua fang fa	10
最优化算法	zui you hua suan fa	2
最优匹配	zui you pi pei	1
最优归并树	zui you gui bing shu	9
最优性	zui you xing	3
最优控制	zui you kong zhi	41
最优矩阵链乘	zui you ju zhen lian cheng	7
最优算法	zui you suan fa	3
最优编码	zui you bian ma	7
最优解	zui you jie	26
最优路径	zui you lu jing	1
最佳优先搜索	zui jia you xian sou suo	8
最佳实践	zui jia shi jian	41
最佳适配	zui jia shi pei	7
最佳适配法	zui jia shi pei fa	6
最值问题	zui zhi wen ti	1
最坏情况分析	zui huai qing kuang fen xi	7
最大乘积	zui da cheng ji	10
最大二分匹配	zui da er fen pi pei	8
最大似然	zui da si ran	7
最大似然估计	zui da si ran gu ji	11
最大值最小化	zui da zhi zui xiao hua	6
最大公因数	zui da gong yin shu	9
最大公约数	zui da gong yue shu	20
最大化平均值	zui da hua ping jun zhi	5
最大匹配	zui da pi pei	5
最大匹配数	zui da pi pei shu	11
最大团	zui da tuan	5
最大子列和	zui da zi lie he	8
最大子序列	zui da zi xu lie	11
最大子序列和	zui da zi xu lie he	10
最大子数组	zui da zi shu zu	10
最大子数组和	zui da zi shu zu he	9
最大子段和	zui da zi duan he	10
最大子矩形	zui da zi ju xing	7
最大子矩阵	zui da zi ju zhen	10
最大子矩阵和	zui da zi ju zhen he	8
最大字段和	zui da zi duan he	9
最大最小值	zui da zui xiao zhi	2
最大权闭合图	zui da quan bi he tu	9
最大流	zui da liu	14
最大流最小割	zui da liu zui xiao ge	2
最大深度	zui da shen du	26
最大熵	zui da shang	1
最大熵模型	zui da shang mo xing	10
最大独立集	zui da du li ji	19
最大生成树	zui da sheng cheng shu	10
最大连接数	zui da lian jie shu	2
最小二乘	zui xiao er cheng	24
最小二乘法	zui xiao er cheng fa	27
最小公倍数	zui xiao gong bei shu	5
最小割	zui xiao ge	12
最小割树	zui xiao ge shu	6
最小割模型	zui xiao ge mo xing	10
最小圆覆盖	zui xiao yuan fu gai	10
最小堆	zui xiao dui	6
最小宽度	zui xiao kuan du	1
最小支配集	zui xiao zhi pei ji	8
最小权匹配	zui xiao quan pi pei	9
最小树形图	zui xiao shu xing tu	10
最小点覆盖	zui xiao dian fu gai	1
最小特权	zui xiao te quan	2
最小特权原则	zui xiao te quan yuan ze	1
最小环	zui xiao huan	2
最小生成树	zui xiao sheng cheng shu	8
最小编辑距离	zui xiao bian ji ju li	9
最小范围	zui xiao fan wei	2
最小表示法	zui xiao biao shi fa	10
最小费用流	zui xiao fei yong liu	10
最小路径	zui xiao lu jing	11
最小路径覆盖	zui xiao lu jing fu gai	11
最小顶点覆盖	zui xiao ding dian fu gai	4
最少拦截系统	zui shao lan jie xi tong	9
最新资讯	zui xin zi xun	18
最短距离	zui duan ju li	20
最短路	zui duan lu	23
最短路径算法	zui duan lu jing suan fa	1
最短路算法	zui duan lu suan fa	1
最终用户	zui zhong yong hu	47
最近使用	zui jin shi yong	13
最近公共祖先	zui jin gong gong zu xian	2
最近点对	zui jin dian dui	10
最速下降法	zui su xia jiang fa	4
最长公共前缀	zui chang gong gong qian zhui	11
最长公共子串	zui chang gong gong zi chuan	12
最长反链	zui chang fan lian	7
最长回文	zui chang hui wen	10
最长回文串	zui chang hui wen chuan	10
最长回文子串	zui chang hui wen zi chuan	11
最长回文字串	zui chang hui wen zi chuan	8
最长子串	zui chang zi chuan	11
最长子序列	zui chang zi xu lie	11
最长路	zui chang lu	11
最长重复子串	zui chang chong fu zi chuan	9
最长链	zui chang lian	10
最高优先数	zui gao you xian shu	5
最高优先级	zui gao you xian ji	8
有参函数	you can han shu	9
有名管道	you ming guan dao	11
有向图	you xiang tu	41
有向弧	you xiang hu	7
有向无环图	you xiang wu huan tu	10
有向非循环图	you xiang fei xun huan tu	6
有序广播	you xu guang bo	12
有序性	you xu xing	3
有序搜索	you xu sou suo	5
有序数组	you xu shu zu	1
有序映射	you xu ying she	9
有序表	you xu biao	12
有序链表	you xu lian biao	11
有序集合	you xu ji he	1
有损压缩	you sun ya suo	6
有效位	you xiao wei	9
有效字	you xiao zi	8
有效字符	you xiao zi fu	2
有效性检查	you xiao xing jian cha	11
有效数字	you xiao shu zi	11
有效时间	you xiao shi jian	23
有效状态	you xiao zhuang tai	4
有效节点	you xiao jie dian	9
有效请求	you xiao qing qiu	9
有效输入	you xiao shu ru	2
有效过程	you xiao guo cheng	7
有效项	you xiao xiang	6
有界性	you jie xing	7
有监督学习	you jian du xue xi	3
有穷自动机	you qiong zi dong ji	8
有符号数	you fu hao shu	9
有道	you dao	12
有道桌面词典	you dao zhuo mian ci dian	5
有道翻译	you dao fan yi	35
有道词典	you dao ci dian	40
有限元分析	you xian yuan fen xi	3
有限点集	you xian dian ji	6
有限状态	you xian zhuang tai	9
有限状态机	you xian zhuang tai ji	37
有限目标	you xian mu biao	2
有限自动机	you xian zi dong ji	9
服务例程	fu wu li cheng	11
服务列表	fu wu lie biao	1
服务化	fu wu hua	12
服务原语	fu wu yuan yu	8
服务发现	fu wu fa xian	11
服务号	fu wu hao	11
服务器交互	fu wu qi jiao hu	13
服务器优化	fu wu qi you hua	9
服务器备份	fu wu qi bei fen	1
服务器存储	fu wu qi cun chu	2
服务器安全	fu wu qi an quan	3
服务器应用	fu wu qi ying yong	3
服务器开发	fu wu qi kai fa	3
服务器性能	fu wu qi xing neng	2
服务器控件	fu wu qi kong jian	11
服务器搭建	fu wu qi da jian	11
服务器架构	fu wu qi jia gou	6
服务器架设	fu wu qi jia she	1
服务器模型	fu wu qi mo xing	2
服务器测试	fu wu qi ce shi	1
服务器环境	fu wu qi huan jing	2
服务器监控	fu wu qi jian kong	10
服务器端编程	fu wu qi duan bian cheng	11
服务器管理	fu wu qi guan li	2
服务器类	fu wu qi lei	10
服务器维护	fu wu qi wei hu	8
服务器编程	fu wu qi bian cheng	10
服务器网站	fu wu qi wang zhan	8
服务器设置	fu wu qi she zhi	1
服务器设计	fu wu qi she ji	1
服务器软件	fu wu qi ruan jian	5
服务器运维	fu wu qi yun wei	8
服务器部署	fu wu qi bu shu	11
服务器配置	fu wu qi pei zhi	6
服务器问题	fu wu qi wen ti	14
服务器集群	fu wu qi ji qun	4
服务性程序	fu wu xing cheng xu	5
服务接入点	fu wu jie ru dian	8
服务描述语言	fu wu miao shu yu yan	9
服务数据单元	fu wu shu ju dan yuan	7
服务框架	fu wu kuang jia	9
服务治理	fu wu zhi li	10
服务程序	fu wu cheng xu	5
服务窗	fu wu chuang	1
服务端开发	fu wu duan kai fa	11
服务端架构	fu wu duan jia gou	1
服务端编程	fu wu duan bian cheng	10
服务访问点	fu wu fang wen dian	1
服务调用	fu wu diao yong	12
服务进程	fu wu jin cheng	1
服务部署	fu wu bu shu	1
服务队列	fu wu dui lie	9
服务集群	fu wu ji qun	10
朗伯模型	lang bo mo xing	5
期刊会议	qi kan hui yi	8
期间失败	qi jian shi bai	10
木马克星	mu ma ke xing	5
未分类	wei fen lei	18
未响应	wei xiang ying	12
未归类	wei gui lei	3
未整理	wei zheng li	4
未来网络	wei lai wang luo	7
未登录词	wei deng lu ci	9
本地代码	ben di dai ma	3
本地图片	ben di tu pian	13
本地地址	ben di di zhi	22
本地存储	ben di cun chu	6
本地存放地址	ben di cun fang di zhi	5
本地广播	ben di guang bo	4
本地库	ben di ku	1
本地应用	ben di ying yong	5
本地开发	ben di kai fa	3
本地持久化	ben di chi jiu hua	10
本地接口	ben di jie kou	4
本地推送	ben di tui song	10
本地文件	ben di wen jian	15
本地方法	ben di fang fa	3
本地服务	ben di fu wu	6
本地源	ben di yuan	10
本地终端	ben di zhong duan	2
本地缓存	ben di huan cun	3
本地连接	ben di lian jie	1
本地通知	ben di tong zhi	11
本机代码	ben ji dai ma	2
本科毕业设计	ben ke bi ye she ji	2
本类对象	ben lei dui xiang	12
术语翻译	shu yu fan yi	2
朱刘算法	zhu liu suan fa	8
朴素贝叶斯	pu su bei ye si	1
机器人仿真	ji qi ren fang zhen	6
机器人开发	ji qi ren kai fa	4
机器人视觉	ji qi ren shi jue	10
机器发现	ji qi fa xian	6
机器周期	ji qi zhou qi	10
机器学习基石	ji qi xue xi ji shi	2
机器学习技法	ji qi xue xi ji fa	1
机器学习理论	ji qi xue xi li lun	9
机器学习算法	ji qi xue xi suan fa	7
机器指令	ji qi zhi ling	7
机器智能	ji qi zhi neng	15
机器狗	ji qi gou	38
机器码	ji qi ma	27
机器视觉	ji qi shi jue	25
机器视觉算法	ji qi shi jue suan fa	7
机器词典	ji qi ci dian	7
机器语言	ji qi yu yan	33
机器运行	ji qi yun xing	6
机型适配	ji xing shi pei	2
机房收费	ji fang shou fei	9
机房收费系统	ji fang shou fei xi tong	12
机房管理	ji fang guan li	8
机房维护	ji fang wei hu	5
机房重构	ji fang zhong gou	11
机架感知	ji jia gan zhi	9
机械臂	ji xie bi	38
机电一体化	ji dian yi ti hua	31
杀死进程	sha si jin cheng	2
杀毒引擎	sha du yin qing	1
杀软厂商	sha ruan chang shang	5
杀进程	sha jin cheng	2
权值	quan zhi	17
权值矩阵	quan zhi ju zhen	8
权值线段树	quan zhi xian duan shu	9
权函数	quan han shu	7
权威指南	quan wei zhi nan	2
权限修饰符	quan xian xiu shi fu	11
权限分配	quan xian fen pei	1
权限对象	quan xian dui xiang	8
权限控制	quan xian kong zhi	5
权限框架	quan xian kuang jia	9
权限管理	quan xian guan li	15
权限类	quan xian lei	9
权限系统	quan xian xi tong	11
权限设置	quan xian she zhi	14
权限设计	quan xian she ji	10
权限问题	quan xian wen ti	8
李笑来	li xiao lai	23
材料设计	cai liao she ji	18
条件冲突	tiao jian chong tu	6
条件判断	tiao jian pan duan	9
条件变量	tiao jian bian liang	6
条件同步	tiao jian tong bu	7
条件式	tiao jian shi	9
条件控制结构	tiao jian kong zhi jie gou	5
条件断点	tiao jian duan dian	1
条件查询	tiao jian cha xun	13
条件概率	tiao jian gai lv	8
条件编译	tiao jian bian yi	13
条件覆盖	tiao jian fu gai	1
条件语句	tiao jian yu ju	5
条件运算符	tiao jian yun suan fu	4
条件逻辑	tiao jian luo ji	10
条件随机场	tiao jian sui ji chang	1
条码扫描器	tiao ma sao miao qi	7
条码阅读器	tiao ma yue du qi	6
杨氏矩阵	yang shi ju zhen	9
杨辉三角	yang hui san jiao	12
杨辉三角形	yang hui san jiao xing	4
杰出科学家	jie chu ke xue jia	14
松弛法	song chi fa	5
松弛算法	song chi suan fa	6
松散耦合系统	song san ou he xi tong	5
松耦合	song ou he	28
极光推送	ji guang tui song	11
极大似然	ji da si ran	8
极大似然估计	ji da si ran gu ji	9
极客学院	ji ke xue yuan	11
极点配置	ji dian pei zhi	5
极角排序	ji jiao pai xu	10
极路由	ji lu you	12
极速浏览器	ji su liu lan qi	12
极限编程	ji xian bian cheng	1
构件图	gou jian tu	1
构件块	gou jian kuai	10
构件对象	gou jian dui xiang	10
构件库	gou jian ku	8
构件编程	gou jian bian cheng	6
构建工具	gou jian gong ju	7
构架设计	gou jia she ji	8
构造代码块	gou zao dai ma kuai	12
构造几何	gou zao ji he	6
构造器	gou zao qi	7
构造型	gou zao xing	2
构造性证明	gou zao xing zheng ming	1
构造方法	gou zao fang fa	8
构造泛型类型	gou zao fan xing lei xing	5
构造程序	gou zao cheng xu	9
构造算法	gou zao suan fa	10
构造类型	gou zao lei xing	11
析取范式	xi qu fan shi	6
析构	xi gou	22
析构函数	xi gou han shu	24
枚举变量	mei ju bian liang	12
枚举暴力	mei ju bao li	6
枚举法	mei ju fa	11
枚举类	mei ju lei	13
枚举类型	mei ju lei xing	9
枚举进程	mei ju jin cheng	8
架构分析	jia gou fen xi	11
架构师	jia gou shi	26
架构探索	jia gou tan suo	7
架构文档	jia gou wen dang	8
架构方面	jia gou fang mian	2
架构模块	jia gou mo kuai	7
架构模式	jia gou mo shi	7
架构知识	jia gou zhi shi	7
架构类	jia gou lei	9
架构设计	jia gou she ji	19
染色问题	ran se wen ti	8
柔性数组	rou xing shu zu	1
查分约束	cha fen yue shu	7
查找二叉树	cha zhao er cha shu	1
查找字符	cha zhao zi fu	1
查找文件	cha zhao wen jian	1
查找时间	cha zhao shi jian	12
查找替换	cha zhao ti huan	12
