# 青简领域词库：成语，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
山雨欲来风满楼	shan yu yu lai feng man lou	16
山高水远	shan gao shui yuan	23
山高水长	shan gao shui chang	28
山高皇帝远	shan gao huang di yuan	17
山鸣谷应	shan ming gu ying	6
岁寒三友	sui han san you	11
岁寒知松柏	sui han zhi song bai	6
岁月不居	sui yue bu ju	2
岁月峥嵘	sui yue zheng rong	1
岁月蹉跎	sui yue cuo tuo	46
峨冠博带	e guan bo dai	1
崎岖不平	qi qu bu ping	40
崛地而起	jue di er qi	7
巍然屹立	wei ran yi li	11
州官放火	zhou guan fang huo	7
工欲善其事	gong yu shan qi shi	28
左右两难	zuo you liang nan	2
左邻右里	zuo lin you li	5
巧妇难为无米之炊	qiao fu nan wei wu mi zhi chui	30
巨细无遗	ju xi wu yi	9
巫山云雨	wu shan yun yu	11
差之毫厘	cha zhi hao li	9
差之毫厘谬以千里	cha zhi hao li miu yi qian li	5
巴山夜雨	ba shan ye yu	17
巾帼英雄	jin guo ying xiong	36
市井无赖	shi jing wu lai	3
师出有名	shi chu you ming	5
常胜将军	chang sheng jiang jun	16
幕天席地	mu tian xi di	2
干净利索	gan jing li suo	1
干卿何事	gan qing he shi	6
干打雷不下雨	gan da lei bu xia yu	8
干脆利索	gan cui li suo	1
平地一声雷	ping di yi sheng lei	7
平时不烧香	ping shi bu shao xiang	5
平等互惠	ping deng hu hui	7
年幼无知	nian you wu zhi	30
年深月久	nian shen yue jiu	2
年老色衰	nian lao se shuai	2
年轻力壮	nian qing li zhuang	48
年近古稀	nian jin gu xi	2
年近花甲	nian jin hua jia	3
年逾不惑	nian yu bu huo	1
年逾古稀	nian yu gu xi	3
年逾花甲	nian yu hua jia	1
广征博引	guang zheng bo yin	1
广袤无垠	guang mao wu yin	5
庄周梦蝶	zhuang zhou meng die	8
庆父不死	qing fu bu si	5
庐山真面	lu shan zhen mian	7
应付自如	ying fu zi ru	3
应对如流	ying dui ru liu	1
应答如流	ying da ru liu	2
庖丁解牛	pao ding jie niu	4
废话连篇	fei hua lian pian	28
庸庸碌碌	yong yong lu lu	20
开卷有益	kai juan you yi	19
开合自如	kai he zi ru	6
开国元老	kai guo yuan lao	2
开山鼻祖	kai shan bi zu	18
开弓没有回头箭	kai gong mei you hui tou jian	11
开怀畅饮	kai huai chang yin	15
开物成务	kai wu cheng wu	7
开疆拓土	kai jiang tuo tu	13
开疆辟土	kai jiang pi tu	4
开科取士	kai ke qu shi	4
开花结实	kai hua jie shi	2
开路先锋	kai lu xian feng	37
开门七件事	kai men qi jian shi	10
开阔眼界	kai kuo yan jie	23
异香扑鼻	yi xiang pu bi	6
弃之可惜	qi zhi ke xi	47
弃如敝屣	qi ru bi xi	1
弃恶从善	qi e cong shan	7
弃笔从戎	qi bi cong rong	5
弃若敝屣	qi ruo bi xi	2
弄巧反拙	nong qiao fan zhuo	4
弊绝风清	bi jue feng qing	9
引以为憾	yin yi wei han	1
引以为耻	yin yi wei chi	10
引车卖浆	yin che mai jiang	8
弥天大祸	mi tian da huo	1
弦外之意	xian wai zhi yi	2
弹尽援绝	dan jin yuan jue	5
弹指之间	tan zhi zhi jian	3
强中更有强中手	qiang zhong geng you qiang zhong shou	3
强中自有强中手	qiang zhong zi you qiang zhong shou	17
强国富民	qiang guo fu min	2
强奸民意	qiang jian min yi	7
强将手下无弱兵	qiang jiang shou xia wu ruo bing	5
强龙不压地头蛇	qiang long bu ya di tou she	4
归去来兮	gui qu lai xi	23
归根结蒂	gui gen jie di	1
当一天和尚撞一天钟	dang yi tian he shang zhuang yi tian zhong	7
当众出丑	dang zhong chu chou	4
当断不断	dang duan bu duan	45
当替罪羊	dang ti zui yang	3
当耳旁风	dang er pang feng	13
当耳边风	dang er bian feng	13
当面锣对面鼓	dang mian luo dui mian gu	7
形只影单	xing zhi ying dan	2
形容憔悴	xing rong qiao cui	1
形格势禁	xing ge shi jin	6
形迹可疑	xing ji ke yi	21
形销骨立	xing xiao gu li	2
彻底澄清	che di cheng qing	7
待人接物	dai ren jie wu	47
待字闺中	dai zi gui zhong	23
徇情枉法	xun qing wang fa	2
徒劳无益	tu lao wu yi	10
徒有其名	tu you qi ming	3
得失成败	de shi cheng bai	3
得意之作	de yi zhi zuo	16
得意之笔	de yi zhi bi	7
得意之色	de yi zhi se	1
得意门生	de yi men sheng	49
得道多助	de dao duo zhu	4
徘徊不前	pai huai bu qian	7
徘徊观望	pai huai guan wang	7
心中无数	xin zhong wu shu	2
心口不一	xin kou bu yi	47
心如死灰	xin ru si hui	5
心心相通	xin xin xiang tong	6
心怀忐忑	xin huai tan te	1
心急如火	xin ji ru huo	6
心惊胆寒	xin jing dan han	4
心旌摇曳	xin jing yao ye	1
心无挂碍	xin wu gua ai	1
心有余而力不足	xin you yu er li bu zu	3
心比天高	xin bi tian gao	41
心浮气躁	xin fu qi zao	34
心焦如焚	xin jiao ru fen	1
心病还须心药医	xin bing huan xu xin yao yi	9
心神不定	xin shen bu ding	14
心神恍惚	xin shen huang hu	3
心细如发	xin xi ru fa	8
心腹大患	xin fu da huan	10
心醉神迷	xin zui shen mi	18
心高气傲	xin gao qi ao	33
必争之地	bi zheng zhi di	33
必先利其器	bi xian li qi qi	30
必有一失	bi you yi shi	10
必有勇夫	bi you yong fu	2
必有我师	bi you wo shi	2
必有近忧	bi you jin you	10
忍辱偷生	ren ru tou sheng	3
志在千里	zhi zai qian li	35
忘战必危	wang zhan bi wei	2
忙中出错	mang zhong chu cuo	5
忠孝两全	zhong xiao liang quan	3
忠孝节义	zhong xiao jie yi	19
忠肝义胆	zhong gan yi dan	15
忧谗畏讥	you chan wei ji	6
念兹在兹	nian zi zai zi	2
念念不舍	nian nian bu she	5
忸怩作态	niu ni zuo tai	1
忿忿不平	fen fen bu ping	20
怀忧丧志	huai you sang zhi	6
怀璧其罪	huai bi qi zui	5
怒气冲冲	nu qi chong chong	17
怒气冲天	nu qi chong tian	3
怒火冲天	nu huo chong tian	3
怒火攻心	nu huo gong xin	18
怡情养性	yi qing yang xing	8
怡然自乐	yi ran zi le	4
怡然自得	yi ran zi de	46
急不及待	ji bu ji dai	3
急人之困	ji ren zhi kun	6
急急如律令	ji ji ru lv ling	13
急赤白脸	ji chi bai lian	4
性命交关	xing ming jiao guan	6
怨天怨地	yuan tian yuan di	10
怨气冲天	yuan qi chong tian	1
怪力乱神	guai li luan shen	11
恍如梦境	huang ru meng jing	6
恍若隔世	huang ruo ge shi	20
恒河沙数	heng he sha shu	4
恣意妄为	zi yi wang wei	15
恩威并重	en wei bing zhong	5
恩怨分明	en yuan fen ming	5
恭敬不如从命	gong jing bu ru cong ming	39
恭贺新禧	gong he xin xi	32
恶意中伤	e yi zhong shang	43
恶语中伤	e yu zhong shang	12
恶语伤人	e yu shang ren	23
恶语相加	e yu xiang jia	37
悄然无声	qiao ran wu sheng	3
悔之不及	hui zhi bu ji	6
悔之晚矣	hui zhi wan yi	9
悔之莫及	hui zhi mo ji	1
悔恨交加	hui hen jiao jia	1
悔罪自新	hui zui zi xin	5
悠游自在	you you zi zai	3
患难之交	huan nan zhi jiao	5
患难夫妻	huan nan fu qi	7
患难相恤	huan nan xiang xu	5
悬崖峭壁	xuan ya qiao bi	37
悬梁刺股	xuan liang ci gu	14
悲喜交集	bei xi jiao ji	13
悲观厌世	bei guan yan shi	10
情意绵绵	qing yi mian mian	34
情深义重	qing shen yi zhong	24
惊叹不已	jing tan bu yi	14
惊喜交加	jing xi jiao jia	8
惊喜交集	jing xi jiao ji	1
惊喜若狂	jing xi ruo kuang	6
惊慌失色	jing huang shi se	7
惊才绝艳	jing cai jue yan	6
惊疑不定	jing yi bu ding	6
惊诧莫名	jing cha mo ming	8
惊魂不定	jing hun bu ding	1
惊魂未定	jing hun wei ding	47
惟利是图	wei li shi tu	9
惟命是从	wei ming shi cong	2
惟精惟一	wei jing wei yi	8
惠而不费	hui er bu fei	7
惠风和畅	hui feng he chang	14
惶恐不安	huang kong bu an	35
惶惶不可终日	huang huang bu ke zhong ri	4
惶惶不安	huang huang bu an	7
惹人注目	re ren zhu mu	8
愁云惨淡	chou yun can dan	4
愁眉不展	chou mei bu zhan	8
愁眉紧锁	chou mei jin suo	8
愁肠百结	chou chang bai jie	3
意义深长	yi yi shen chang	6
意在沛公	yi zai pei gong	1
愚昧无知	yu mei wu zhi	39
愧不敢当	kui bu gan dang	39
慌不择路	huang bu ze lu	14
慌作一团	huang zuo yi tuan	8
慌张失措	huang zhang shi cuo	2
慎始敬终	shen shi jing zhong	6
慎终如始	shen zhong ru shi	7
慎终追远	shen zhong zhui yuan	6
慎重其事	shen zhong qi shi	2
慢声细语	man sheng xi yu	1
慨当以慷	kai dang yi kang	6
慨然应允	kai ran ying yun	2
慷慨就义	kang kai jiu yi	2
慷慨悲歌	kang kai bei ge	9
慷慨激扬	kang kai ji yang	6
慷慨赴义	kang kai fu yi	6
憎爱分明	zeng ai fen ming	6
憨态可掬	han tai ke ju	25
戎马生涯	rong ma sheng ya	10
成也萧何	cheng ye xiao he	2
成也萧何败也萧何	cheng ye xiao he bai ye xiao he	2
成事不足	cheng shi bu zu	8
成事不足败事有余	cheng shi bu zu bai shi you yu	1
成事在人	cheng shi zai ren	4
成何体统	cheng he ti tong	44
成千成万	cheng qian cheng wan	2
成名成家	cheng ming cheng jia	1
成王败寇	cheng wang bai kou	43
成由勤俭败由奢	cheng you qin jian bai you she	9
成群结伙	cheng qun jie huo	1
成败利钝	cheng bai li dun	1
成败在此一举	cheng bai zai ci yi ju	12
成败得失	cheng bai de shi	6
成败萧何	cheng bai xiao he	7
我为鱼肉	wo wei yu rou	5
我见犹怜	wo jian you lian	28
戒备森严	jie bei sen yan	36
戒急用忍	jie ji yong ren	5
战天斗地	zhan tian dou di	3
战火纷飞	zhan huo fen fei	16
戮力同心	lu li tong xin	2
所答非所问	suo da fei suo wen	12
所费不赀	suo fei bu zi	7
扇枕温衾	shan zhen wen qin	6
手无缚鸡之力	shou wu fu ji zhi li	2
手胼足胝	shou pian zu zhi	6
手脚干净	shou jiao gan jing	6
才华出众	cai hua chu zhong	29
才德兼备	cai de jian bei	3
才情横溢	cai qing heng yi	1
打个照面	da ge zhao mian	10
打入另册	da ru ling ce	8
打开天窗说亮话	da kai tian chuang shuo liang hua	9
打得火热	da de huo re	48
打破常规	da po chang gui	29
打破沙锅问到底	da po sha guo wen dao di	9
打肿脸充胖子	da zhong lian chong pang zi	39
打蛇打七寸	da she da qi cun	3
打铁先得自身硬	da tie xian de zi shen ying	7
打铁趁热	da tie chen re	2
扬名四海	yang ming si hai	6
扬幡招魂	yang fan zhao hun	1
扬清抑浊	yang qing yi zhuo	6
扬清激浊	yang qing ji zhuo	5
扶危救困	fu wei jiu kun	7
扶弱抑强	fu ruo yi qiang	1
扶摇而上	fu yao er shang	7
扼腕叹息	e wan tan xi	5
扼腕长叹	e wan chang tan	2
承欢膝下	cheng huan xi xia	5
抑强扶弱	yi qiang fu ruo	2
抑郁寡欢	yi yu gua huan	1
投机钻营	tou ji zuan ying	11
投鞭断流	tou bian duan liu	7
抖擞精神	dou sou jing shen	4
抚今思昔	fu jin si xi	6
抚掌大笑	fu zhang da xiao	2
报仇雪耻	bao chou xue chi	3
报应不爽	bao ying bu shuang	6
披红戴花	pi hong dai hua	8
抱头大哭	bao tou da ku	8
抱成一团	bao cheng yi tuan	22
抱打不平	bao da bu ping	3
抱薪救火	bao xin jiu huo	1
抽丝剥茧	chou si bo jian	30
抽刀断水	chou dao duan shui	6
拂袖而去	fu xiu er qu	16
担当不起	dan dang bu qi	40
拆东墙补西墙	chai dong qiang bu xi qiang	8
拆东补西	chai dong bu xi	7
拈花一笑	nian hua yi xiao	5
拈花微笑	nian hua wei xiao	1
拉大旗作虎皮	la da qi zuo hu pi	1
拉拉杂杂	la la za za	1
拍板定案	pai ban ding an	10
拍案惊奇	pai an jing qi	16
拒人于千里之外	ju ren yu qian li zhi wai	4
拒人千里之外	ju ren qian li zhi wai	5
拔出萝卜带出泥	ba chu luo bo dai chu ni	1
拔刀相向	ba dao xiang xiang	15
招贤纳士	zhao xian na shi	4
招降纳叛	zhao xiang na pan	2
拣了芝麻丢了西瓜	jian le zhi ma diu le xi gua	1
拨云见日	bo yun jian ri	16
择优录取	ze you lu qu	32
择其善者而从之	ze qi shan zhe er cong zhi	1
择邻而居	ze lin er ju	1
拱手相让	gong shou xiang rang	20
拱手让人	gong shou rang ren	23
拳不离手	quan bu li shou	1
持盈保泰	chi ying bao tai	1
挂免战牌	gua mian zhan pai	1
挂冠求去	gua guan qiu qu	2
挈妇将雏	qie fu jiang chu	6
挖肉补疮	wa rou bu chuang	6
挟天子以令诸侯	xie tian zi yi ling zhu hou	4
挥霍无度	hui huo wu du	28
挨打受气	ai da shou qi	5
挨打受骂	ai da shou ma	6
挨门挨户	ai men ai hu	3
挨门逐户	ai men zhu hu	3
挫骨扬灰	cuo gu yang hui	26
振兴中华	zhen xing zhong hua	19
振振有辞	zhen zhen you ci	2
振臂一呼	zhen bi yi hu	9
捉刀代笔	zhuo dao dai bi	6
捉摸不定	zhuo mo bu ding	30
捏了一把汗	nie le yi ba han	13
损人害己	sun ren hai ji	1
损己利人	sun ji li ren	3
捧腹大笑	peng fu da xiao	21
捷报频传	jie bao pin chuan	2
授业解惑	shou ye jie huo	30
授人以柄	shou ren yi bing	8
授受不亲	shou shou bu qin	6
掎角之势	ji jiao zhi shi	9
排斥异己	pai chi yi ji	2
排除异己	pai chu yi ji	21
探赜索隐	tan ze suo yin	2
接连不断	jie lian bu duan	49
推三推四	tui san tui si	1
推崇备至	tui chong bei zhi	5
推本溯源	tui ben su yuan	6
推而广之	tui er guang zhi	10
掩鼻而过	yan bi er guo	9
掰开揉碎	bai kai rou sui	2
插翅难逃	cha chi nan tao	9
搬弄是非	ban nong shi fei	23
搬石砸脚	ban shi za jiao	1
摇头叹息	yao tou tan xi	10
摇摇摆摆	yao yao bai bai	3
摧眉折腰	cui mei zhe yao	13
摩肩擦踵	mo jian ca zhong	3
撒泼打滚	sa po da gun	1
撒豆成兵	sa dou cheng bing	3
操纵自如	cao zong zi ru	1
擒贼先擒王	qin zei xian qin wang	2
擒贼擒王	qin zei qin wang	6
擦脂抹粉	ca zhi mo fen	3
支吾其词	zhi wu qi ci	1
支支吾吾	zhi zhi wu wu	44
收之桑榆	shou zhi sang yu	11
收回成命	shou hui cheng ming	15
改名易姓	gai ming yi xing	5
改弦易张	gai xian yi zhang	7
改过迁善	gai guo qian shan	10
攻其一点不及其余	gong qi yi dian bu ji qi yu	6
攻其无备	gong qi wu bei	1
攻子之盾	gong zi zhi dun	2
攻心为上	gong xin wei shang	1
放下包袱	fang xia bao fu	30
放下屠刀立地成佛	fang xia tu dao li di cheng fo	32
放之四海而皆准	fang zhi si hai er jie zhun	6
放浪不羁	fang lang bu ji	23
放火烧山	fang huo shao shan	17
放眼世界	fang yan shi jie	15
放纵不羁	fang zong bu ji	31
放长线钓大鱼	fang chang xian diao da yu	26
放马后炮	fang ma hou pao	6
故作高深	gu zuo gao shen	11
故土难离	gu tu nan li	4
故技重演	gu ji chong yan	1
敌众我寡	di zhong wo gua	17
敏而好学	min er hao xue	12
救人一命	jiu ren yi ming	30
救急不救穷	jiu ji bu jiu qiong	17
救民于水火	jiu min yu shui huo	2
救灾恤患	jiu zai xu huan	1
敢作敢当	gan zuo gan dang	42
敢怒不敢言	gan nu bu gan yan	38
敢怒敢言	gan nu gan yan	4
敢怒而不敢言	gan nu er bu gan yan	3
敢想敢说	gan xiang gan shuo	2
敬业乐群	jing ye le qun	4
敬老尊贤	jing lao zun xian	1
敬若神明	jing ruo shen ming	1
敲骨吸髓	qiao gu xi sui	7
整军经武	zheng jun jing wu	3
整旧如新	zheng jiu ru xin	6
敷衍搪塞	fu yan tang se	8
文人学士	wen ren xue shi	4
文以载道	wen yi zai dao	2
文弱书生	wen ruo shu sheng	16
文情并茂	wen qing bing mao	2
文武之道	wen wu zhi dao	1
文武兼备	wen wu jian bei	10
文治武功	wen zhi wu gong	2
文理不通	wen li bu tong	3
文采风流	wen cai feng liu	1
文韬武略	wen tao wu lve	4
斗志昂扬	dou zhi ang yang	26
料峭春寒	liao qiao chun han	1
斜风细雨	xie feng xi yu	2
斩关夺隘	zhan guan duo ai	6
断井颓垣	duan jing tui yuan	1
断线风筝	duan xian feng zheng	5
断绝往来	duan jue wang lai	18
斯斯文文	si si wen wen	22
新人新事	xin ren xin shi	1
新仇旧恨	xin chou jiu hen	11
方便之门	fang bian zhi men	14
方寸之地	fang cun zhi di	3
旁枝末节	pang zhi mo jie	7
旁逸斜出	pang yi xie chu	7
旖旎风光	yi ni feng guang	2
无事生事	wu shi sheng shi	6
无人之地	wu ren zhi di	9
无人之境	wu ren zhi jing	25
无从置喙	wu cong zhi hui	7
无关大局	wu guan da ju	1
无出其右	wu chu qi you	17
无则加勉	wu ze jia mian	24
无可估量	wu ke gu liang	3
无可匹敌	wu ke pi di	10
无可名状	wu ke ming zhuang	1
无可奈何花落去	wu ke nai he hua luo qu	25
无可置喙	wu ke zhi hui	1
无名小卒	wu ming xiao zu	41
无名小辈	wu ming xiao bei	5
无头无尾	wu tou wu wei	4
无始无终	wu shi wu zhong	7
无官一身轻	wu guan yi shen qing	5
无容身之地	wu rong shen zhi di	7
无巧不成书	wu qiao bu cheng shu	28
无影无形	wu ying wu xing	2
无往不利	wu wang bu li	16
无心插柳柳成荫	wu xin cha liu liu cheng yin	9
无所不及	wu suo bu ji	8
无所不晓	wu suo bu xiao	3
无所不有	wu suo bu you	10
无所不通	wu suo bu tong	3
无所忌惮	wu suo ji dan	6
无敌于天下	wu di yu tian xia	2
无源之水	wu yuan zhi shui	1
无源之水无本之木	wu yuan zhi shui wu ben zhi mu	6
无用武之地	wu yong wu zhi di	27
无立足之地	wu li zu zhi di	4
无立锥之地	wu li zhui zhi di	2
无补于事	wu bu yu shi	12
无踪无影	wu zong wu ying	6
无边无垠	wu bian wu yin	6
无远弗届	wu yuan fu jie	7
无迹可寻	wu ji ke xun	17
无风三尺浪	wu feng san chi lang	2
无风起浪	wu feng qi lang	6
日丽风和	ri li feng he	5
日久弥新	ri jiu mi xin	6
日出而作	ri chu er zuo	3
日出而作日入而息	ri chu er zuo ri ru er xi	6
日夜兼程	ri ye jian cheng	10
日思夜盼	ri si ye pan	7
日月无光	ri yue wu guang	1
日月经天	ri yue jing tian	6
日落西山	ri luo xi shan	3
日行千里	ri xing qian li	5
日进斗金	ri jin dou jin	3
旦夕之间	dan xi zhi jian	3
旧事重提	jiu shi chong ti	18
旧地重游	jiu di chong you	20
旧瓶新酒	jiu ping xin jiu	6
旧瓶装新酒	jiu ping zhuang xin jiu	9
旧病复发	jiu bing fu fa	10
旧话重提	jiu hua chong ti	3
早知今日	zao zhi jin ri	1
早知今日何必当初	zao zhi jin ri he bi dang chu	8
旭日东升	xu ri dong sheng	11
旭日初升	xu ri chu sheng	1
时势造英雄	shi shi zao ying xiong	12
时移世易	shi yi shi yi	3
时移势易	shi yi shi yi	3
时运不济	shi yun bu ji	47
旷世奇才	kuang shi qi cai	12
旷古未有	kuang gu wei you	3
昂头挺胸	ang tou ting xiong	3
明修栈道	ming xiu zhan dao	5
明修栈道暗度陈仓	ming xiu zhan dao an du chen cang	3
明升暗降	ming sheng an jiang	4
明察暗访	ming cha an fang	8
明德惟馨	ming de wei xin	2
明心见性	ming xin jian xing	16
明月清风	ming yue qing feng	8
明枪易躲	ming qiang yi duo	6
明枪易躲暗箭难防	ming qiang yi duo an jian nan fang	5
明白如话	ming bai ru hua	6
明眸善睐	ming mou shan lai	5
昏头转向	hun tou zhuan xiang	2
易地而处	yi di er chu	4
星星之火可以燎原	xing xing zhi huo ke yi liao yuan	22
星月交辉	xing yue jiao hui	1
春去秋来	chun qu qiu lai	26
春和景明	chun he jing ming	3
春回大地	chun hui da di	20
春宵一刻值千金	chun xiao yi ke zhi qian jin	42
春满人间	chun man ren jian	8
春生夏长	chun sheng xia zhang	1
春生夏长秋收冬藏	chun sheng xia zhang qiu shou dong cang	1
春色满园	chun se man yuan	1
春花秋月	chun hua qiu yue	16
春蚕到死丝方尽	chun can dao si si fang jin	2
春风浩荡	chun feng hao dang	1
春风雨露	chun feng yu lu	5
是可忍孰不可忍	shi ke ren shu bu ke ren	11
是非之心	shi fei zhi xin	1
是非分明	shi fei fen ming	17
是非得失	shi fei de shi	7
是非自有公论	shi fei zi you gong lun	6
是非颠倒	shi fei dian dao	8
昼伏夜行	zhou fu ye xing	2
昼夜兼程	zhou ye jian cheng	5
显山露水	xian shan lu shui	17
显露头角	xian lu tou jiao	2
晓以大义	xiao yi da yi	9
晓风残月	xiao feng can yue	14
晕晕沉沉	yun yun chen chen	6
晨光熹微	chen guang xi wei	8
晨钟暮鼓	chen zhong mu gu	2
智者千虑	zhi zhe qian lv	15
智者见智	zhi zhe jian zhi	43
暗度陈仓	an du chen cang	14
暗箭伤人	an jian shang ren	6
暗箭难防	an jian nan fang	5
暧昧不明	ai mei bu ming	12
暮色苍茫	mu se cang mang	7
暴涨暴跌	bao zhang bao die	11
暴露目标	bao lu mu biao	16
曲不离口	qu bu li kou	1
曲意迎合	qu yi ying he	1
曲突徙薪	qu tu xi xin	6
替天行道	ti tian xing dao	49
月圆花好	yue yuan hua hao	2
月晕而风	yue yun er feng	6
月朗星稀	yue lang xing xi	8
月朗风清	yue lang feng qing	7
月满则亏	yue man ze kui	6
有一搭没一搭	you yi da mei yi da	18
有其父必有其子	you qi fu bi you qi zi	21
有凤来仪	you feng lai yi	5
有凭有据	you ping you ju	9
有则改之	you ze gai zhi	21
有则改之无则加勉	you ze gai zhi wu ze jia mian	34
有勇无谋	you yong wu mou	9
有勇有谋	you yong you mou	25
有口难言	you kou nan yan	10
有头无尾	you tou wu wei	5
有害无利	you hai wu li	6
有志不在年高	you zhi bu zai nian gao	4
有志之士	you zhi zhi shi	28
有所顾忌	you suo gu ji	25
有条有理	you tiao you li	14
有来无回	you lai wu hui	14
有来有往	you lai you wang	40
有样学样	you yang xue yang	31
有案可查	you an ke cha	1
有案可稽	you an ke ji	2
有百害而无一利	you bai hai er wu yi li	2
有福同享有难同当	you fu tong xiang you nan tong dang	30
有约在先	you yue zai xian	3
有耻且格	you chi qie ge	7
有苦难言	you ku nan yan	35
有负众望	you fu zhong wang	6
有财有势	you cai you shi	1
有贼心没贼胆	you zei xin mei zei dan	38
有过之无不及	you guo zhi wu bu ji	7
有进无退	you jin wu tui	2
有钱有势	you qian you shi	48
有鼻子有眼	you bi zi you yan	17
朋友妻不可欺	peng you qi bu ke qi	18
朝乾夕惕	zhao qian xi ti	6
朝生暮死	zhao sheng mu si	1
朝野上下	chao ye shang xia	6
木牛流马	mu niu liu ma	9
未为不可	wei wei bu ke	2
未定之天	wei ding zhi tian	8
未竟之志	wei jing zhi zhi	5
未能免俗	wei neng mian su	8
本乡本土	ben xiang ben tu	9
本固邦宁	ben gu bang ning	1
本小利薄	ben xiao li bo	7
本性难移	ben xing nan yi	3
本来面目	ben lai mian mu	14
朴素无华	pu su wu hua	3
机不可失时不再来	ji bu ke shi shi bu zai lai	13
朽木不可雕	xiu mu bu ke diao	27
杀人放火	sha ren fang huo	16
杀伐决断	sha fa jue duan	8
杀父之仇	sha fu zhi chou	36
杀鸡儆猴	sha ji jing hou	14
杀鸡焉用牛刀	sha ji yan yong niu dao	6
杀鸡骇猴	sha ji hai hou	7
杂乱无序	za luan wu xu	1
权倾天下	quan qing tian xia	1
权宜之策	quan yi zhi ce	8
李广难封	li guang nan feng	5
杏花春雨	xing hua chun yu	7
杜绝后患	du jue hou huan	3
杜鹃啼血	du juan ti xue	3
杞人之忧	qi ren zhi you	8
束手无措	shu shou wu cuo	3
来势凶猛	lai shi xiong meng	9
来去无踪	lai qu wu zong	9
来去自由	lai qu zi you	36
来回来去	lai hui lai qu	13
来处不易	lai chu bu yi	13
来者不善	lai zhe bu shan	17
来者可追	lai zhe ke zhui	5
来而不往非礼也	lai er bu wang fei li ye	27
杨柳依依	yang liu yi yi	22
杯中之物	bei zhong zhi wu	1
杯觥交错	bei gong jiao cuo	6
杯酒释兵权	bei jiu shi bing quan	3
杳无人烟	yao wu ren yan	5
杳无人迹	yao wu ren ji	3
杳无消息	yao wu xiao xi	6
杳无踪影	yao wu zong ying	2
杳无踪迹	yao wu zong ji	8
极目远望	ji mu yuan wang	1
极目远眺	ji mu yuan tiao	3
极而言之	ji er yan zhi	1
枝节横生	zhi jie heng sheng	6
枭首示众	xiao shou shi zhong	15
枯枝败叶	ku zhi bai ye	7
枯瘦如柴	ku shou ru chai	3
柔情蜜意	rou qing mi yi	10
柔肠百转	rou chang bai zhuan	1
查无实据	cha wu shi ju	15
柳绿花红	liu lv hua hong	2
栉比鳞次	zhi bi lin ci	7
栋梁之才	dong liang zhi cai	13
树大根深	shu da gen shen	29
树欲静而风不止	shu yu jing er feng bu zhi	40
桂子飘香	gui zi piao xiang	1
桃之夭夭	tao zhi yao yao	39
桃李不言	tao li bu yan	8
桃李不言下自成蹊	tao li bu yan xia zi cheng xi	1
桃李遍天下	tao li bian tian xia	1
桃花流水	tao hua liu shui	4
案牍劳形	an du lao xing	3
桑间濮上	sang jian pu shang	6
梅妻鹤子	mei qi he zi	2
梦幻泡影	meng huan pao ying	17
梦笔生花	meng bi sheng hua	6
梨园子弟	li yuan zi di	5
森严壁垒	sen yan bi lei	7
楚河汉界	chu he han jie	20
楼台亭阁	lou tai ting ge	4
榜上无名	bang shang wu ming	10
横冲直闯	heng chong zhi chuang	5
横平竖直	heng ping shu zhi	18
横扫千军	heng sao qian jun	17
横挑鼻子竖挑眼	heng tiao bi zi shu tiao yan	1
横槊赋诗	heng shuo fu shi	2
横行天下	heng xing tian xia	3
欢呼雀跃	huan hu que yue	44
欢呼雷动	huan hu lei dong	6
欲加之罪	yu jia zhi zui	8
欲加之罪何患无辞	yu jia zhi zui he huan wu ci	1
欲扬先抑	yu yang xian yi	21
欲速不达	yu su bu da	1
歃血为盟	sha xue wei meng	32
止于至善	zhi yu zhi shan	8
止戈为武	zhi ge wei wu	2
正心诚意	zheng xin cheng yi	1
正正经经	zheng zheng jing jing	46
正直无私	zheng zhi wu si	6
正经八百	zheng jing ba bai	24
此一时彼一时	ci yi shi bi yi shi	21
此伏彼起	ci fu bi qi	8
此起彼落	ci qi bi luo	17
此风不可长	ci feng bu ke zhang	7
步履矫健	bu lv jiao jian	1
步履艰辛	bu lv jian xin	6
步履蹒跚	bu lv pan shan	23
步步登高	bu bu deng gao	2
步步高升	bu bu gao sheng	15
步调一致	bu diao yi zhi	25
武艺超群	wu yi chao qun	7
死不足惜	si bu zu xi	1
死无葬身之地	si wu zang shen zhi di	5
死而复生	si er fu sheng	46
死而无憾	si er wu han	28
死马当活马医	si ma dang huo ma yi	2
残暴不仁	can bao bu ren	6
残汤剩饭	can tang sheng fan	6
残破不堪	can po bu kan	41
残缺不全	can que bu quan	30
残羹冷炙	can geng leng zhi	9
残羹剩饭	can geng sheng fan	18
残花败柳	can hua bai liu	23
殚精竭力	dan jing jie li	1
殷忧启圣	yin you qi sheng	8
殷鉴不远	yin jian bu yuan	1
殿堂楼阁	dian tang lou ge	6
毁于蚁穴	hui yu yi xue	8
毁誉不一	hui yu bu yi	1
母以子贵	mu yi zi gui	1
母慈子孝	mu ci zi xiao	2
每下愈况	mei xia yu kuang	1
比上不足比下有余	bi shang bu zu bi xia you yu	8
比手画脚	bi shou hua jiao	15
比翼双飞	bi yi shuang fei	47
比肩接踵	bi jian jie zhong	8
比肩而立	bi jian er li	3
毕其功于一役	bi qi gong yu yi yi	1
