# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
冯家妹	feng jia mei	2
冯小	feng xiao	47
冯尔康	feng er kang	2
冯应京	feng ying jing	1
冯庸	feng yong	11
冯延巳	feng yan si	32
冯建章	feng jian zhang	1
冯开	feng kai	5
冯异	feng yi	22
冯弘	feng hong	21
冯德伦	feng de lun	29
冯德英	feng de ying	11
冯惟敏	feng wei min	2
冯成修	feng cheng xiu	2
冯承辉	feng cheng hui	2
冯敏昌	feng min chang	3
冯文炳	feng wen bing	2
冯文蔚	feng wen wei	3
冯春晖	feng chun hui	6
冯晓曦	feng xiao xi	3
冯景兰	feng jing lan	1
冯梦祯	feng meng zhen	4
冯梦龙	feng meng long	35
冯沅君	feng yuan jun	8
冯波	feng bo	5
冯海涛	feng hai tao	6
冯焌光	feng jun guang	2
冯煦	feng xu	8
冯特民	feng te min	4
冯礼	feng li	6
冯简	feng jian	9
冯至	feng zhi	26
冯苏	feng su	4
冯裕	feng yu	3
冯诺伊曼	feng nuo yi man	3
冯跋	feng ba	26
冯钦哉	feng qin zai	13
冯长春	feng chang chun	6
冯集梧	feng ji wu	2
冯雪峰	feng xue feng	40
冯雪松	feng xue song	5
冯雷	feng lei	11
冯骥才	feng ji cai	13
冰川清志	bing chuan qing zhi	7
冷枚	leng mei	4
冷永成	leng yong cheng	6
冼星海	xian xing hai	14
净莲	jing lian	6
凌一	ling yi	6
凌云上	ling yun shang	2
凌勇	ling yong	8
凌叔华	ling shu hua	31
凌岩	ling yan	4
凌广	ling guang	4
凌德	ling de	1
凌必正	ling bi zheng	2
凌曙	ling shu	3
凌濛初	ling meng chu	5
凌纯声	ling chun sheng	5
凌统	ling tong	24
凌震	ling zhen	1
凌霞	ling xia	6
凌青	ling qing	14
凌音	ling yin	4
凌鸿勋	ling hong xun	16
凡尔纳	fan er na	40
凤凰涅	feng huang nie	2
凭神	ping shen	3
凯塞林	kai sai lin	7
凯特尔	kai te er	37
刀美兰	dao mei lan	2
刁包	diao bao	13
刁德一	diao de yi	1
切格瓦拉	qie ge wa la	3
列子	lie zi	15
列科	lie ke	4
刘一含	liu yi han	2
刘一斌	liu yi bin	5
刘万春	liu wan chun	6
刘万永	liu wan yong	8
刘万芳	liu wan fang	3
刘世振	liu shi zhen	4
刘世珩	liu shi heng	3
刘丞	liu cheng	18
刘丽川	liu li chuan	2
刘丽敏	liu li min	6
刘丽梅	liu li mei	6
刘乃仁	liu nai ren	2
刘义庆	liu yi qing	15
刘义符	liu yi fu	16
刘书宏	liu shu hong	12
刘书文	liu shu wen	6
刘乾	liu qian	6
刘于义	liu yu yi	2
刘云华	liu yun hua	6
刘云瀚	liu yun han	2
刘亚力	liu ya li	3
刘亚婷	liu ya ting	4
刘亚平	liu ya ping	2
刘亚楼	liu ya lou	39
刘仁轨	liu ren gui	18
刘仕伟	liu shi wei	3
刘仙洲	liu xian zhou	5
刘仪	liu yi	6
刘仪伟	liu yi wei	9
刘仲仁	liu zhong ren	2
刘仲甫	liu zhong fu	2
刘伯坚	liu bo jian	18
刘体仁	liu ti ren	11
刘体智	liu ti zhi	4
刘侗	liu tong	4
刘保	liu bao	49
刘健群	liu jian qun	6
刘元举	liu yuan ju	3
刘兆辉	liu zhao hui	5
刘先	liu xian	31
刘光大	liu guang da	7
刘光弟	liu guang di	2
刘光泗	liu guang si	2
刘光照	liu guang zhao	3
刘光第	liu guang di	10
刘光远	liu guang yuan	2
刘克庄	liu ke zhuang	7
刘冠翔	liu guan xiang	2
刘冬	liu dong	19
刘准	liu zhun	12
刘凤诰	liu feng gao	3
刘剑青	liu jian qing	3
刘力杨	liu li yang	2
刘力生	liu li sheng	6
刘勇祥	liu yong xiang	4
刘勋	liu xun	46
刘勰	liu xie	16
刘半农	liu ban nong	14
刘华清	liu hua qing	41
刘协	liu xie	13
刘博平	liu bo ping	4
刘原	liu yuan	15
刘合	liu he	3
刘向	liu xiang	49
刘君	liu jun	47
刘启光	liu qi guang	4
刘品言	liu pin yan	17
刘喜海	liu xi hai	3
刘嗣绾	liu si wan	1
刘嘉树	liu jia shu	3
刘嘉颖	liu jia ying	2
刘国昌	liu guo chang	9
刘国正	liu guo zheng	23
刘国用	liu guo yong	4
刘国轩	liu guo xuan	29
刘国钧	liu guo jun	12
刘基	liu ji	26
刘墉	liu yong	31
刘士毅	liu shi yi	20
刘声木	liu sheng mu	1
刘复之	liu fu zhi	8
刘复基	liu fu ji	8
刘大白	liu da bai	4
刘大钧	liu da jun	7
刘天华	liu tian hua	10
刘天和	liu tian he	3
刘天民	liu tian min	7
刘天真	liu tian zhen	1
刘奭	liu shi	18
刘威葳	liu wei wei	5
刘娜	liu na	15
刘婴	liu ying	3
刘子业	liu zi ye	38
刘子扬	liu zi yang	4
刘孜	liu zi	6
刘学洵	liu xue xun	3
刘守卫	liu shou wei	3
刘安祺	liu an qi	17
刘宏君	liu hong jun	2
刘宗周	liu zong zhou	29
刘宜良	liu yi liang	8
刘宝全	liu bao quan	3
刘宝林	liu bao lin	3
刘宝楠	liu bao nan	3
刘实	liu shi	5
刘宠	liu chong	19
刘家秀	liu jia xiu	1
刘家麒	liu jia qi	1
刘容	liu rong	17
刘容嘉	liu rong jia	8
刘寅生	liu yin sheng	3
刘寔	liu shi	1
刘封	liu feng	10
刘小光	liu xiao guang	9
刘尔炘	liu er xin	3
刘尧诲	liu yao hui	3
刘履	liu lv	2
刘岑	liu cen	5
刘岩	liu yan	38
刘岱	liu dai	23
刘崇远	liu chong yuan	3
刘崧	liu song	4
刘巴	liu ba	3
刘师培	liu shi pei	16
