# 青简领域词库：历史人物，由 qingjian-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
杨名时	yang ming shi	3
杨向奎	yang xiang kui	2
杨哲宜	yang zhe yi	1
杨嘉祚	yang jia zuo	3
杨国强	yang guo qiang	11
杨国忠	yang guo zhong	39
杨国梁	yang guo liang	13
杨士林	yang shi lin	3
杨士海	yang shi hai	5
杨大明	yang da ming	1
杨天明	yang tian ming	7
杨天民	yang tian min	4
杨天骥	yang tian ji	2
杨奇清	yang qi qing	14
杨奉	yang feng	25
杨威	yang wei	34
杨娟	yang juan	3
杨婷	yang ting	8
杨子姗	yang zi shan	26
杨学涛	yang xue tao	6
杨守愚	yang shou yu	8
杨守敬	yang shou jing	26
杨宏胜	yang hong sheng	5
杨宏道	yang hong dao	3
杨宗稷	yang zong ji	20
杨宣	yang xuan	20
杨小乐	yang xiao le	1
杨小楼	yang xiao lou	11
杨小黎	yang xiao li	26
杨尚文	yang shang wen	1
杨巍	yang wei	5
杨巨源	yang ju yuan	28
杨平	yang ping	25
杨应奎	yang ying kui	2
杨应春	yang ying chun	1
杨庚	yang geng	10
杨度	yang du	17
杨庶堪	yang shu kan	30
杨延昭	yang yan zhao	7
杨廷宝	yang ting bao	15
杨开慧	yang kai hui	39
杨彪	yang biao	12
杨彬	yang bin	25
杨思圣	yang si sheng	2
杨思敏	yang si min	7
杨恢	yang hui	2
杨恩寿	yang en shou	1
杨恭如	yang gong ru	10
杨恺	yang kai	6
杨惟义	yang wei yi	3
杨惠珊	yang hui shan	3
杨慧林	yang hui lin	6
杨扬	yang yang	14
杨振宁	yang zhen ning	34
杨振鸿	yang zhen hong	19
杨挺伟	yang ting wei	2
杨文干	yang wen gan	12
杨文意	yang wen yi	1
杨文骢	yang wen cong	4
杨文魁	yang wen kui	1
杨时乔	yang shi qiao	6
杨昂	yang ang	6
杨明哲	yang ming zhe	4
杨昱	yang yu	19
杨晋	yang jin	21
杨晋华	yang jin hua	2
杨晓明	yang xiao ming	10
杨晖	yang hui	4
杨晦	yang hui	1
杨朔	yang shuo	2
杨朝英	yang chao ying	1
杨本	yang ben	18
杨朱	yang zhu	6
杨村彬	yang cun bin	2
杨果	yang guo	4
杨枢	yang shu	17
杨柏	yang bai	5
杨柯	yang ke	3
杨栋	yang dong	3
杨树达	yang shu da	8
杨根思	yang gen si	10
杨桓	yang huan	6
杨棨	yang qi	6
杨欣	yang xin	29
杨武之	yang wu zhi	3
杨毅	yang yi	43
杨永年	yang yong nian	3
杨永明	yang yong ming	32
杨永衍	yang yong yan	3
杨沂孙	yang yi sun	3
杨沛	yang pei	7
杨沫	yang mo	6
杨泗洪	yang si hong	2
杨洪	yang hong	44
杨济	yang ji	12
杨海峰	yang hai feng	9
杨海鹰	yang hai ying	6
杨淇	yang qi	16
杨淑华	yang shu hua	10
杨深秀	yang shen xiu	4
杨清顺	yang qing shun	1
杨溥	yang pu	47
杨潮	yang chao	29
杨澄	yang cheng	38
杨澜	yang lan	26
杨炎	yang yan	34
杨炯	yang jiong	19
杨爽	yang shuang	7
杨玉和	yang yu he	5
杨玉明	yang yu ming	2
杨琛	yang chen	4
杨琦	yang qi	20
杨琴	yang qin	9
杨瑀	yang yu	1
杨瑞云	yang rui yun	2
杨璇	yang xuan	6
杨瓒	yang zan	15
杨白冰	yang bai bing	4
杨石先	yang shi xian	6
杨磊	yang lei	27
杨秀峰	yang xiu feng	23
杨秀川	yang xiu chuan	3
杨秀清	yang xiu qing	24
杨笃	yang du	3
杨笃生	yang du sheng	1
杨紫云	yang zi yun	2
杨绍文	yang shao wen	4
杨继业	yang ji ye	4
杨继昌	yang ji chang	14
杨继盛	yang ji sheng	36
杨维桢	yang wei zhen	2
杨综	yang zong	9
杨缵绪	yang zuan xu	14
杨翰	yang han	9
杨联升	yang lian sheng	3
杨臣刚	yang chen gang	3
杨致和	yang zhi he	1
杨致远	yang zhi yuan	9
杨芳灿	yang fang can	2
杨若兮	yang ruo xi	2
杨虎山	yang hu shan	4
杨讷	yang ne	3
杨谦	yang qian	8
杨赓笙	yang geng sheng	1
杨采妮	yang cai ni	27
杨重远	yang zhong yuan	1
杨钟羲	yang zhong xi	32
杨钫涵	yang fang han	3
杨铎	yang duo	2
杨铨	yang quan	9
杨锋	yang feng	11
杨锐	yang rui	30
杨锡绂	yang xi fu	1
杨锦麟	yang jin lin	1
杨锴	yang kai	5
杨镐	yang hao	18
杨险峰	yang xian feng	4
杨陵	yang ling	14
杨雅筑	yang ya zhu	3
杨雍建	yang yong jian	3
杨霁云	yang ji yun	3
杨静仁	yang jing ren	20
杨韵	yang yun	4
杨颐	yang yi	1
杨鸿玺	yang hong xi	4
杭世骏	hang shi jun	3
杰克伦敦	jie ke lun dun	2
杵臼	chu jiu	24
松下奈绪	song xia nai xu	13
松任谷由实	song ren gu you shi	40
松坂庆子	song ban qing zi	16
松尾铃木	song wei ling mu	3
松山健一	song shan jian yi	1
松山千春	song shan qian chun	3
松岛枫	song dao feng	4
松岛菜菜子	song dao cai cai zi	2
松平健	song ping jian	12
松年	song nian	8
松本友	song ben you	3
松本大	song ben da	7
松本明子	song ben ming zi	4
松本晃彦	song ben huang yan	2
松本梨香	song ben li xiang	16
松本润	song ben run	20
松本零士	song ben ling shi	14
松浦亚弥	song pu ya mi	12
松田圣子	song tian sheng zi	32
松田翔太	song tian xiang tai	8
松田龙平	song tian long ping	37
松赞干布	song zan gan bu	36
松重丰	song zhong feng	17
松隆子	song long zi	29
松雪	song xue	25
松雪泰子	song xue tai zi	13
板垣退助	ban yuan tui zhu	11
林为洲	lin wei zhou	8
林之夏	lin zhi xia	3
林云铭	lin yun ming	2
林伯桐	lin bo tong	1
林佩琴	lin pei qin	3
林佳慧	lin jia hui	6
林佶	lin ji	1
林侗	lin tong	2
林依轮	lin yi lun	7
林俊宪	lin jun xian	17
林保怡	lin bao yi	49
林兆华	lin zhao hua	2
林凤华	lin feng hua	3
林凤娇	lin feng jiao	2
林凤祥	lin feng xiang	9
林勇	lin yong	14
林原惠美	lin yuan hui mei	1
林又立	lin you li	3
林君桦	lin jun hua	2
林启桢	lin qi zhen	2
林嘉欣	lin jia xin	22
林国桢	lin guo zhen	6
林圣贤	lin sheng xian	3
林圭	lin gui	8
林基路	lin ji lu	9
林奴儿	lin nu er	2
林子冲	lin zi chong	2
林宏敏	lin hong min	2
林宗庆	lin zong qing	2
林寿图	lin shou tu	12
林少华	lin shao hua	3
林少猫	lin shao mao	9
林尧英	lin yao ying	2
林尹民	lin yin min	4
林岫	lin xiu	1
林巧稚	lin qiao zhi	9
林希逸	lin xi yi	1
林幼春	lin you chun	1
林广发	lin guang fa	2
林庚白	lin geng bai	31
林建宏	lin jian hong	4
林彦峰	lin yan feng	1
林彬	lin bin	47
林徽因	lin hui yin	49
林志杰	lin zhi jie	8
林思进	lin si jin	3
林散之	lin san zhi	1
林文俊	lin wen jun	2
林文卿	lin wen qing	4
林文察	lin wen cha	14
林文英	lin wen ying	4
林旭	lin xu	33
林时	lin shi	8
林明军	lin ming jun	3
林春山	lin chun shan	4
林晓峰	lin xiao feng	34
林有麟	lin you lin	2
林朝华	lin chao hua	2
林朝崧	lin chao song	7
林朝栋	lin chao dong	6
林枝春	lin zhi chun	1
林柏生	lin bai sheng	11
林模	lin mo	2
林永升	lin yong sheng	6
林永裕	lin yong yu	4
林泉生	lin quan sheng	3
林泳	lin yong	7
林海音	lin hai yin	12
林清玄	lin qing xuan	10
林湘萍	lin xiang ping	8
林瀚	lin han	7
林熊祥	lin xiong xiang	4
林熙蕾	lin xi lei	2
林献堂	lin xian tang	40
林獬	lin xie	6
林珊珊	lin shan shan	12
林琼	lin qiong	10
林申	lin shen	11
林白水	lin bai shui	3
林直勉	lin zhi mian	2
林祖密	lin zu mi	6
林祥谦	lin xiang qian	21
林秀贞	lin xiu zhen	9
林立果	lin li guo	4
林竹	lin zhu	4
林纪	lin ji	16
林纾	lin shu	15
林维源	lin wei yuan	3
林美惠	lin mei hui	1
林育南	lin yu nan	31
林育容	lin yu rong	2
林育英	lin yu ying	8
林艺	lin yi	17
林节	lin jie	3
林英灿	lin ying can	2
林莉	lin li	9
林蒲封	lin pu feng	3
林蓝	lin lan	1
林蔚	lin wei	20
林虑	lin lv	24
林衡	lin heng	25
林觉民	lin jue min	9
林语堂	lin yu tang	29
林进春	lin jin chun	1
林逋	lin bu	4
林野	lin ye	31
林针	lin zhen	4
林钧	lin jun	43
林韦君	lin wei jun	5
林顶立	lin ding li	1
林魁	lin kui	2
林鹤年	lin he nian	7
林黛	lin dai	14
林龙	lin long	7
枚乘	mei cheng	17
果戈理	guo ge li	10
柄本明	bing ben ming	12
柏人	bai ren	49
柏原崇	bai yuan chong	18
柏原收史	bai yuan shou shi	3
柏景伟	bai jing wei	2
柏杨	bai yang	35
柏谦	bai qian	1
柏辉章	bai hui zhang	10
柏邦妮	bai bang ni	3
柔石	rou shi	17
柚木提娜	you mu ti na	2
查升	zha sheng	1
查可欣	zha ke xin	4
查嗣瑮	zha si li	1
查士标	zha shi biao	1
查小欣	zha xiao xin	9
查旭	cha xu	3
查理大帝	cha li da di	43
查礼	cha li	4
柯云路	ke yun lu	1
柯以敏	ke yi min	15
柯以柔	ke yi rou	2
柯俊雄	ke jun xiong	8
柯劭忞	ke shao min	8
柯受良	ke shou liang	14
柯奇士	ke qi shi	3
柯岩	ke yan	23
柯平	ke ping	5
柯怡	ke yi	5
柯有伦	ke you lun	28
柯灵	ke ling	3
柯琴	ke qin	3
柯罗连科	ke luo lian ke	27
柯蓝	ke lan	17
柯赐海	ke ci hai	6
柯铁	ke tie	26
柳下惠	liu xia hui	5
柳云龙	liu yun long	22
柳亚子	liu ya zi	24
柳信美	liu xin mei	3
柳公权	liu gong quan	13
柳大华	liu da hua	1
柳宗元	liu zong yuan	40
柳开	liu kai	2
柳敏	liu min	4
柳时元	liu shi yuan	4
柳比西奇	liu bi xi qi	9
柳永	liu yong	23
柳真	liu zhen	5
柳诒徵	liu yi zhi	5
柳贯	liu guan	4
柳隐	liu yin	2
柴宗训	chai zong xun	5
柴崎幸	chai qi xing	31
柴桑	chai sang	27
柴绍炳	chai shao bing	2
柴进	chai jin	8
柴门文	chai men wen	5
柿原彻也	shi yuan che ye	24
树木希林	shu mu xi lin	29
栗原小卷	li yuan xiao juan	1
栗原惠	li yuan hui	1
栗山千明	li shan qian ming	16
栗毓美	li yu mei	4
根岸季衣	gen an ji yi	6
根本博	gen ben bo	2
格列奇科	ge lie qi ke	14
格尔凡德	ge er fan de	1
格拉斯曼	ge la si man	32
格拉肖	ge la xiao	8
格里森姆	ge li sen mu	3
栾斌	luan bin	4
栾璞	luan pu	2
桂永清	gui yong qing	23
桂王	gui wang	21
桂良	gui liang	24
桂萼	gui e	26
桂衡	gui heng	2
桂馥	gui fu	5
桃井晴子	tao jing qing zi	16
桃井望	tao jing wang	1
桃井薰	tao jing xun	10
桃城武	tao cheng wu	3
桃香	tao xiang	48
桐原亮司	tong yuan liang si	2
桐谷美玲	tong gu mei ling	19
桑兰	sang lan	22
桑地诺	sang di nuo	24
桑弧	sang hu	1
桑悦	sang yue	4
桑戴克	sang dai ke	2
桑维翰	sang wei han	23
桑门	sang men	2
桑雪	sang xue	6
桓彝	huan yi	6
桓范	huan fan	2
桓谭	huan tan	6
桓阶	huan jie	4
桥口隆志	qiao kou long zhi	2
桥本丽香	qiao ben li xiang	3
桥本昌二	qiao ben chang er	1
桥本爱	qiao ben ai	32
桥本雄二郎	qiao ben xiong er lang	2
梁乃鹏	liang nai peng	8
梁九图	liang jiu tu	3
梁伟棠	liang wei tang	4
梁佳	liang jia	7
梁储	liang chu	3
梁兴初	liang xing chu	27
梁刚	liang gang	7
梁华盛	liang hua sheng	5
梁发芾	liang fa fu	7
梁周翰	liang zhou han	1
梁国治	liang guo zhi	2
梁士诒	liang shi yi	35
梁宗岱	liang zong dai	6
梁实秋	liang shi qiu	36
梁宰豪	liang zai hao	3
梁宽	liang kuan	16
梁寅	liang yin	3
梁寒操	liang han cao	20
梁小民	liang xiao min	8
梁希	liang xi	15
梁希贤	liang xi xian	2
梁序昭	liang xu zhao	2
梁廷楠	liang ting nan	3
梁思礼	liang si li	8
梁文博	liang wen bo	6
梁文斌	liang wen bin	3
梁文道	liang wen dao	30
梁斌	liang bin	10
梁晓声	liang xiao sheng	9
梁枢	liang shu	3
梁柏台	liang bai tai	2
梁楷	liang kai	11
梁永斌	liang yong bin	6
梁洛施	liang luo shi	12
梁洪	liang hong	14
梁淑贞	liang shu zhen	1
梁清标	liang qing biao	1
梁熙	liang xi	43
梁玉珍	liang yu zhen	5
梁玉绳	liang yu sheng	1
梁琦	liang qi	2
梁瑛	liang ying	6
梁璐	liang lu	3
梁甫	liang fu	12
梁立柱	liang li zhu	1
梁章钜	liang zhang ju	8
梁紫	liang zi	15
梁红玉	liang hong yu	6
梁绍壬	liang shao ren	4
梁群	liang qun	22
梁羽生	liang yu sheng	43
梁耀汉	liang yao han	1
梁芷珊	liang zhi shan	4
梁蔼如	liang ai ru	3
梁诗正	liang shi zheng	1
梁诚	liang cheng	6
梁邹	liang zou	38
梁靖琪	liang jing qi	7
梁静	liang jing	32
梁鹤年	liang he nian	8
梁麟	liang lin	1
梁鼎芬	liang ding fen	9
梅启照	mei qi zhao	1
梅哲	mei zhe	4
梅婷	mei ting	43
梅宫安娜	mei gong an na	2
梅尧臣	mei yao chen	7
梅巧龄	mei qiao ling	2
梅希文	mei xi wen	4
梅成栋	mei cheng dong	2
梅文鼎	mei wen ding	9
梅洁	mei jie	1
梅清	mei qing	3
梅瑴成	mei jue cheng	2
梅田彩佳	mei tian cai jia	28
梅益	mei yi	4
梅英杰	mei ying jie	2
梅葆玖	mei bao jiu	5
梅诺蒂	mei nuo di	5
梅贻琦	mei yi qi	20
梅达沃	mei da wo	1
梅阿查	mei a cha	1
梅雨田	mei yu tian	4
梅鼎祚	mei ding zuo	1
梦麟	meng lin	34
梵隆	fan long	3
梶浦由记	wei pu you ji	27
棉棉	mian mian	27
棋哥	qi ge	12
棒球英豪	bang qiu ying hao	13
森久保祥太郎	sen jiu bao xiang tai lang	15
森光子	sen guang zi	7
森山未来	sen shan wei lai	10
森本龙太郎	sen ben long tai lang	1
森村诚一	sen cun cheng yi	16
森次晃嗣	sen ci huang si	11
森理世	sen li shi	3
森田美位子	sen tian mei wei zi	1
森田芳光	sen tian fang guang	16
森高千里	sen gao qian li	30
植村花菜	zhi cun hua cai	3
椎名桔平	zhui ming ju ping	11
楚共王	chu gong wang	27
楚威王	chu wei wang	5
楚宣王	chu xuan wang	13
楚平王	chu ping wang	45
楚幽王	chu you wang	3
楚庄王	chu zhuang wang	47
楚康王	chu kang wang	14
楚怀王	chu huai wang	43
楚悼王	chu dao wang	12
楚惠王	chu hui wang	7
楚成王	chu cheng wang	19
楚文王	chu wen wang	11
楚昭王	chu zhao wang	26
楚武王	chu wu wang	7
楚灵王	chu ling wang	37
楚穆王	chu mu wang	12
楚简王	chu jian wang	2
楚考烈王	chu kao lie wang	7
楚肃王	chu su wang	3
楚顷襄王	chu qing xiang wang	10
楠桂	nan gui	2
楼烦	lou fan	27
楼玄	lou xuan	4
榎本武扬	jia ben wu yang	16
槐里	huai li	25
槙原敬之	dian yuan jing zhi	15
樊增祥	fan zeng xiang	7
樊建	fan jian	26
樊彬	fan bin	4
樊志松	fan zhi song	3
樊春晖	fan chun hui	2
樊梨花	fan li hua	19
樊粹庭	fan cui ting	3
樊能	fan neng	3
樊钟秀	fan zhong xiu	22
樗里疾	chu li ji	7
横山裕	heng shan yu	17
樱井幸子	ying jing xing zi	1
樱井翔	ying jing xiang	47
樱井莉亚	ying jing li ya	2
樱庭奈奈美	ying ting nai nai mei	12
樱桃子	ying tao zi	29
橘未稀	ju wei xi	2
檀自新	tan zi xin	1
欧几里德	ou ji li de	38
欧普拉	ou pu la	15
欧汉声	ou han sheng	21
欧阳予倩	ou yang yu qian	20
欧阳勋	ou yang xun	1
欧阳奋强	ou yang fen qiang	6
欧阳婵娟	ou yang chan juan	2
欧阳山	ou yang shan	5
欧阳峰	ou yang feng	2
欧阳章	ou yang zhang	1
欧阳询	ou yang xun	32
欧阳贞	ou yang zhen	3
欧阳钦	ou yang qin	10
欧阳静茹	ou yang jing ru	3
欧震	ou zhen	3
止中	zhi zhong	3
步阐	bu chan	10
步非烟	bu fei yan	1
武丁	wu ding	31
武三思	wu san si	31
武乙	wu yi	1
武云	wu yun	8
武井咲	wu jing xiao	32
武亿	wu yi	1
武伯英	wu bo ying	2
武兹	wu zi	10
武内英树	wu nei ying shu	1
武卫强	wu wei qiang	5
武原	wu yuan	29
武后	wu hou	44
武士敏	wu shi min	2
武安国	wu an guo	4
武宫正树	wu gong zheng shu	8
武庭麟	wu ting lin	8
武曌	wu zhao	4
武泉	wu quan	4
武田铁矢	wu tian tie shi	12
武肃王	wu su wang	21
武藤兰	wu teng lan	3
武藤美幸	wu teng mei xing	2
武衡	wu heng	11
武训	wu xun	18
武都郡	wu du jun	26
武陵郡	wu ling jun	33
段业	duan ye	8
段伯宇	duan bo yu	1
段光清	duan guang qing	5
段兴智	duan xing zhi	2
段坚	duan jian	3
段大章	duan da zhang	2
段婷	duan ting	6
段嵘	duan rong	2
段德昌	duan de chang	11
段成式	duan cheng shi	2
段智兴	duan zhi xing	6
段暄	duan xuan	8
段玉裁	duan yu cai	12
段珪	duan gui	17
段琦	duan qi	4
段芝贵	duan zhi gui	24
段誉	duan yu	37
段随	duan sui	4
段颎	duan jiong	19
殷兆镛	yin zhao yong	3
殷勇	yin yong	10
殷化行	yin hua xing	2
殷善	yin shan	1
殷士儋	yin shi dan	2
殷奎	yin kui	1
殷悦	yin yue	2
殷桃	yin tao	21
殷海光	yin hai guang	16
殷海洁	yin hai jie	2
殷纯	yin chun	2
殷罡	yin gang	1
殷震	yin zhen	6
比嘉爱未	bi jia ai wei	10
比尔盖茨	bi er gai ci	12
比干	bi gan	4
比拉尔多	bi la er duo	1
毕升	bi sheng	8
毕慧	bi hui	16
毕昇	bi sheng	2
毕星海	bi xing hai	2
毕本	bi ben	2
毕涵	bi han	4
毕淑敏	bi shu min	8
毕然	bi ran	4
毕熙东	bi xi dong	5
毕玉玺	bi yu xi	6
毕琛	bi chen	3
毕磊	bi lei	7
毕锐	bi rui	1
毛人凤	mao ren feng	33
毛依罕	mao yi han	1
毛利元就	mao li yuan jiu	21
毛利辉元	mao li hui yuan	14
毛子水	mao zi shui	8
毛宁	mao ning	29
毛岱钧	mao dai jun	3
毛岸英	mao an ying	23
毛志成	mao zhi cheng	5
毛怀	mao huai	1
毛戈平	mao ge ping	5
毛扆	mao yi	1
毛承基	mao cheng ji	2
毛昱衡	mao yu heng	3
毛晋	mao jin	14
毛森	mao sen	5
毛江森	mao jiang sen	1
毛润之	mao run zhi	1
毛澄	mao cheng	7
毛玠	mao jie	5
毛瑞斯莫	mao rui si mo	5
毛纪	mao ji	1
毛良	mao liang	4
毛遂	mao sui	10
毛阿敏	mao a min	17
毛际可	mao ji ke	2
毛鸿宾	mao hong bin	1
水华	shui hua	21
水原希子	shui yuan xi zi	13
水均益	shui jun yi	14
水岛宏	shui dao hong	3
水岛裕	shui dao yu	11
水户黄门	shui hu huang men	32
水木一郎	shui mu yi lang	15
水木茂	shui mu mao	18
水菜丽	shui cai li	4
水谷丰	shui gu feng	19
水野亚美	shui ye ya mei	4
水野真纪	shui ye zhen ji	2
水野美纪	shui ye mei ji	12
永井大	yong jing da	5
永作博美	yong zuo bo mei	5
永山绚斗	yong shan xuan dou	4
永山耕三	yong shan geng san	4
永昌郡	yong chang jun	23
永濑正敏	yong lai zheng min	13
永珊	yong shan	4
永琴	yong qin	1
永穆	yong mu	4
汉中郡	han zhong jun	34
汉光武帝刘秀	han guang wu di liu xiu	20
汉冲帝	han chong di	3
汉安	han an	16
汉少帝	han shao di	5
汉惠帝	han hui di	20
汉文帝刘恒	han wen di liu heng	3
汉昌	han chang	33
汉昭帝	han zhao di	40
汉质帝	han zhi di	7
汉高帝	han gao di	19
汉高祖刘邦	han gao zu liu bang	23
汗王	han wang	19
江东伟	jiang dong wei	2
江云龙	jiang yun long	3
江亢虎	jiang kang hu	3
江以达	jiang yi da	5
江凯文	jiang kai wen	1
江口洋介	jiang kou yang jie	20
江国香织	jiang guo xiang zhi	10
江声	jiang sheng	11
江大来	jiang da lai	2
江姐	jiang jie	37
江孔殷	jiang kong yin	3
江守彻	jiang shou che	3
江尊	jiang zun	1
江小鱼	jiang xiao yu	9
江总	jiang zong	46
江恂	jiang xun	3
江春炎	jiang chun yan	2
江春霖	jiang chun lin	2
江昱	jiang yu	2
江枫	jiang feng	16
江柏	jiang bai	4
江柏青	jiang bai qing	2
江标	jiang biao	4
江桂	jiang gui	13
江欣荣	jiang xin rong	4
江泽	jiang ze	36
江泽熙	jiang ze xi	4
江涛	jiang tao	33
江淹	jiang yan	4
江炯	jiang jiong	6
江玉	jiang yu	21
江珠	jiang zhu	14
江珩	jiang heng	2
江盈科	jiang ying ke	1
江立	jiang li	9
江竹筠	jiang zhu yun	6
江美琪	jiang mei qi	17
江胜	jiang sheng	8
江腾一	jiang teng yi	1
江蓉	jiang rong	5
江采	jiang cai	5
江铸久	jiang zhu jiu	6
江鸣久	jiang ming jiu	3
池内博之	chi nei bo zhi	9
池墨	chi mo	1
池珍熙	chi zhen xi	6
池田理代子	chi tian li dai zi	1
池胁千鹤	chi xie qian he	3
池莉	chi li	11
汤一介	tang yi jie	4
汤世澍	tang shi shu	2
汤光启	tang guang qi	2
汤加丽	tang jia li	7
汤卓光	tang zhuo guang	2
汤哲	tang zhe	6
汤圆成	tang yuan cheng	5
汤姆逊	tang mu xun	32
汤子敬	tang zi jing	3
汤宾	tang bin	6
汤尔和	tang er he	29
汤川学	tang chuan xue	8
汤慧	tang hui	5
汤斌	tang bin	7
汤显祖	tang xian zu	24
汤汉	tang han	15
汤涤	tang di	3
汤玮	tang wei	4
汤用彤	tang yong tong	15
汤苏阳	tang su yang	2
汤若望	tang ruo wang	28
汤贻汾	tang yi fen	2
汤镇业	tang zhen ye	18
汤镇宗	tang zhen zong	5
汪一龙	wang yi long	1
汪丁丁	wang ding ding	2
汪乔年	wang qiao nian	3
汪云生	wang yun sheng	3
汪元亨	wang yuan heng	2
汪光华	wang guang hua	3
汪凤藻	wang feng zao	1
汪初	wang chu	5
汪后来	wang hou lai	1
汪喜孙	wang xi sun	1
汪士龙	wang shi long	2
汪大渊	wang da yuan	5
汪大钧	wang da jun	2
汪庆	wang qing	5
汪康年	wang kang nian	4
汪廷珍	wang ting zhen	2
汪廷讷	wang ting ne	2
汪律本	wang lv ben	1
汪德耀	wang de yao	3
汪敬	wang jing	7
汪文柏	wang wen bai	2
汪文溥	wang wen pu	3
汪昂	wang ang	4
汪昉	wang fang	2
汪昭	wang zhao	5
汪昱	wang yu	4
汪晓波	wang xiao bo	6
汪曙	wang shu	1
汪曾祺	wang zeng qi	22
汪机	wang ji	2
汪栋	wang dong	5
汪棣	wang di	1
汪森	wang sen	3
汪沁	wang qin	4
汪沆	wang hang	1
汪波	wang bo	4
汪洪度	wang hong du	2
汪洵	wang xun	3
汪浩	wang hao	17
汪淇	wang qi	3
汪溶	wang rong	1
汪灏	wang hao	1
汪炳文	wang bing wen	4
汪然	wang ran	6
汪珂玉	wang ke yu	3
汪琥	wang hu	2
汪琬	wang wan	1
汪璐	wang lu	1
汪由敦	wang you dun	3
汪皓	wang hao	2
汪直	wang zhi	12
汪端	wang duan	5
汪答应	wang da ying	3
汪篯	wang jian	1
汪继培	wang ji pei	2
汪舸	wang ge	3
汪芬	wang fen	4
汪若海	wang ruo hai	2
汪荣宝	wang rong bao	3
汪见虹	wang jian hong	1
汪辉	wang hui	9
汪辉祖	wang hui zu	5
汪近圣	wang jin sheng	3
汪连	wang lian	2
汪道昆	wang dao kun	15
汪道涵	wang dao han	21
汪铎	wang duo	4
汪震	wang zhen	1
汪霖	wang lin	4
汪鸣銮	wang ming luan	6
汪鸿志	wang hong zhi	1
汪龙	wang long	7
沃丁	wo ding	22
沃勒尔	wo le er	4
沃甲	wo jia	1
沈不负	shen bu fu	3
沈业富	shen ye fu	2
沈中阳	shen zhong yang	8
沈之问	shen zhi wen	2
沈从文	shen cong wen	37
沈伯俊	shen bo jun	5
沈兆霖	shen zhao lin	4
沈冰	shen bing	8
沈凌	shen ling	41
沈初	shen chu	2
沈前	shen qian	4
沈卫	shen wei	1
沈发藻	shen fa zao	3
沈史	shen shi	2
沈右	shen you	4
沈周	shen zhou	9
沈善登	shen shan deng	1
沈培艺	shen pei yi	2
沈增植	shen zeng zhi	2
沈大成	shen da cheng	26
沈宏非	shen hong fei	2
沈宗翰	shen zong han	4
沈宗骞	shen zong qian	3
沈容	shen rong	2
沈富雄	shen fu xiong	2
沈寿	shen shou	7
沈尹默	shen yin mo	19
沈岸登	shen an deng	2
沈峻	shen jun	11
沈广	shen guang	6
沈度	shen du	6
沈建宏	shen jian hong	13
沈彤	shen tong	3
沈彩	shen cai	3
沈德潜	shen de qian	12
沈心	shen xin	7
沈心工	shen xin gong	4
沈思	shen si	19
沈性	shen xing	8
沈恒	shen heng	4
沈恩孚	shen en fu	4
沈恺	shen kai	2
沈惠	shen hui	4
沈慧芬	shen hui fen	3
沈懋德	shen mao de	1
沈括	shen kuo	26
沈挺	shen ting	1
沈捷	shen jie	7
沈文婷	shen wen ting	3
沈时	shen shi	17
沈昂	shen ang	3
沈昆	shen kun	5
沈景修	shen jing xiu	2
沈朝初	shen chao chu	2
沈比利	shen bi li	1
沈永年	shen yong nian	1
沈浮	shen fu	4
沈涵	shen han	5
沈淮	shen huai	4
沈清瑞	shen qing rui	2
沈源	shen yuan	2
沈潜	shen qian	6
沈潮	shen chao	5
沈瀚	shen han	7
沈炎	shen yan	3
沈炼	shen lian	13
沈熙	shen xi	9
沈玲	shen ling	1
沈琼	shen qiong	9
沈瑜庆	shen yu qing	3
沈瑞清	shen rui qing	2
沈璇	shen xuan	9
沈璐	shen lu	6
沈瓒	shen zan	5
沈畅	shen chang	1
沈白	shen bai	13
沈真	shen zhen	3
沈硕	shen shuo	3
沈祖德	shen zu de	2
沈立	shen li	10
沈维鐈	shen wei qiao	2
沈翼	shen yi	3
沈肇年	shen zhao nian	6
沈育	shen yu	3
沈英	shen ying	2
沈荃	shen quan	1
沈荣庆	shen rong qing	2
沈莉	shen li	7
沈莹	shen ying	27
沈葆桢	shen bao zhen	29
沈虹	shen hong	3
沈西苓	shen xi ling	9
沈诚	shen cheng	2
沈辽	shen liao	16
沈进	shen jin	4
沈遇	shen yu	1
沈遴奇	shen lin qi	2
沈铨	shen quan	4
沈颢	shen hao	1
沈鲤	shen li	9
沈鸿	shen hong	28
沈鼎	shen ding	2
沐琮	mu cong	2
沙东	sha dong	46
沙宝亮	sha bao liang	18
沙我	sha wo	3
沙明	sha ming	7
沙汀	sha ting	10
沙羡	sha xian	15
沙陵	sha ling	3
沙雪	sha xue	6
沟口健二	gou kou jian er	14
沟端淳平	gou duan chun ping	4
沧月	cang yue	21
沮渠无讳	ju qu wu hui	9
沮渠牧犍	ju qu mu jian	23
河上肇	he shang zhao	5
河亶甲	he dan jia	1
河口恭吾	he kou gong wu	2
河村隆	he cun long	4
河村隆一	he cun long yi	4
河莉秀	he li xiu	1
河间国	he jian guo	11
泉谷茂	quan gu mao	3
泉陵	quan ling	6
法尔考	fa er kao	31
法显	fa xian	46
法朗士	fa lang shi	28
法桢	fa zhen	3
法正	fa zheng	8
法聚	fa ju	2
法良	fa liang	5
法若真	fa ruo zhen	1
波伏瓦	bo fu wa	1
波佐	bo zuo	47
波德莱尔	bo de lai er	37
