word	key	frequency_level	spelling_region	pos_code	lemma	source
Britain's	britain's	40	通用	np	Britain	ESDB
Brownie	brownie	40	通用	n0	Brownie	ESDB
Brownie's	brownie's	40	通用	np	Brownie	ESDB
Brownies	brownies	40	通用	ns	Brownie	ESDB
BS	bs	40	通用	n0	BS	ESDB
Buddha	buddha	40	通用	n0	Buddha	ESDB
Buddha's	buddha's	40	通用	np	Buddha	ESDB
Buddhas	buddhas	40	通用	ns	Buddha	ESDB
Buddhism	buddhism	40	通用	n0	Buddhism	ESDB
Buddhism's	buddhism's	40	通用	np	Buddhism	ESDB
Buddhist	buddhist	40	通用	aj0;n0	Buddhist	ESDB
Buddhist's	buddhist's	40	通用	np	Buddhist	ESDB
Buddhists	buddhists	40	通用	ns	Buddhist	ESDB
Canadian	canadian	40	通用	aj0;n0	Canadian	ESDB
Canadian's	canadian's	40	通用	np	Canadian	ESDB
Canadians	canadians	40	通用	ns	Canadian	ESDB
Cancer	cancer	40	通用	n0	Cancer	ESDB
Cancer's	cancer's	40	通用	np	Cancer	ESDB
Cancers	cancers	40	通用	ns	Cancer	ESDB
Cantonese	cantonese	40	通用	n0	Cantonese	ESDB
Cantonese's	cantonese's	40	通用	np	Cantonese	ESDB
Capitol	capitol	40	通用	n0	Capitol	ESDB
Capitol's	capitol's	40	通用	np	Capitol	ESDB
Capricorn	capricorn	40	通用	n0	Capricorn	ESDB
Capricorn's	capricorn's	40	通用	np	Capricorn	ESDB
Capricorns	capricorns	40	通用	ns	Capricorn	ESDB
Caribbean	caribbean	40	通用	n0	Caribbean	ESDB
Caribbean's	caribbean's	40	通用	np	Caribbean	ESDB
Caucasian	caucasian	40	通用	aj0;n0	Caucasian	ESDB
Caucasian's	caucasian's	40	通用	np	Caucasian	ESDB
Caucasians	caucasians	40	通用	ns	Caucasian	ESDB
CD	cd	40	通用	n0	CD	ESDB
CD's	cd's	40	通用	np	CD	ESDB
CDs	cds	40	通用	ns	CD	ESDB
CEO	ceo	40	通用	n0	CEO	ESDB
CEO's	ceo's	40	通用	np	CEO	ESDB
CEOs	ceos	40	通用	ns	CEO	ESDB
Chinatown	chinatown	40	通用	n0	Chinatown	ESDB
Chinatown's	chinatown's	40	通用	np	Chinatown	ESDB
Chinatowns	chinatowns	40	通用	ns	Chinatown	ESDB
Chinese	chinese	40	通用	aj0;n0	Chinese	ESDB
Chinese's	chinese's	40	通用	np	Chinese	ESDB
Christ	christ	40	通用	n0	Christ	ESDB
Christ's	christ's	40	通用	np	Christ	ESDB
Coke	coke	40	通用	n0	Coke	ESDB
Coke's	coke's	40	通用	np	Coke	ESDB
Cokes	cokes	40	通用	ns	Coke	ESDB
COLA	cola	40	通用	n0	COLA	ESDB
Communion	communion	40	通用	n0	Communion	ESDB
Communion's	communion's	40	通用	np	Communion	ESDB
Confederacy	confederacy	40	通用	n0	Confederacy	ESDB
Confederacy's	confederacy's	40	通用	np	Confederacy	ESDB
Confederate	confederate	40	通用	aj0;n0	Confederate	ESDB
Confederate's	confederate's	40	通用	np	Confederate	ESDB
Congress's	congress's	40	通用	np	Congress	ESDB
Constitution	constitution	40	通用	n0	Constitution	ESDB
Cyrillic	cyrillic	40	通用	aj0;n0	Cyrillic	ESDB
Cyrillic's	cyrillic's	40	通用	np	Cyrillic	ESDB
Dalmatian	dalmatian	40	通用	aj0;n0	Dalmatian	ESDB
Dalmatian's	dalmatian's	40	通用	np	Dalmatian	ESDB
Dalmatians	dalmatians	40	通用	ns	Dalmatian	ESDB
Danish	danish	40	通用	aj0;n0	Danish	ESDB
Danish's	danish's	40	通用	np	Danish	ESDB
Danishes	danishes	40	通用	ns	Danish	ESDB
Democrat	democrat	40	通用	n0	Democrat	ESDB
Democrat's	democrat's	40	通用	np	Democrat	ESDB
Democratic	democratic	40	通用	aj0	Democratic	ESDB
Democrats	democrats	40	通用	ns	Democrat	ESDB
Dixie	dixie	40	通用	n0	Dixie	ESDB
Dixie's	dixie's	40	通用	np	Dixie	ESDB
DJ	dj	40	通用	m0	DJ	ESDB
DJ's	dj's	40	通用	np	DJ	ESDB
DVD	dvd	40	通用	n0	DVD	ESDB
DVD's	dvd's	40	通用	np	DVD	ESDB
DVDs	dvds	40	通用	ns	DVD	ESDB
EFL	efl	40	通用	n0	EFL	ESDB
Emmy	emmy	40	通用	n0	Emmy	ESDB
Emmy's	emmy's	40	通用	np	Emmy	ESDB
Emmys	emmys	40	通用	ns	Emmy	ESDB
Episcopalian	episcopalian	40	通用	aj0;n0	Episcopalian	ESDB
Episcopalian's	episcopalian's	40	通用	np	Episcopalian	ESDB
Episcopalians	episcopalians	40	通用	ns	Episcopalian	ESDB
ER	er	40	通用	n0	ER	ESDB
ER's	er's	40	通用	np	ER	ESDB
ERs	ers	40	通用	ns	ER	ESDB
ESL	esl	40	通用	n0	ESL	ESDB
ESP	esp	40	通用	n0	ESP	ESDB
ESP's	esp's	40	通用	np	ESP	ESDB
Europe's	europe's	40	通用	np	Europe	ESDB
Father	father	40	通用	n0	Father	ESDB
Father's	father's	40	通用	np	Father	ESDB
Fed	fed	40	通用	n0	Fed	ESDB
Fed's	fed's	40	通用	np	Fed	ESDB
Feds	feds	40	通用	n0;ns	Fed;Feds	ESDB
French's	french's	40	通用	np	French	ESDB
Frenches	frenches	40	通用	ns	French	ESDB
Freudian	freudian	40	通用	aj0;n0	Freudian	ESDB
Freudian's	freudian's	40	通用	np	Freudian	ESDB
Frisbee	frisbee	40	通用	n0	Frisbee	ESDB
Frisbee's	frisbee's	40	通用	np	Frisbee	ESDB
Frisbees	frisbees	40	通用	ns	Frisbee	ESDB
FYI	fyi	40	通用	?;abbr	FYI	ESDB
GED	ged	40	通用	n0	GED	ESDB
GEDs	geds	40	通用	ns	GED	ESDB
