# 日文词汇等级（JLPT）。来源：tanos.co.uk 的 JLPT 词表（Jonathan Waller，CC BY），
# 经 elzup/jlpt-word-list（MIT，https://github.com/elzup/jlpt-word-list）整理为 CSV。
# 由 tools/corpus/levels.py 生成。格式：词\t等级；`# levels` 行是等级从易到难的顺序。
# levels	N5	N4	N3	N2	N1
野菜	N5
金曜日	N5
鉛筆	N5
銀行	N5
鍵	N5
長い	N5
門	N5
閉まる	N5
閉める	N5
開く	N5
開ける	N5
降りる	N5
降る	N5
階	N5
階段	N5
隣	N5
雑誌	N5
難しい	N5
雨	N5
雪	N5
零	N5
電気	N5
電話	N5
電車	N5
青	N5
青い	N5
静か	N5
面白い	N5
靴	N5
靴下	N5
音楽	N5
頭	N5
頼む	N5
顔	N5
風	N5
風邪	N5
飛ぶ	N5
飛行機	N5
食べる	N5
食べ物	N5
食堂	N5
飲み物	N5
飲む	N5
飴	N5
駅	N5
高い	N5
魚	N5
鳥	N5
鳴く	N5
鶏肉	N5
黄色	N5
黄色い	N5
黒	N5
黒い	N5
鼻	N5
あ	N4
あいさつする	N4
あげる	N4
あんな	N4
いくらても	N4
いじめる	N4
いただく	N4
いっぱい	N4
いらっしゃる	N4
うかがう	N4
うそ	N4
うまい	N4
うれしい	N4
うん	N4
おいでになる	N4
おかげ	N4
おかしい	N4
おき	N4
おっしゃる	N4
おつり	N4
おもちゃ	N4
おる	N4
おわる	N4
お土産	N4
お嬢さん	N4
お子さん	N4
お宅	N4
お礼	N4
お祝い	N4
お祭り	N4
お見舞い	N4
お金持ち	N4
かっこう	N4
かまう	N4
きっと	N4
くださる	N4
くれる	N4
けがする	N4
けれど	N4
けれども	N4
けんかする	N4
こう	N4
この間	N4
この頃	N4
これから	N4
ございます	N4
ごちそう	N4
ごみ	N4
ごらんになる	N4
ご主人	N4
ご存じ	N4
さっき	N4
しっかり	N4
しばらく	N4
しまう	N4
すっかり	N4
すっと	N4
すり	N4
すると	N4
それで	N4
それに	N4
それほど	N4
そろそろ	N4
そんな	N4
そんなに	N4
たまに	N4
だから	N4
だす	N4
だめ	N4
ちっとも	N4
ちゃん	N4
ついて	N4
つもり	N4
できるだけ	N4
とうとう	N4
どんどん	N4
なさる	N4
なるべく	N4
なるほど	N4
にくい	N4
はず	N4
はっきり	N4
ばかり	N4
ひげ	N4
ひどい	N4
びっくりする	N4
ぶどう	N4
ほとんど	N4
まず	N4
または	N4
まま	N4
もうすぐ	N4
もし	N4
もちろん	N4
もらう	N4
やすい	N4
やっと	N4
やっぱり	N4
やはり	N4
よると	N4
よろしい	N4
アクセサリー	N4
アジア	N4
アナウンサー	N4
アフリカ	N4
アメリカ	N4
アルコール	N4
アルバイト	N4
エスカレーター	N4
オートバイ	N4
オーバー	N4
カーテン	N4
ガス	N4
ガソリン	N4
ガソリンスタンド	N4
ガラス	N4
ケーキ	N4
コンサート	N4
コンピュータ	N4
コンピューター	N4
サラダ	N4
サンダル	N4
サンドイッチ	N4
ジャム	N4
スクリーン	N4
ステレオ	N4
ステーキ	N4
スーツ	N4
スーツケース	N4
スーパー	N4
ソフト	N4
タイプ	N4
チェックする	N4
テキスト	N4
テニス	N4
ハンバーグ	N4
パソコン	N4
パパ	N4
パート	N4
ビル	N4
ピアノ	N4
ファックス	N4
プレゼント	N4
ベル	N4
リポート	N4
レジ	N4
レポート	N4
ワープロ	N4
一度	N4
一生懸命	N4
丁寧	N4
上がる	N4
下げる	N4
下りる	N4
下る	N4
下宿	N4
下着	N4
不便	N4
世界	N4
世話	N4
両方	N4
中々	N4
中学校	N4
久しぶり	N4
乗り換える	N4
乗り物	N4
乾く	N4
予定	N4
予約	N4
予習	N4
事	N4
事務所	N4
事故	N4
亡くなる	N4
交通	N4
人口	N4
人形	N4
今夜	N4
今度	N4
仕方	N4
代	N4
代わり	N4
以上	N4
以下	N4
以内	N4
以外	N4
会	N4
会場	N4
会話	N4
会議	N4
会議室	N4
伝える	N4
伺う	N4
似る	N4
住所	N4
例えば	N4
倍	N4
倒れる	N4
値段	N4
僕	N4
億	N4
優しい	N4
先輩	N4
光	N4
光る	N4
入学	N4
入院	N4
全然	N4
公務員	N4
具合	N4
内	N4
再来月	N4
再来週	N4
写す	N4
冷える	N4
冷房	N4
凄い	N4
出席	N4
出発	N4
別	N4
別れる	N4
利用	N4
割れる	N4
割合	N4
力	N4
動く	N4
動物園	N4
勝つ	N4
匂い	N4
包む	N4
区	N4
医学	N4
十分	N4
卒業	N4
危険	N4
原因	N4
厳しい	N4
参る	N4
反対	N4
取り替える	N4
受ける	N4
受付	N4
召し上がる	N4
台風	N4
叱る	N4
合う	N4
向かう	N4
君	N4
周り	N4
味	N4
味噌	N4
品物	N4
員	N4
喉	N4
喜ぶ	N4
噛む	N4
回る、回す	N4
固い	N4
国際	N4
地理	N4
地震	N4
坂	N4
堅	N4
場合	N4
場所	N4
塗る	N4
増える	N4
壁	N4
壊す	N4
壊れる	N4
売り場	N4
変	N4
変える	N4
変わる	N4
夢	N4
大事	N4
大体	N4
大分	N4
大学生	N4
大抵	N4
天気予報	N4
太る	N4
夫	N4
失敗	N4
失礼	N4
女性	N4
妻	N4
始める	N4
娘	N4
子	N4
字	N4
季節	N4
学部	N4
安全	N4
安心	N4
客	N4
家内	N4
寂しい	N4
寄る	N4
寝坊	N4
寺	N4
専門	N4
将来	N4
尋ねる	N4
小学校	N4
小説	N4
小鳥	N4
届ける	N4
屋上	N4
展覧会	N4
島	N4
工場	N4
工業	N4
